layer,input_shape,output_shape,,,,,PyTorch Layer Path,MobileNet-V3-Small Stage,,,,
"features.4.block.2.fc2, (Conv2d)","(1, 24, 1, 1)","(1, 96, 1, 1)",,,Inverted Residue .4,,,,,,,
"features.4.block.2.scale_activation, (Hardsigmoid)","(1, 96, 1, 1)","(1, 96, 1, 1)",,,Inverted Residue .4,,,,,,,
"features.4.block.2, (SqueezeExcitation)","(1, 96, 14, 14)","(1, 96, 14, 14)",,,Inverted Residue .4,,,,,,,
"features.4.block.3.0, (Conv2d)","(1, 96, 14, 14)","(1, 40, 14, 14)",,,Inverted Residue .4,,,,,,,
"features.4.block.3.1, (BatchNorm2d)","(1, 40, 14, 14)","(1, 40, 14, 14)",,,Inverted Residue .4,,,,,,,
"features.4, (InvertedResidual)","(1, 24, 28, 28)","(1, 40, 14, 14)",,,Inverted Residue .4,,,,,,,
"features.5.block.0.0, (Conv2d)","(1, 40, 14, 14)","(1, 240, 14, 14)",,,Inverted Residue .5,,,,,,,
"features.5.block.0.1, (BatchNorm2d)","(1, 240, 14, 14)","(1, 240, 14, 14)",,,Inverted Residue .5,,,,,,,
"features.5.block.0.2, (Hardswish)","(1, 240, 14, 14)","(1, 240, 14, 14)",,,Inverted Residue .5,,,,,,,
"features.5.block.1.0, (Conv2d)","(1, 240, 14, 14)","(1, 240, 14, 14)",,,Inverted Residue .5,,,,,,,
"features.5.block.1.1, (BatchNorm2d)","(1, 240, 14, 14)","(1, 240, 14, 14)",,,Inverted Residue .5,,,,,,,
"features.5.block.1.2, (Hardswish)","(1, 240, 14, 14)","(1, 240, 14, 14)",,,Inverted Residue .5,,,,,,,
"features.5.block.2.avgpool, (AdaptiveAvgPool2d)","(1, 240, 14, 14)","(1, 240, 1, 1)",,,Inverted Residue .5,,,,,,,
"features.5.block.2.fc1, (Conv2d)","(1, 240, 1, 1)","(1, 64, 1, 1)",,,Inverted Residue .5,,,,,,,
"features.5.block.2.activation, (ReLU)","(1, 64, 1, 1)","(1, 64, 1, 1)",,,Inverted Residue .5,,,,,,,
"features.5.block.2.fc2, (Conv2d)","(1, 64, 1, 1)","(1, 240, 1, 1)",,,Inverted Residue .5,,,,,,,
"features.5.block.2.scale_activation, (Hardsigmoid)","(1, 240, 1, 1)","(1, 240, 1, 1)",,,Inverted Residue .5,,,,,,,
"features.5.block.2, (SqueezeExcitation)","(1, 240, 14, 14)","(1, 240, 14, 14)",,,Inverted Residue .5,,,,,,,
"features.5.block.3.0, (Conv2d)","(1, 240, 14, 14)","(1, 40, 14, 14)",,,Inverted Residue .5,,,,,,,
"features.5.block.3.1, (BatchNorm2d)","(1, 40, 14, 14)","(1, 40, 14, 14)",,,Inverted Residue .5,,,,,,,
"features.5, (InvertedResidual)","(1, 40, 14, 14)","(1, 40, 14, 14)",,,Inverted Residue .5,,,,,,,
"features.6.block.0.0, (Conv2d)","(1, 40, 14, 14)","(1, 240, 14, 14)",,,Inverted Residue .6,,,,,,,
"features.6.block.0.1, (BatchNorm2d)","(1, 240, 14, 14)","(1, 240, 14, 14)",,,Inverted Residue .6,,,,,,,
"features.6.block.0.2, (Hardswish)","(1, 240, 14, 14)","(1, 240, 14, 14)",,,Inverted Residue .6,,,,,,,
"features.6.block.1.0, (Conv2d)","(1, 240, 14, 14)","(1, 240, 14, 14)",,,Inverted Residue .6,,,,,,,
"features.6.block.1.1, (BatchNorm2d)","(1, 240, 14, 14)","(1, 240, 14, 14)",,,Inverted Residue .6,,,,,,,
"features.6.block.1.2, (Hardswish)","(1, 240, 14, 14)","(1, 240, 14, 14)",,,Inverted Residue .6,,,,,,,
"features.6.block.2.avgpool, (AdaptiveAvgPool2d)","(1, 240, 14, 14)","(1, 240, 1, 1)",,,Inverted Residue .6,,,,,,,
"features.6.block.2.fc1, (Conv2d)","(1, 240, 1, 1)","(1, 64, 1, 1)",,,Inverted Residue .6,,,,,,,
"features.6.block.2.activation, (ReLU)","(1, 64, 1, 1)","(1, 64, 1, 1)",,,Inverted Residue .6,,,,,,,
"features.6.block.2.fc2, (Conv2d)","(1, 64, 1, 1)","(1, 240, 1, 1)",,,Inverted Residue .6,,,,,,,
"features.6.block.2.scale_activation, (Hardsigmoid)","(1, 240, 1, 1)","(1, 240, 1, 1)",,,Inverted Residue .6,,,,,,,
"features.6.block.2, (SqueezeExcitation)","(1, 240, 14, 14)","(1, 240, 14, 14)",,,Inverted Residue .6,,,,,,,
"features.6.block.3.0, (Conv2d)","(1, 240, 14, 14)","(1, 40, 14, 14)",,,Inverted Residue .6,,,,,,,
"features.6.block.3.1, (BatchNorm2d)","(1, 40, 14, 14)","(1, 40, 14, 14)",,,Inverted Residue .6,,,,,,,
"features.6, (InvertedResidual)","(1, 40, 14, 14)","(1, 40, 14, 14)",,,Inverted Residue .6,,,,,,,
"features.7.block.0.0, (Conv2d)","(1, 40, 14, 14)","(1, 120, 14, 14)",,,Inverted Residue .7,,,,,,,
"features.7.block.0.1, (BatchNorm2d)","(1, 120, 14, 14)","(1, 120, 14, 14)",,,Inverted Residue .7,,,,,,,
"features.7.block.0.2, (Hardswish)","(1, 120, 14, 14)","(1, 120, 14, 14)",,,Inverted Residue .7,,,,,,,
"features.7.block.1.0, (Conv2d)","(1, 120, 14, 14)","(1, 120, 14, 14)",,,Inverted Residue .7,,,,,,,
"features.7.block.1.1, (BatchNorm2d)","(1, 120, 14, 14)","(1, 120, 14, 14)",,,Inverted Residue .7,,,,,,,
"features.7.block.1.2, (Hardswish)","(1, 120, 14, 14)","(1, 120, 14, 14)",,,Inverted Residue .7,,,,,,,
"features.7.block.2.avgpool, (AdaptiveAvgPool2d)","(1, 120, 14, 14)","(1, 120, 1, 1)",,,Inverted Residue .7,,,,,,,
"features.7.block.2.fc1, (Conv2d)","(1, 120, 1, 1)","(1, 32, 1, 1)",,,Inverted Residue .7,,,,,,,
"features.7.block.2.activation, (ReLU)","(1, 32, 1, 1)","(1, 32, 1, 1)",,,Inverted Residue .7,,,,,,,
"features.7.block.2.fc2, (Conv2d)","(1, 32, 1, 1)","(1, 120, 1, 1)",,,Inverted Residue .7,,,,,,,
"features.7.block.2.scale_activation, (Hardsigmoid)","(1, 120, 1, 1)","(1, 120, 1, 1)",,,Inverted Residue .7,,,,,,,
"features.7.block.2, (SqueezeExcitation)","(1, 120, 14, 14)","(1, 120, 14, 14)",,,Inverted Residue .7,,,,,,,
"features.7.block.3.0, (Conv2d)","(1, 120, 14, 14)","(1, 48, 14, 14)",,,Inverted Residue .7,,,,,,,
"features.7.block.3.1, (BatchNorm2d)","(1, 48, 14, 14)","(1, 48, 14, 14)",,,Inverted Residue .7,,,,,,,
"features.7, (InvertedResidual)","(1, 40, 14, 14)","(1, 48, 14, 14)",,,Inverted Residue .8,,,,,,,
"features.8.block.0.0, (Conv2d)","(1, 48, 14, 14)","(1, 144, 14, 14)",,,Inverted Residue .8,,,,,,,
"features.8.block.0.1, (BatchNorm2d)","(1, 144, 14, 14)","(1, 144, 14, 14)",,,Inverted Residue .8,,,,,,,
"features.8.block.0.2, (Hardswish)","(1, 144, 14, 14)","(1, 144, 14, 14)",,,Inverted Residue .8,,,,,,,
"features.8.block.1.0, (Conv2d)","(1, 144, 14, 14)","(1, 144, 14, 14)",,,Inverted Residue .8,,,,,,,
"features.8.block.1.1, (BatchNorm2d)","(1, 144, 14, 14)","(1, 144, 14, 14)",,,Inverted Residue .8,,,,,,,
"features.8.block.1.2, (Hardswish)","(1, 144, 14, 14)","(1, 144, 14, 14)",,,Inverted Residue .8,,,,,,,
"features.8.block.2.avgpool, (AdaptiveAvgPool2d)","(1, 144, 14, 14)","(1, 144, 1, 1)",,,Inverted Residue .8,,,,,,,
"features.8.block.2.fc1, (Conv2d)","(1, 144, 1, 1)","(1, 40, 1, 1)",,,Inverted Residue .8,,,,,,,
"features.8.block.2.activation, (ReLU)","(1, 40, 1, 1)","(1, 40, 1, 1)",,,Inverted Residue .8,,,,,,,
"features.8.block.2.fc2, (Conv2d)","(1, 40, 1, 1)","(1, 144, 1, 1)",,,Inverted Residue .8,,,,,,,
"features.8.block.2.scale_activation, (Hardsigmoid)","(1, 144, 1, 1)","(1, 144, 1, 1)",,,Inverted Residue .8,,,,,,,
"features.8.block.2, (SqueezeExcitation)","(1, 144, 14, 14)","(1, 144, 14, 14)",,,Inverted Residue .8,,,,,,,
"features.8.block.3.0, (Conv2d)","(1, 144, 14, 14)","(1, 48, 14, 14)",,,Inverted Residue .8,,,,,,,
"features.8.block.3.1, (BatchNorm2d)","(1, 48, 14, 14)","(1, 48, 14, 14)",,,Inverted Residue .8,,,,,,,
"features.8, (InvertedResidual)","(1, 48, 14, 14)","(1, 48, 14, 14)",,,Inverted Residue .8,,,,,,,
"features.9.block.0.0, (Conv2d)","(1, 48, 14, 14)","(1, 288, 14, 14)",,,Inverted Residue .9,,,,,,,
"features.9.block.0.1, (BatchNorm2d)","(1, 288, 14, 14)","(1, 288, 14, 14)",,,Inverted Residue .9,,,,,,,
"features.9.block.0.2, (Hardswish)","(1, 288, 14, 14)","(1, 288, 14, 14)",,,Inverted Residue .9,,,,,,,
"features.9.block.1.0, (Conv2d)","(1, 288, 14, 14)","(1, 288, 7, 7)",,,Inverted Residue .9,,,,,,,
"features.9.block.1.1, (BatchNorm2d)","(1, 288, 7, 7)","(1, 288, 7, 7)",,,Inverted Residue .9,,,,,,,
"features.9.block.1.2, (Hardswish)","(1, 288, 7, 7)","(1, 288, 7, 7)",,,Inverted Residue .9,,,,,,,
"features.9.block.2.avgpool, (AdaptiveAvgPool2d)","(1, 288, 7, 7)","(1, 288, 1, 1)",,,Inverted Residue .9,,,,,,,
"features.9.block.2.fc1, (Conv2d)","(1, 288, 1, 1)","(1, 72, 1, 1)",,,Inverted Residue .9,,,,,,,
"features.9.block.2.activation, (ReLU)","(1, 72, 1, 1)","(1, 72, 1, 1)",,,Inverted Residue .9,,,,,,,
"features.9.block.2.fc2, (Conv2d)","(1, 72, 1, 1)","(1, 288, 1, 1)",,,Inverted Residue .9,,,,,,,
"features.9.block.2.scale_activation, (Hardsigmoid)","(1, 288, 1, 1)","(1, 288, 1, 1)",,,Inverted Residue .9,,,,,,,
"features.9.block.2, (SqueezeExcitation)","(1, 288, 7, 7)","(1, 288, 7, 7)",,,Inverted Residue .9,,,,,,,
