layer,input_shape,output_shape,,,,,,,
"Mixed_6e.branch7x7_1, (BasicConv2d)","(1, 768, 17, 17)","(1, 192, 17, 17)",,(,),24,35,BasicConv2d,
"Mixed_6e.branch7x7_2.conv, (Conv2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),29,35,Conv2d,
"Mixed_6e.branch7x7_2.bn, (BatchNorm2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),27,38,BatchNorm2d,
"Mixed_6e.branch7x7_2, (BasicConv2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),24,35,BasicConv2d,
"Mixed_6e.branch7x7_3.conv, (Conv2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),29,35,Conv2d,
"Mixed_6e.branch7x7_3.bn, (BatchNorm2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),27,38,BatchNorm2d,
"Mixed_6e.branch7x7_3, (BasicConv2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),24,35,BasicConv2d,
"Mixed_6e.branch7x7dbl_1.conv, (Conv2d)","(1, 768, 17, 17)","(1, 192, 17, 17)",,(,),32,38,Conv2d,
"Mixed_6e.branch7x7dbl_1.bn, (BatchNorm2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),30,41,BatchNorm2d,
"Mixed_6e.branch7x7dbl_1, (BasicConv2d)","(1, 768, 17, 17)","(1, 192, 17, 17)",,(,),27,38,BasicConv2d,
"Mixed_6e.branch7x7dbl_2.conv, (Conv2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),32,38,Conv2d,
"Mixed_6e.branch7x7dbl_2.bn, (BatchNorm2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),30,41,BatchNorm2d,
"Mixed_6e.branch7x7dbl_2, (BasicConv2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),27,38,BasicConv2d,
"Mixed_6e.branch7x7dbl_3.conv, (Conv2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),32,38,Conv2d,
"Mixed_6e.branch7x7dbl_3.bn, (BatchNorm2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),30,41,BatchNorm2d,
"Mixed_6e.branch7x7dbl_3, (BasicConv2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),27,38,BasicConv2d,
"Mixed_6e.branch7x7dbl_4.conv, (Conv2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),32,38,Conv2d,
"Mixed_6e.branch7x7dbl_4.bn, (BatchNorm2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),30,41,BatchNorm2d,
"Mixed_6e.branch7x7dbl_4, (BasicConv2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),27,38,BasicConv2d,
"Mixed_6e.branch7x7dbl_5.conv, (Conv2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),32,38,Conv2d,
"Mixed_6e.branch7x7dbl_5.bn, (BatchNorm2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),30,41,BatchNorm2d,
"Mixed_6e.branch7x7dbl_5, (BasicConv2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),27,38,BasicConv2d,
"Mixed_6e.branch_pool.conv, (Conv2d)","(1, 768, 17, 17)","(1, 192, 17, 17)",,(,),29,35,Conv2d,
"Mixed_6e.branch_pool.bn, (BatchNorm2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),27,38,BatchNorm2d,
"Mixed_6e.branch_pool, (BasicConv2d)","(1, 768, 17, 17)","(1, 192, 17, 17)",,(,),24,35,BasicConv2d,
"Mixed_6e, (InceptionC)","(1, 768, 17, 17)","(1, 768, 17, 17)",,(,),12,22,InceptionC,
"Mixed_7a.branch3x3_1.conv, (Conv2d)","(1, 768, 17, 17)","(1, 192, 17, 17)",,(,),29,35,Conv2d,
"Mixed_7a.branch3x3_1.bn, (BatchNorm2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),27,38,BatchNorm2d,
"Mixed_7a.branch3x3_1, (BasicConv2d)","(1, 768, 17, 17)","(1, 192, 17, 17)",,(,),24,35,BasicConv2d,
"Mixed_7a.branch3x3_2.conv, (Conv2d)","(1, 192, 17, 17)","(1, 320, 8, 8)",,(,),29,35,Conv2d,
"Mixed_7a.branch3x3_2.bn, (BatchNorm2d)","(1, 320, 8, 8)","(1, 320, 8, 8)",,(,),27,38,BatchNorm2d,
"Mixed_7a.branch3x3_2, (BasicConv2d)","(1, 192, 17, 17)","(1, 320, 8, 8)",,(,),24,35,BasicConv2d,
"Mixed_7a.branch7x7x3_1.conv, (Conv2d)","(1, 768, 17, 17)","(1, 192, 17, 17)",,(,),31,37,Conv2d,
"Mixed_7a.branch7x7x3_1.bn, (BatchNorm2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),29,40,BatchNorm2d,
"Mixed_7a.branch7x7x3_1, (BasicConv2d)","(1, 768, 17, 17)","(1, 192, 17, 17)",,(,),26,37,BasicConv2d,
"Mixed_7a.branch7x7x3_2.conv, (Conv2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),31,37,Conv2d,
"Mixed_7a.branch7x7x3_2.bn, (BatchNorm2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),29,40,BatchNorm2d,
"Mixed_7a.branch7x7x3_2, (BasicConv2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),26,37,BasicConv2d,
"Mixed_7a.branch7x7x3_3.conv, (Conv2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),31,37,Conv2d,
"Mixed_7a.branch7x7x3_3.bn, (BatchNorm2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),29,40,BatchNorm2d,
"Mixed_7a.branch7x7x3_3, (BasicConv2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),26,37,BasicConv2d,
"Mixed_7a.branch7x7x3_4.conv, (Conv2d)","(1, 192, 17, 17)","(1, 192, 8, 8)",,(,),31,37,Conv2d,
"Mixed_7a.branch7x7x3_4.bn, (BatchNorm2d)","(1, 192, 8, 8)","(1, 192, 8, 8)",,(,),29,40,BatchNorm2d,
"Mixed_7a.branch7x7x3_4, (BasicConv2d)","(1, 192, 17, 17)","(1, 192, 8, 8)",,(,),26,37,BasicConv2d,
"Mixed_7a, (InceptionD)","(1, 768, 17, 17)","(1, 1280, 8, 8)",,(,),12,22,InceptionD,
"Mixed_7b.branch1x1.conv, (Conv2d)","(1, 1280, 8, 8)","(1, 320, 8, 8)",,(,),27,33,Conv2d,
"Mixed_7b.branch1x1.bn, (BatchNorm2d)","(1, 320, 8, 8)","(1, 320, 8, 8)",,(,),25,36,BatchNorm2d,
"Mixed_7b.branch1x1, (BasicConv2d)","(1, 1280, 8, 8)","(1, 320, 8, 8)",,(,),22,33,BasicConv2d,
"Mixed_7b.branch3x3_1.conv, (Conv2d)","(1, 1280, 8, 8)","(1, 384, 8, 8)",,(,),29,35,Conv2d,
"Mixed_7b.branch3x3_1.bn, (BatchNorm2d)","(1, 384, 8, 8)","(1, 384, 8, 8)",,(,),27,38,BatchNorm2d,
"Mixed_7b.branch3x3_1, (BasicConv2d)","(1, 1280, 8, 8)","(1, 384, 8, 8)",,(,),24,35,BasicConv2d,
"Mixed_7b.branch3x3_2a.conv, (Conv2d)","(1, 384, 8, 8)","(1, 384, 8, 8)",,(,),30,36,Conv2d,
"Mixed_7b.branch3x3_2a.bn, (BatchNorm2d)","(1, 384, 8, 8)","(1, 384, 8, 8)",,(,),28,39,BatchNorm2d,
"Mixed_7b.branch3x3_2a, (BasicConv2d)","(1, 384, 8, 8)","(1, 384, 8, 8)",,(,),25,36,BasicConv2d,
"Mixed_7b.branch3x3_2b.conv, (Conv2d)","(1, 384, 8, 8)","(1, 384, 8, 8)",,(,),30,36,Conv2d,
"Mixed_7b.branch3x3_2b.bn, (BatchNorm2d)","(1, 384, 8, 8)","(1, 384, 8, 8)",,(,),28,39,BatchNorm2d,
"Mixed_7b.branch3x3_2b, (BasicConv2d)","(1, 384, 8, 8)","(1, 384, 8, 8)",,(,),25,36,BasicConv2d,
"Mixed_7b.branch3x3dbl_1.conv, (Conv2d)","(1, 1280, 8, 8)","(1, 448, 8, 8)",,(,),32,38,Conv2d,
"Mixed_7b.branch3x3dbl_1.bn, (BatchNorm2d)","(1, 448, 8, 8)","(1, 448, 8, 8)",,(,),30,41,BatchNorm2d,
"Mixed_7b.branch3x3dbl_1, (BasicConv2d)","(1, 1280, 8, 8)","(1, 448, 8, 8)",,(,),27,38,BasicConv2d,
"Mixed_7b.branch3x3dbl_2.conv, (Conv2d)","(1, 448, 8, 8)","(1, 384, 8, 8)",,(,),32,38,Conv2d,
"Mixed_7b.branch3x3dbl_2.bn, (BatchNorm2d)","(1, 384, 8, 8)","(1, 384, 8, 8)",,(,),30,41,BatchNorm2d,
"Mixed_7b.branch3x3dbl_2, (BasicConv2d)","(1, 448, 8, 8)","(1, 384, 8, 8)",,(,),27,38,BasicConv2d,
"Mixed_7b.branch3x3dbl_3a.conv, (Conv2d)","(1, 384, 8, 8)","(1, 384, 8, 8)",,(,),33,39,Conv2d,
"Mixed_7b.branch3x3dbl_3a.bn, (BatchNorm2d)","(1, 384, 8, 8)","(1, 384, 8, 8)",,(,),31,42,BatchNorm2d,
"Mixed_7b.branch3x3dbl_3a, (BasicConv2d)","(1, 384, 8, 8)","(1, 384, 8, 8)",,(,),28,39,BasicConv2d,
"Mixed_7b.branch3x3dbl_3b.conv, (Conv2d)","(1, 384, 8, 8)","(1, 384, 8, 8)",,(,),33,39,Conv2d,
"Mixed_7b.branch3x3dbl_3b.bn, (BatchNorm2d)","(1, 384, 8, 8)","(1, 384, 8, 8)",,(,),31,42,BatchNorm2d,
"Mixed_7b.branch3x3dbl_3b, (BasicConv2d)","(1, 384, 8, 8)","(1, 384, 8, 8)",,(,),28,39,BasicConv2d,
"Mixed_7b.branch_pool.conv, (Conv2d)","(1, 1280, 8, 8)","(1, 192, 8, 8)",,(,),29,35,Conv2d,
"Mixed_7b.branch_pool.bn, (BatchNorm2d)","(1, 192, 8, 8)","(1, 192, 8, 8)",,(,),27,38,BatchNorm2d,
"Mixed_7b.branch_pool, (BasicConv2d)","(1, 1280, 8, 8)","(1, 192, 8, 8)",,(,),24,35,BasicConv2d,
"Mixed_7b, (InceptionE)","(1, 1280, 8, 8)","(1, 2048, 8, 8)",,(,),12,22,InceptionE,
"Mixed_7c.branch1x1.conv, (Conv2d)","(1, 2048, 8, 8)","(1, 320, 8, 8)",,(,),27,33,Conv2d,
"Mixed_7c.branch1x1.bn, (BatchNorm2d)","(1, 320, 8, 8)","(1, 320, 8, 8)",,(,),25,36,BatchNorm2d,
"Mixed_7c.branch1x1, (BasicConv2d)","(1, 2048, 8, 8)","(1, 320, 8, 8)",,(,),22,33,BasicConv2d,
"Mixed_7c.branch3x3_1.conv, (Conv2d)","(1, 2048, 8, 8)","(1, 384, 8, 8)",,(,),29,35,Conv2d,
"Mixed_7c.branch3x3_1.bn, (BatchNorm2d)","(1, 384, 8, 8)","(1, 384, 8, 8)",,(,),27,38,BatchNorm2d,
"Mixed_7c.branch3x3_1, (BasicConv2d)","(1, 2048, 8, 8)","(1, 384, 8, 8)",,(,),24,35,BasicConv2d,
"Mixed_7c.branch3x3_2a.conv, (Conv2d)","(1, 384, 8, 8)","(1, 384, 8, 8)",,(,),30,36,Conv2d,
"Mixed_7c.branch3x3_2a.bn, (BatchNorm2d)","(1, 384, 8, 8)","(1, 384, 8, 8)",,(,),28,39,BatchNorm2d,
"Mixed_7c.branch3x3_2a, (BasicConv2d)","(1, 384, 8, 8)","(1, 384, 8, 8)",,(,),25,36,BasicConv2d,
"Mixed_7c.branch3x3_2b.conv, (Conv2d)","(1, 384, 8, 8)","(1, 384, 8, 8)",,(,),30,36,Conv2d,
"Mixed_7c.branch3x3_2b.bn, (BatchNorm2d)","(1, 384, 8, 8)","(1, 384, 8, 8)",,(,),28,39,BatchNorm2d,
"Mixed_7c.branch3x3_2b, (BasicConv2d)","(1, 384, 8, 8)","(1, 384, 8, 8)",,(,),25,36,BasicConv2d,
"Mixed_7c.branch3x3dbl_1.conv, (Conv2d)","(1, 2048, 8, 8)","(1, 448, 8, 8)",,(,),32,38,Conv2d,
"Mixed_7c.branch3x3dbl_1.bn, (BatchNorm2d)","(1, 448, 8, 8)","(1, 448, 8, 8)",,(,),30,41,BatchNorm2d,
"Mixed_7c.branch3x3dbl_1, (BasicConv2d)","(1, 2048, 8, 8)","(1, 448, 8, 8)",,(,),27,38,BasicConv2d,
"Mixed_7c.branch3x3dbl_2.conv, (Conv2d)","(1, 448, 8, 8)","(1, 384, 8, 8)",,(,),32,38,Conv2d,
"Mixed_7c.branch3x3dbl_2.bn, (BatchNorm2d)","(1, 384, 8, 8)","(1, 384, 8, 8)",,(,),30,41,BatchNorm2d,
"Mixed_7c.branch3x3dbl_2, (BasicConv2d)","(1, 448, 8, 8)","(1, 384, 8, 8)",,(,),27,38,BasicConv2d,
"Mixed_7c.branch3x3dbl_3a.conv, (Conv2d)","(1, 384, 8, 8)","(1, 384, 8, 8)",,(,),33,39,Conv2d,
"Mixed_7c.branch3x3dbl_3a.bn, (BatchNorm2d)","(1, 384, 8, 8)","(1, 384, 8, 8)",,(,),31,42,BatchNorm2d,
"Mixed_7c.branch3x3dbl_3a, (BasicConv2d)","(1, 384, 8, 8)","(1, 384, 8, 8)",,(,),28,39,BasicConv2d,
"Mixed_7c.branch3x3dbl_3b.conv, (Conv2d)","(1, 384, 8, 8)","(1, 384, 8, 8)",,(,),33,39,Conv2d,
"Mixed_7c.branch3x3dbl_3b.bn, (BatchNorm2d)","(1, 384, 8, 8)","(1, 384, 8, 8)",,(,),31,42,BatchNorm2d,
"Mixed_7c.branch3x3dbl_3b, (BasicConv2d)","(1, 384, 8, 8)","(1, 384, 8, 8)",,(,),28,39,BasicConv2d,
"Mixed_7c.branch_pool.conv, (Conv2d)","(1, 2048, 8, 8)","(1, 192, 8, 8)",,(,),29,35,Conv2d,
"Mixed_7c.branch_pool.bn, (BatchNorm2d)","(1, 192, 8, 8)","(1, 192, 8, 8)",,(,),27,38,BatchNorm2d,
"Mixed_7c.branch_pool, (BasicConv2d)","(1, 2048, 8, 8)","(1, 192, 8, 8)",,(,),24,35,BasicConv2d,
"Mixed_7c, (InceptionE)","(1, 2048, 8, 8)","(1, 2048, 8, 8)",,(,),12,22,InceptionE,
"avgpool, (AdaptiveAvgPool2d)","(1, 2048, 8, 8)","(1, 2048, 1, 1)",,(,),11,28,AdaptiveAvgPool2d,
"dropout, (Dropout)","(1, 2048, 1, 1)","(1, 2048, 1, 1)",,(,),11,18,Dropout,
"fc, (Linear)","(1, 2048)","(1, 3)",,(,),6,12,Linear,
