layer,input_shape,output_shape,,,,,,,
"Mixed_5c.branch5x5_2.conv, (Conv2d)","(1, 48, 35, 35)","(1, 64, 35, 35)",,(,),29,35,Conv2d,
"Mixed_5c.branch5x5_2.bn, (BatchNorm2d)","(1, 64, 35, 35)","(1, 64, 35, 35)",,(,),27,38,BatchNorm2d,
"Mixed_5c.branch5x5_2, (BasicConv2d)","(1, 48, 35, 35)","(1, 64, 35, 35)",,(,),24,35,BasicConv2d,
"Mixed_5c.branch3x3dbl_1.conv, (Conv2d)","(1, 256, 35, 35)","(1, 64, 35, 35)",,(,),32,38,Conv2d,
"Mixed_5c.branch3x3dbl_1.bn, (BatchNorm2d)","(1, 64, 35, 35)","(1, 64, 35, 35)",,(,),30,41,BatchNorm2d,
"Mixed_5c.branch3x3dbl_1, (BasicConv2d)","(1, 256, 35, 35)","(1, 64, 35, 35)",,(,),27,38,BasicConv2d,
"Mixed_5c.branch3x3dbl_2.conv, (Conv2d)","(1, 64, 35, 35)","(1, 96, 35, 35)",,(,),32,38,Conv2d,
"Mixed_5c.branch3x3dbl_2.bn, (BatchNorm2d)","(1, 96, 35, 35)","(1, 96, 35, 35)",,(,),30,41,BatchNorm2d,
"Mixed_5c.branch3x3dbl_2, (BasicConv2d)","(1, 64, 35, 35)","(1, 96, 35, 35)",,(,),27,38,BasicConv2d,
"Mixed_5c.branch3x3dbl_3.conv, (Conv2d)","(1, 96, 35, 35)","(1, 96, 35, 35)",,(,),32,38,Conv2d,
"Mixed_5c.branch3x3dbl_3.bn, (BatchNorm2d)","(1, 96, 35, 35)","(1, 96, 35, 35)",,(,),30,41,BatchNorm2d,
"Mixed_5c.branch3x3dbl_3, (BasicConv2d)","(1, 96, 35, 35)","(1, 96, 35, 35)",,(,),27,38,BasicConv2d,
"Mixed_5c.branch_pool.conv, (Conv2d)","(1, 256, 35, 35)","(1, 64, 35, 35)",,(,),29,35,Conv2d,
"Mixed_5c.branch_pool.bn, (BatchNorm2d)","(1, 64, 35, 35)","(1, 64, 35, 35)",,(,),27,38,BatchNorm2d,
"Mixed_5c.branch_pool, (BasicConv2d)","(1, 256, 35, 35)","(1, 64, 35, 35)",,(,),24,35,BasicConv2d,
"Mixed_5c, (InceptionA)","(1, 256, 35, 35)","(1, 288, 35, 35)",,(,),12,22,InceptionA,Reduction
"Mixed_5d.branch1x1.conv, (Conv2d)","(1, 288, 35, 35)","(1, 64, 35, 35)",,(,),27,33,Conv2d,
"Mixed_5d.branch1x1.bn, (BatchNorm2d)","(1, 64, 35, 35)","(1, 64, 35, 35)",,(,),25,36,BatchNorm2d,
"Mixed_5d.branch1x1, (BasicConv2d)","(1, 288, 35, 35)","(1, 64, 35, 35)",,(,),22,33,BasicConv2d,
"Mixed_5d.branch5x5_1.conv, (Conv2d)","(1, 288, 35, 35)","(1, 48, 35, 35)",,(,),29,35,Conv2d,
"Mixed_5d.branch5x5_1.bn, (BatchNorm2d)","(1, 48, 35, 35)","(1, 48, 35, 35)",,(,),27,38,BatchNorm2d,
"Mixed_5d.branch5x5_1, (BasicConv2d)","(1, 288, 35, 35)","(1, 48, 35, 35)",,(,),24,35,BasicConv2d,
"Mixed_5d.branch5x5_2.conv, (Conv2d)","(1, 48, 35, 35)","(1, 64, 35, 35)",,(,),29,35,Conv2d,
"Mixed_5d.branch5x5_2.bn, (BatchNorm2d)","(1, 64, 35, 35)","(1, 64, 35, 35)",,(,),27,38,BatchNorm2d,
"Mixed_5d.branch5x5_2, (BasicConv2d)","(1, 48, 35, 35)","(1, 64, 35, 35)",,(,),24,35,BasicConv2d,
"Mixed_5d.branch3x3dbl_1.conv, (Conv2d)","(1, 288, 35, 35)","(1, 64, 35, 35)",,(,),32,38,Conv2d,
"Mixed_5d.branch3x3dbl_1.bn, (BatchNorm2d)","(1, 64, 35, 35)","(1, 64, 35, 35)",,(,),30,41,BatchNorm2d,
"Mixed_5d.branch3x3dbl_1, (BasicConv2d)","(1, 288, 35, 35)","(1, 64, 35, 35)",,(,),27,38,BasicConv2d,
"Mixed_5d.branch3x3dbl_2.conv, (Conv2d)","(1, 64, 35, 35)","(1, 96, 35, 35)",,(,),32,38,Conv2d,
"Mixed_5d.branch3x3dbl_2.bn, (BatchNorm2d)","(1, 96, 35, 35)","(1, 96, 35, 35)",,(,),30,41,BatchNorm2d,
"Mixed_5d.branch3x3dbl_2, (BasicConv2d)","(1, 64, 35, 35)","(1, 96, 35, 35)",,(,),27,38,BasicConv2d,
"Mixed_5d.branch3x3dbl_3.conv, (Conv2d)","(1, 96, 35, 35)","(1, 96, 35, 35)",,(,),32,38,Conv2d,
"Mixed_5d.branch3x3dbl_3.bn, (BatchNorm2d)","(1, 96, 35, 35)","(1, 96, 35, 35)",,(,),30,41,BatchNorm2d,
"Mixed_5d.branch3x3dbl_3, (BasicConv2d)","(1, 96, 35, 35)","(1, 96, 35, 35)",,(,),27,38,BasicConv2d,
"Mixed_5d.branch_pool.conv, (Conv2d)","(1, 288, 35, 35)","(1, 64, 35, 35)",,(,),29,35,Conv2d,
"Mixed_5d.branch_pool.bn, (BatchNorm2d)","(1, 64, 35, 35)","(1, 64, 35, 35)",,(,),27,38,BatchNorm2d,
"Mixed_5d.branch_pool, (BasicConv2d)","(1, 288, 35, 35)","(1, 64, 35, 35)",,(,),24,35,BasicConv2d,
"Mixed_5d, (InceptionA)","(1, 288, 35, 35)","(1, 288, 35, 35)",,(,),12,22,InceptionA,
"Mixed_6a.branch3x3.conv, (Conv2d)","(1, 288, 35, 35)","(1, 384, 17, 17)",,(,),27,33,Conv2d,
"Mixed_6a.branch3x3.bn, (BatchNorm2d)","(1, 384, 17, 17)","(1, 384, 17, 17)",,(,),25,36,BatchNorm2d,
"Mixed_6a.branch3x3, (BasicConv2d)","(1, 288, 35, 35)","(1, 384, 17, 17)",,(,),22,33,BasicConv2d,
"Mixed_6a.branch3x3dbl_1.conv, (Conv2d)","(1, 288, 35, 35)","(1, 64, 35, 35)",,(,),32,38,Conv2d,
"Mixed_6a.branch3x3dbl_1.bn, (BatchNorm2d)","(1, 64, 35, 35)","(1, 64, 35, 35)",,(,),30,41,BatchNorm2d,
