layer,input_shape,output_shape
"layer2.3.bn1, (BatchNorm2d)","(1, 128, 28, 28)","(1, 128, 28, 28)"
"layer2.3.relu, (ReLU)","(1, 128, 28, 28)","(1, 128, 28, 28)"
"layer2.3.conv2, (Conv2d)","(1, 128, 28, 28)","(1, 128, 28, 28)"
"layer2.3.bn2, (BatchNorm2d)","(1, 128, 28, 28)","(1, 128, 28, 28)"
"layer2.3.relu, (ReLU)","(1, 128, 28, 28)","(1, 128, 28, 28)"
"layer2.3.conv3, (Conv2d)","(1, 128, 28, 28)","(1, 512, 28, 28)"
"layer2.3.bn3, (BatchNorm2d)","(1, 512, 28, 28)","(1, 512, 28, 28)"
"layer2.3.relu, (ReLU)","(1, 512, 28, 28)","(1, 512, 28, 28)"
"layer2.3, (Bottleneck)","(1, 512, 28, 28)","(1, 512, 28, 28)"
"layer3.0.conv1, (Conv2d)","(1, 512, 28, 28)","(1, 256, 28, 28)"
"layer3.0.bn1, (BatchNorm2d)","(1, 256, 28, 28)","(1, 256, 28, 28)"
"layer3.0.relu, (ReLU)","(1, 256, 28, 28)","(1, 256, 28, 28)"
"layer3.0.conv2, (Conv2d)","(1, 256, 28, 28)","(1, 256, 14, 14)"
"layer3.0.bn2, (BatchNorm2d)","(1, 256, 14, 14)","(1, 256, 14, 14)"
"layer3.0.relu, (ReLU)","(1, 256, 14, 14)","(1, 256, 14, 14)"
"layer3.0.conv3, (Conv2d)","(1, 256, 14, 14)","(1, 1024, 14, 14)"
"layer3.0.bn3, (BatchNorm2d)","(1, 1024, 14, 14)","(1, 1024, 14, 14)"
"layer3.0.downsample.0, (Conv2d)","(1, 512, 28, 28)","(1, 1024, 14, 14)"
"layer3.0.downsample.1, (BatchNorm2d)","(1, 1024, 14, 14)","(1, 1024, 14, 14)"
"layer3.0.relu, (ReLU)","(1, 1024, 14, 14)","(1, 1024, 14, 14)"
"layer3.0, (Bottleneck)","(1, 512, 28, 28)","(1, 1024, 14, 14)"
"layer3.1.conv1, (Conv2d)","(1, 1024, 14, 14)","(1, 256, 14, 14)"
"layer3.1.bn1, (BatchNorm2d)","(1, 256, 14, 14)","(1, 256, 14, 14)"
"layer3.1.relu, (ReLU)","(1, 256, 14, 14)","(1, 256, 14, 14)"
"layer3.1.conv2, (Conv2d)","(1, 256, 14, 14)","(1, 256, 14, 14)"
"layer3.1.bn2, (BatchNorm2d)","(1, 256, 14, 14)","(1, 256, 14, 14)"
"layer3.1.relu, (ReLU)","(1, 256, 14, 14)","(1, 256, 14, 14)"
