layer,input_shape,output_shape
"features.6.block.2.scale_activation, (Hardsigmoid)","(1, 120, 1, 1)","(1, 120, 1, 1)"
"features.6.block.2, (SqueezeExcitation)","(1, 120, 28, 28)","(1, 120, 28, 28)"
"features.6.block.3.0, (Conv2d)","(1, 120, 28, 28)","(1, 40, 28, 28)"
"features.6.block.3.1, (BatchNorm2d)","(1, 40, 28, 28)","(1, 40, 28, 28)"
"features.6, (InvertedResidual)","(1, 40, 28, 28)","(1, 40, 28, 28)"
"features.7.block.0.0, (Conv2d)","(1, 40, 28, 28)","(1, 240, 28, 28)"
"features.7.block.0.1, (BatchNorm2d)","(1, 240, 28, 28)","(1, 240, 28, 28)"
"features.7.block.0.2, (Hardswish)","(1, 240, 28, 28)","(1, 240, 28, 28)"
"features.7.block.1.0, (Conv2d)","(1, 240, 28, 28)","(1, 240, 14, 14)"
"features.7.block.1.1, (BatchNorm2d)","(1, 240, 14, 14)","(1, 240, 14, 14)"
"features.7.block.1.2, (Hardswish)","(1, 240, 14, 14)","(1, 240, 14, 14)"
"features.7.block.2.0, (Conv2d)","(1, 240, 14, 14)","(1, 80, 14, 14)"
"features.7.block.2.1, (BatchNorm2d)","(1, 80, 14, 14)","(1, 80, 14, 14)"
"features.7, (InvertedResidual)","(1, 40, 28, 28)","(1, 80, 14, 14)"
"features.8.block.0.0, (Conv2d)","(1, 80, 14, 14)","(1, 200, 14, 14)"
"features.8.block.0.1, (BatchNorm2d)","(1, 200, 14, 14)","(1, 200, 14, 14)"
"features.8.block.0.2, (Hardswish)","(1, 200, 14, 14)","(1, 200, 14, 14)"
"features.8.block.1.0, (Conv2d)","(1, 200, 14, 14)","(1, 200, 14, 14)"
"features.8.block.1.1, (BatchNorm2d)","(1, 200, 14, 14)","(1, 200, 14, 14)"
"features.8.block.1.2, (Hardswish)","(1, 200, 14, 14)","(1, 200, 14, 14)"
"features.8.block.2.0, (Conv2d)","(1, 200, 14, 14)","(1, 80, 14, 14)"
"features.8.block.2.1, (BatchNorm2d)","(1, 80, 14, 14)","(1, 80, 14, 14)"
"features.8, (InvertedResidual)","(1, 80, 14, 14)","(1, 80, 14, 14)"
"features.9.block.0.0, (Conv2d)","(1, 80, 14, 14)","(1, 184, 14, 14)"
"features.9.block.0.1, (BatchNorm2d)","(1, 184, 14, 14)","(1, 184, 14, 14)"
"features.9.block.0.2, (Hardswish)","(1, 184, 14, 14)","(1, 184, 14, 14)"
"features.9.block.1.0, (Conv2d)","(1, 184, 14, 14)","(1, 184, 14, 14)"
"features.9.block.1.1, (BatchNorm2d)","(1, 184, 14, 14)","(1, 184, 14, 14)"
"features.9.block.1.2, (Hardswish)","(1, 184, 14, 14)","(1, 184, 14, 14)"
"features.9.block.2.0, (Conv2d)","(1, 184, 14, 14)","(1, 80, 14, 14)"
"features.9.block.2.1, (BatchNorm2d)","(1, 80, 14, 14)","(1, 80, 14, 14)"
"features.9, (InvertedResidual)","(1, 80, 14, 14)","(1, 80, 14, 14)"
"features.10.block.0.0, (Conv2d)","(1, 80, 14, 14)","(1, 184, 14, 14)"
"features.10.block.0.1, (BatchNorm2d)","(1, 184, 14, 14)","(1, 184, 14, 14)"
"features.10.block.0.2, (Hardswish)","(1, 184, 14, 14)","(1, 184, 14, 14)"
"features.10.block.1.0, (Conv2d)","(1, 184, 14, 14)","(1, 184, 14, 14)"
"features.10.block.1.1, (BatchNorm2d)","(1, 184, 14, 14)","(1, 184, 14, 14)"
"features.10.block.1.2, (Hardswish)","(1, 184, 14, 14)","(1, 184, 14, 14)"
"features.10.block.2.0, (Conv2d)","(1, 184, 14, 14)","(1, 80, 14, 14)"
"features.10.block.2.1, (BatchNorm2d)","(1, 80, 14, 14)","(1, 80, 14, 14)"
"features.10, (InvertedResidual)","(1, 80, 14, 14)","(1, 80, 14, 14)"
"features.11.block.0.0, (Conv2d)","(1, 80, 14, 14)","(1, 480, 14, 14)"
"features.11.block.0.1, (BatchNorm2d)","(1, 480, 14, 14)","(1, 480, 14, 14)"
"features.11.block.0.2, (Hardswish)","(1, 480, 14, 14)","(1, 480, 14, 14)"
"features.11.block.1.0, (Conv2d)","(1, 480, 14, 14)","(1, 480, 14, 14)"
"features.11.block.1.1, (BatchNorm2d)","(1, 480, 14, 14)","(1, 480, 14, 14)"
"features.11.block.1.2, (Hardswish)","(1, 480, 14, 14)","(1, 480, 14, 14)"
"features.11.block.2.avgpool, (AdaptiveAvgPool2d)","(1, 480, 14, 14)","(1, 480, 1, 1)"
"features.11.block.2.fc1, (Conv2d)","(1, 480, 1, 1)","(1, 120, 1, 1)"
"features.11.block.2.activation, (ReLU)","(1, 120, 1, 1)","(1, 120, 1, 1)"
"features.11.block.2.fc2, (Conv2d)","(1, 120, 1, 1)","(1, 480, 1, 1)"
"features.11.block.2.scale_activation, (Hardsigmoid)","(1, 480, 1, 1)","(1, 480, 1, 1)"
"features.11.block.2, (SqueezeExcitation)","(1, 480, 14, 14)","(1, 480, 14, 14)"
"features.11.block.3.0, (Conv2d)","(1, 480, 14, 14)","(1, 112, 14, 14)"
"features.11.block.3.1, (BatchNorm2d)","(1, 112, 14, 14)","(1, 112, 14, 14)"
"features.11, (InvertedResidual)","(1, 80, 14, 14)","(1, 112, 14, 14)"
"features.12.block.0.0, (Conv2d)","(1, 112, 14, 14)","(1, 672, 14, 14)"
"features.12.block.0.1, (BatchNorm2d)","(1, 672, 14, 14)","(1, 672, 14, 14)"
"features.12.block.0.2, (Hardswish)","(1, 672, 14, 14)","(1, 672, 14, 14)"
"features.12.block.1.0, (Conv2d)","(1, 672, 14, 14)","(1, 672, 14, 14)"
"features.12.block.1.1, (BatchNorm2d)","(1, 672, 14, 14)","(1, 672, 14, 14)"
"features.12.block.1.2, (Hardswish)","(1, 672, 14, 14)","(1, 672, 14, 14)"
"features.12.block.2.avgpool, (AdaptiveAvgPool2d)","(1, 672, 14, 14)","(1, 672, 1, 1)"
"features.12.block.2.fc1, (Conv2d)","(1, 672, 1, 1)","(1, 168, 1, 1)"
"features.12.block.2.activation, (ReLU)","(1, 168, 1, 1)","(1, 168, 1, 1)"
"features.12.block.2.fc2, (Conv2d)","(1, 168, 1, 1)","(1, 672, 1, 1)"
"features.12.block.2.scale_activation, (Hardsigmoid)","(1, 672, 1, 1)","(1, 672, 1, 1)"
"features.12.block.2, (SqueezeExcitation)","(1, 672, 14, 14)","(1, 672, 14, 14)"
"features.12.block.3.0, (Conv2d)","(1, 672, 14, 14)","(1, 112, 14, 14)"
"features.12.block.3.1, (BatchNorm2d)","(1, 112, 14, 14)","(1, 112, 14, 14)"
"features.12, (InvertedResidual)","(1, 112, 14, 14)","(1, 112, 14, 14)"
"features.13.block.0.0, (Conv2d)","(1, 112, 14, 14)","(1, 672, 14, 14)"
"features.13.block.0.1, (BatchNorm2d)","(1, 672, 14, 14)","(1, 672, 14, 14)"
"features.13.block.0.2, (Hardswish)","(1, 672, 14, 14)","(1, 672, 14, 14)"
"features.13.block.1.0, (Conv2d)","(1, 672, 14, 14)","(1, 672, 7, 7)"
"features.13.block.1.1, (BatchNorm2d)","(1, 672, 7, 7)","(1, 672, 7, 7)"
"features.13.block.1.2, (Hardswish)","(1, 672, 7, 7)","(1, 672, 7, 7)"
"features.13.block.2.avgpool, (AdaptiveAvgPool2d)","(1, 672, 7, 7)","(1, 672, 1, 1)"
"features.13.block.2.fc1, (Conv2d)","(1, 672, 1, 1)","(1, 168, 1, 1)"
"features.13.block.2.activation, (ReLU)","(1, 168, 1, 1)","(1, 168, 1, 1)"
"features.13.block.2.fc2, (Conv2d)","(1, 168, 1, 1)","(1, 672, 1, 1)"
"features.13.block.2.scale_activation, (Hardsigmoid)","(1, 672, 1, 1)","(1, 672, 1, 1)"
"features.13.block.2, (SqueezeExcitation)","(1, 672, 7, 7)","(1, 672, 7, 7)"
"features.13.block.3.0, (Conv2d)","(1, 672, 7, 7)","(1, 160, 7, 7)"
"features.13.block.3.1, (BatchNorm2d)","(1, 160, 7, 7)","(1, 160, 7, 7)"
"features.13, (InvertedResidual)","(1, 112, 14, 14)","(1, 160, 7, 7)"
"features.14.block.0.0, (Conv2d)","(1, 160, 7, 7)","(1, 960, 7, 7)"
"features.14.block.0.1, (BatchNorm2d)","(1, 960, 7, 7)","(1, 960, 7, 7)"
"features.14.block.0.2, (Hardswish)","(1, 960, 7, 7)","(1, 960, 7, 7)"
"features.14.block.1.0, (Conv2d)","(1, 960, 7, 7)","(1, 960, 7, 7)"
"features.14.block.1.1, (BatchNorm2d)","(1, 960, 7, 7)","(1, 960, 7, 7)"
"features.14.block.1.2, (Hardswish)","(1, 960, 7, 7)","(1, 960, 7, 7)"
"features.14.block.2.avgpool, (AdaptiveAvgPool2d)","(1, 960, 7, 7)","(1, 960, 1, 1)"
"features.14.block.2.fc1, (Conv2d)","(1, 960, 1, 1)","(1, 240, 1, 1)"
"features.14.block.2.activation, (ReLU)","(1, 240, 1, 1)","(1, 240, 1, 1)"
"features.14.block.2.fc2, (Conv2d)","(1, 240, 1, 1)","(1, 960, 1, 1)"
"features.14.block.2.scale_activation, (Hardsigmoid)","(1, 960, 1, 1)","(1, 960, 1, 1)"
"features.14.block.2, (SqueezeExcitation)","(1, 960, 7, 7)","(1, 960, 7, 7)"
"features.14.block.3.0, (Conv2d)","(1, 960, 7, 7)","(1, 160, 7, 7)"
"features.14.block.3.1, (BatchNorm2d)","(1, 160, 7, 7)","(1, 160, 7, 7)"
"features.14, (InvertedResidual)","(1, 160, 7, 7)","(1, 160, 7, 7)"
"features.15.block.0.0, (Conv2d)","(1, 160, 7, 7)","(1, 960, 7, 7)"
"features.15.block.0.1, (BatchNorm2d)","(1, 960, 7, 7)","(1, 960, 7, 7)"
"features.15.block.0.2, (Hardswish)","(1, 960, 7, 7)","(1, 960, 7, 7)"
"features.15.block.1.0, (Conv2d)","(1, 960, 7, 7)","(1, 960, 7, 7)"
"features.15.block.1.1, (BatchNorm2d)","(1, 960, 7, 7)","(1, 960, 7, 7)"
"features.15.block.1.2, (Hardswish)","(1, 960, 7, 7)","(1, 960, 7, 7)"
"features.15.block.2.avgpool, (AdaptiveAvgPool2d)","(1, 960, 7, 7)","(1, 960, 1, 1)"
"features.15.block.2.fc1, (Conv2d)","(1, 960, 1, 1)","(1, 240, 1, 1)"
"features.15.block.2.activation, (ReLU)","(1, 240, 1, 1)","(1, 240, 1, 1)"
"features.15.block.2.fc2, (Conv2d)","(1, 240, 1, 1)","(1, 960, 1, 1)"
