Full filepath,Full Class Index,sensitivityscore_before_features.7,sensitivityscore_before_features.19,sensitivityscore_before_features.20,sensitivityscore_before_features.21,sensitivityscore_before_features.22,sensitivityscore_before_features.23,sensitivityscore_before_features.24,sensitivityscore_before_features.25,sensitivityscore_before_features.26,sensitivityscore_before_features.27,sensitivityscore_before_features.28,sensitivityscore_After_features.28_0.5,sensitivityscore_After_features.28_0.6,sensitivityscore_After_features.28_0.7,sensitivityscore_After_features.28_0.8
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0090_796077.jpg,0,0.0046199244,0.00053673284,0.011701685,6.652635e-05,0.0123131825,0.009510617,0.027744384,0.02064377,0.038331512,0.045661595,0.051526435,0.059358656,0.05482218,0.05214449,0.05521994
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg,0,-0.0011038294,0.009882238,0.008475696,0.002737131,-0.0019711952,0.014234207,0.03799582,0.011416508,0.040035844,0.059681676,0.051575996,0.05697353,0.0614885,0.057376355,0.051430896
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg,0,0.0029360345,0.010925055,0.0111234905,0.0031548848,0.008096781,0.024090655,0.011909777,0.009091239,-0.0031685946,0.026819322,0.016364925,0.056430332,0.051197156,0.05677471,0.056127332
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg,0,0.000856076,0.009363277,-0.0027988278,-0.0053969896,0.0008749818,-0.0002512145,0.018985596,0.0196128,0.008098772,0.010393914,0.030800747,0.055876896,0.04166453,0.046401296,0.049151815
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg,0,0.004903072,0.004988639,0.0071525727,0.006107552,0.0055116536,0.002662806,0.036074143,0.033268154,0.0186866,0.024208043,0.03801399,0.047961213,0.05137922,0.058497727,0.057876386
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg,0,0.00028252776,0.0027873255,0.000638515,-0.0027207106,0.0030624813,-0.009041492,-0.008509892,0.007182361,0.011821655,0.021738162,0.031256244,0.061350875,0.042789284,0.05374268,0.043428652
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg,0,0.0042952253,0.005629089,-0.00032382854,-0.010304147,-0.009225891,-0.004289817,-0.003630071,0.008771364,0.0053385124,0.014192934,0.025057115,0.05712384,0.05785372,0.05499614,0.04980446
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,0,0.0018419479,-0.00056667544,-0.0049027004,-0.011629712,-0.0071370723,-0.008706961,0.0022788565,-0.01490386,0.0041864705,0.0051632673,0.030088766,0.056888588,0.04787398,0.053160753,0.046195544
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0050_796125.jpg,0,0.0027821348,0.0029791177,0.0034539548,0.0006777259,-0.0013825903,0.009182485,0.010563469,0.0050328663,0.023102028,0.022112187,0.038512625,0.045127563,0.04309857,0.055253632,0.054677542
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0058_796074.jpg,0,0.00035099202,0.005400541,0.0059023076,-0.0020672183,-0.0009992262,-0.00075157173,0.0073832925,0.015156357,0.015317438,0.015767805,0.041255094,0.05196646,0.046468895,0.047112603,0.047487732
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg,0,0.0042056693,0.0029288502,-0.0034334855,-0.0026323507,0.0048854565,0.0040237145,0.026534993,0.010439626,0.0058258995,0.010483477,0.028270815,0.05916749,0.060055558,0.052500427,0.05294567
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg,0,0.000240583,0.0012603062,0.003042596,0.00038173917,-0.009472841,-0.010300649,0.010016822,-0.0032396677,0.0066748047,0.040470287,0.031104773,0.051902466,0.04991295,0.052999523,0.045842323
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0079_796122.jpg,0,-0.0016342562,-0.0007744251,-0.0006075473,-0.00056443934,-0.0017127829,-0.006558649,0.03327003,0.013139993,0.021771502,0.03792659,0.049004152,0.043209072,0.045733977,0.042226948,0.053647555
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0088_796133.jpg,0,0.0024036504,-0.012729465,-0.01963251,-0.014921233,-0.012190052,-0.022861978,-0.023592249,-0.008582863,-0.021912863,-0.017947625,0.0196973,0.054572757,0.049781248,0.044320658,0.042633664
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0024_796089.jpg,0,-0.0016431871,0.009206727,-0.00029178069,0.0011911575,-0.0053601875,0.0022270852,0.006418196,-0.00085401395,-0.0033182064,0.018032994,0.013142683,0.054803036,0.042884156,0.047001887,0.046071704
