Full filepath,Full Class Index,sensitivityscore_before_conv1_0.6,sensitivityscore_before_maxpool_0.6,sensitivityscore_before_layer1.0.conv1_0.6,sensitivityscore_before_layer1.0.conv2_0.6,sensitivityscore_before_layer1.0.conv3_0.6,sensitivityscore_before_layer1.0.downsample.0_0.6,sensitivityscore_before_layer1.1.conv1_0.6,sensitivityscore_before_layer1.1.conv2_0.6,sensitivityscore_before_layer1.1.conv3_0.6,sensitivityscore_before_layer1.2.conv1_0.6,sensitivityscore_before_layer1.2.conv2_0.6,sensitivityscore_before_layer1.2.conv3_0.6,sensitivityscore_before_layer2.0.conv1_0.6,sensitivityscore_before_layer2.0.conv2_0.6,sensitivityscore_before_layer2.0.conv3_0.6,sensitivityscore_before_layer2.0.downsample.0_0.6,sensitivityscore_before_layer2.1.conv1_0.6,sensitivityscore_before_layer2.1.conv2_0.6,sensitivityscore_before_layer2.1.conv3_0.6,sensitivityscore_before_layer2.2.conv1_0.6,sensitivityscore_before_layer2.2.conv2_0.6,sensitivityscore_before_layer2.2.conv3_0.6,sensitivityscore_before_layer2.3.conv1_0.6,sensitivityscore_before_layer2.3.conv2_0.6,sensitivityscore_before_layer2.3.conv3_0.6,sensitivityscore_before_layer3.0.conv1_0.6,sensitivityscore_before_layer3.0.conv2_0.6,sensitivityscore_before_layer3.0.conv3_0.6,sensitivityscore_before_layer3.0.downsample.0_0.6,sensitivityscore_before_layer3.1.conv1_0.6,sensitivityscore_before_layer3.1.conv2_0.6,sensitivityscore_before_layer3.1.conv3_0.6,sensitivityscore_before_layer3.2.conv1_0.6,sensitivityscore_before_layer3.2.conv2_0.6,sensitivityscore_before_layer3.2.conv3_0.6,sensitivityscore_before_layer3.3.conv1_0.6,sensitivityscore_before_layer3.3.conv2_0.6,sensitivityscore_before_layer3.3.conv3_0.6,sensitivityscore_before_layer3.4.conv1_0.6,sensitivityscore_before_layer3.4.conv2_0.6,sensitivityscore_before_layer3.4.conv3_0.6,sensitivityscore_before_layer3.5.conv1_0.6,sensitivityscore_before_layer3.5.conv2_0.6,sensitivityscore_before_layer3.5.conv3_0.6,sensitivityscore_before_layer4.0.conv1_0.6,sensitivityscore_before_layer4.0.conv2_0.6,sensitivityscore_before_layer4.0.conv3_0.6,sensitivityscore_before_layer4.0.downsample.0_0.6,sensitivityscore_before_layer4.1.conv1_0.6,sensitivityscore_before_layer4.1.conv2_0.6,sensitivityscore_before_layer4.1.conv3_0.6,sensitivityscore_before_layer4.2.conv1_0.6,sensitivityscore_before_layer4.2.conv2_0.6,sensitivityscore_before_layer4.2.conv3_0.6
/home/multiclass_classification/zebra/train/187.jpg,2,-0.0035933587,-0.0014708173,-0.005884136,-0.0008028317,5.1419833e-05,0.002192367,-0.0036725253,-0.0060152225,-0.004541119,0.004539623,0.0033090583,0.00508944,-0.015777307,-0.013297913,-0.0117211975,-0.007889701,-0.0016171453,-0.010146362,-0.0067767194,-0.009717918,-0.0093706865,-0.0033914973,-0.008526475,-0.0142217465,-0.001172195,-0.0017818983,0.0016091635,-0.0025656172,-0.014135132,-0.0020528943,-0.0031652264,-0.0077622766,-0.03306774,-0.0067417584,-0.006404525,-0.015974196,-0.0051239897,0.0007785723,-0.01790507,-0.014291724,-0.002571936,-0.021444507,-0.013699866,-0.0017309673,-0.011996493,0.021196153,0.002577796,0.012181582,-0.013150435,-0.012369536,0.0014777787,-0.02216965,0.05645788,0.078219235
/home/multiclass_classification/zebra/train/n02391049_8059.jpg,2,-0.0013836462,-0.0021628006,-0.0030563262,-0.0034855013,-0.0025928954,-0.001316184,-0.0060588233,0.003180638,-0.00034858286,-0.00010047306,-0.003678632,0.0009845034,-0.00284054,-0.0024658903,0.00067189895,0.0016514687,-0.0061468077,-0.009958364,-0.01415565,-0.010099799,-0.01609176,-0.006097872,-0.004050946,-0.0007169715,0.0022258388,-0.001141424,-0.0055499044,-0.007162352,-0.0072682193,-0.0030884764,0.0031701638,-0.005811348,-0.010891579,0.0061041266,-0.0032889128,0.0022471673,0.00089142146,-0.0029026256,-0.0017267908,-0.009598164,-0.0070913667,-0.010912096,-0.00027334993,0.0023492684,0.011670427,0.03230204,0.044146843,0.0140265385,0.034991995,0.0146713685,0.043295838,-0.0024959864,0.05035765,0.06303837
/home/multiclass_classification/zebra/train/image_123.jpeg,2,-0.00018792792,-0.0029014999,-0.012071673,0.002304382,-0.0009954532,0.0005923031,0.0016976525,0.0019372698,0.004686472,0.009443637,0.0032286786,-0.0017461122,0.0035242585,-0.006546897,0.010368568,-0.0025562993,-0.0012316385,-0.020814728,-0.01415395,-0.0061697005,-0.0058242963,-0.0013348975,-0.005203611,-0.0025639995,-0.010601783,-0.00035473006,0.0076637734,-0.003912704,-0.01023301,-0.015657257,-0.014418097,-0.005129995,-0.0087923035,-0.002137422,-0.001540351,-0.012489626,-0.0044423584,-0.0068427944,-0.005632541,-0.0040679835,-0.0011652512,-0.00085998,0.008557233,0.009574201,-0.005422837,0.015326388,0.013364142,0.007383975,0.003941223,-0.014873648,0.022972832,-0.025113337,0.039776377,0.09217728
/home/multiclass_classification/zebra/train/n02391049_3091.jpg,2,-0.00015942981,0.010856437,0.010987671,0.01470515,0.0078145815,0.007079516,0.0044977716,0.0014912377,0.0014035394,-0.0027526794,-0.0054591005,0.004277602,-0.00044919027,-0.0022916107,0.0016899882,-0.004364903,0.00031956466,-0.01718008,-0.015065823,-0.008302226,-0.006993017,-0.008057029,-0.008524831,-0.0071245893,0.00016818568,0.0030664608,-0.0018295939,-0.0058960617,-0.014036428,-0.022038188,0.00021702214,-0.0071467855,-0.0057357857,-0.0034583157,0.00058066775,-0.012894214,0.00087251654,8.478528e-06,-0.005701476,-0.0027739375,0.0009920839,-0.0047178613,-0.003340472,0.0069789723,0.008699969,0.02282696,0.016034754,0.017104808,0.021267137,0.011959655,0.017675884,-0.03424638,0.024143046,0.06406447
/home/multiclass_classification/zebra/train/010.jpg,2,-9.9410856e-05,0.012974107,0.002683661,0.009223964,0.004318144,0.013850976,-0.0040346743,-0.009525027,-0.0032238588,-0.0048103193,-0.00485326,0.00028391439,0.0028589326,-0.0035424824,0.005921845,0.005860002,-0.007560072,-8.7433145e-05,-0.02912127,-0.0034788349,-0.010913534,-0.0062196497,-0.019196235,-0.014568351,-0.007743927,-0.0033149384,-0.0029062275,-0.001621743,-0.005721784,-0.006337787,-0.0013236471,0.000302776,0.00070383196,0.002508759,-0.0017838909,-0.0078746285,-0.018798303,-0.0014156033,-0.011193203,-0.007021458,-0.007277183,-0.0019020899,0.00020677596,-0.0031047035,0.005153397,0.029805487,0.0048795845,0.020678747,0.0073483493,-0.0049502524,0.017449753,-0.0021069492,0.050738625,0.074029595
/home/multiclass_classification/zebra/train/358.jpg,2,-0.0001495638,-0.0032063674,-0.010775904,0.0031231705,-0.0019308834,0.0049422556,-0.003469985,-0.004054818,-0.0040279487,-0.0024089592,-0.002059803,-0.0036725411,0.0024719094,-0.0052328696,0.00026705954,0.0031983065,0.008916435,-0.0115040615,-0.014369372,0.0040168017,-0.011197135,-0.0064959764,-0.0063967467,-0.0032361809,0.002029377,0.0035205875,-0.011375534,-0.0057428875,-0.006691567,-0.015561217,-0.008159614,-0.015091423,-0.011558486,-0.0014754173,0.0012462374,-0.011964978,-0.015199992,-0.0035146826,-0.020276655,-0.009890102,-0.013742418,-0.01805866,-0.0039940407,0.00029991334,-0.010987796,0.02139965,0.009010979,0.005253089,0.0008144891,-0.01126642,0.01448958,-0.030405495,0.064673096,0.0703911
/home/multiclass_classification/zebra/train/zebra (10).jpg,2,0.0018809335,0.0036747237,-0.014200195,-0.004031714,0.0028794284,0.0073846737,0.00081485265,0.0051097916,-0.0008209016,0.0061667385,0.011399388,0.0024214159,-0.0009739836,-0.0062009175,-0.00017145454,-0.004135022,-0.01027146,-0.016146263,-0.016291462,0.0033567213,0.0051797517,-0.006088298,-0.0015923198,0.0039206557,-0.0039036083,-0.011261754,0.0013268288,-0.0023102444,-0.012271818,-0.042368565,-0.018548606,-0.008059386,-0.01792229,-0.00679927,-0.008783756,0.0028301654,-0.0092596095,-0.00060948485,0.003958248,-0.006239203,0.0029895476,-0.0069254423,0.0012981766,0.00484717,0.010402235,0.025986556,0.008187324,0.012504139,0.01292675,0.0065399017,0.023110833,-0.022107575,0.055285536,0.06594805
/home/multiclass_classification/zebra/train/200.jpg,2,-0.00062364456,0.009204221,-0.0001494058,0.007415924,0.0072558066,0.007995311,0.0031234848,0.00019668031,-0.0033088555,0.0043482874,0.00017377062,-0.004526142,0.0006250249,-0.005425508,-0.0013675131,-0.007677038,0.010307534,-0.014196065,-0.019331776,0.0022452842,-0.0049650245,-0.009146253,-0.022384405,-0.018234087,-0.00649597,-0.008810341,-0.019910626,-0.012544941,-0.018369738,-0.044870995,-0.018218696,-0.012623284,-0.014785137,-0.004519633,-0.004924265,-0.015220631,-0.011486321,-0.0028079457,-0.008868716,-0.008244401,-0.013235427,-0.027437929,-0.021090247,-0.008101439,-0.0048133526,0.01975943,0.0007049779,0.0016064957,1.2543052e-05,-0.028200723,0.021125235,-0.03257988,0.053167526,0.079226315
/home/multiclass_classification/zebra/train/n02391049_3031.jpg,2,0.00036725856,-0.0012748578,-0.0054074107,-0.0048330734,0.002216076,0.009179417,-0.001923097,-0.006596719,-0.00850158,0.0023621104,-0.0025601415,-0.004195642,0.010963123,-0.0023096357,0.0033987681,-0.002949728,0.0030789133,-0.0039040332,-0.0073315487,0.0017917698,-0.0060906652,-0.007756989,-0.014701824,-0.010431822,-0.011735715,-0.0084175,-0.020580119,-0.009738313,-0.017135687,-0.02211611,-0.025445534,-0.01515916,-0.014750671,-0.012842599,-0.004458775,-0.0042702574,-0.010036687,-0.007583079,-0.015143566,-0.014005745,-0.018739631,-0.034461897,-0.02027885,-0.004639707,-0.0082363635,0.026424829,0.007922972,0.0084749255,0.0069810036,0.0024348185,0.020822687,-0.00011188863,0.033587284,0.060968306
/home/multiclass_classification/zebra/train/n02391049_2297.jpg,2,-0.0001846355,-0.0102627305,-0.012542407,-0.009264436,-0.0048067905,-0.0031675913,0.0014993888,0.00060737645,0.0017350517,-0.0010830257,0.0018302652,-0.009843329,-0.002821893,0.005861263,-0.0038852005,-0.003211306,-0.0051898556,0.0009899975,-0.0037691435,-0.0094093345,-0.010884515,-0.0013441558,-0.00875408,-0.0036629713,-0.004341986,-0.0056240777,-0.005149924,-0.008695698,-0.008156196,-0.011312601,-0.0071020443,-0.0016682665,-0.009248902,0.0047654044,-0.001821541,-0.0006185542,-0.00392545,2.3023458e-05,-0.01767461,-0.01773147,-0.0060586855,-0.011275133,-0.0080720205,-0.0010580048,0.009515107,0.030237695,0.020368284,0.013636332,0.039134983,0.016098984,0.021852376,0.0027981964,0.03705956,0.06343751
