Full filepath,Full Class Index,features.0,features.2,features.4,features.5,features.7,features.9,features.10,features.12,features.14,features.16,features.17,features.19,features.21,features.23,features.24,features.26,features.28,features.30
/home/multiclass_classification/deer/train/6435dd1e94.jpg,0,0.000490426,0.004749135,0.008171846,0.001824479,0.009286048,0.019532954,0.0061234,0.004888073,0.009486228,0.024417635,0.02573621,0.017794043,0.012604179,0.03985668,0.031791724,0.025809217,0.047590964,0.09012064
/home/multiclass_classification/deer/train/image_75.jpg,0,0.00304921,0.00119621,0.009823591,0.007516771,0.005262114,0.014497493,0.009792081,0.008352311,-0.000666804,0.010299853,0.004757854,0.004463583,0.0049732,0.023794692,0.009072579,0.00258109,0.037643574,0.061427012
/home/multiclass_classification/deer/train/2e9aad69b1.jpg,0,0.001281801,0.003422814,0.01024068,0.010797152,0.003664015,0.01651618,0.007486596,0.010133275,0.012069915,0.032950483,0.022725131,0.021675354,0.008981742,0.017695036,0.040395766,0.047515225,0.04906362,0.10620803
/home/multiclass_classification/deer/train/1433eed2a1.jpg,0,0.003749088,0.003492754,0.007591629,0.000539841,0.005044945,0.013999503,0.004771047,0.008298676,0.004183982,0.016140461,0.006562295,0.016054379,0.005445447,0.031765234,0.035477392,0.034457758,0.02876242,0.06503144
/home/multiclass_classification/deer/train/42cbbc24ce.jpg,0,-0.004119358,0.002899195,0.007370525,0.005458241,0.002701392,-0.001504323,0.003631375,0.006112699,0.005143219,0.002877395,7.69E-05,0.013741869,0.007026816,0.040396377,0.015045064,0.030812006,0.02882008,0.06524968
/home/multiclass_classification/deer/train/9089820c55.jpg,0,-0.00273618,-0.001032726,-0.001760562,0.00109689,-0.002162139,-0.007561994,-0.006988666,-0.000695068,-0.006716753,-0.01759062,-0.012181489,0.001662865,0.001612148,0.003053698,0.010297131,0.01705956,0.040235903,0.08689308
/home/multiclass_classification/deer/train/cba0276b22.jpg,0,0.011123314,0.003721941,0.006600259,0.004164725,0.002271332,-0.002180812,0.006294318,0.00594329,-0.002056311,0.000659045,0.008187776,0.004290112,0.006251421,0.008166231,0.031201513,0.013074528,0.014495211,0.033514164
/home/multiclass_classification/deer/train/95e3856962.jpg,0,0.002587203,0.002182483,0.008374544,0.004381214,0.004332157,0.007219274,0.006465219,0.011319771,0.005555771,0.017244598,0.014764968,0.00818531,0.006874635,0.0356341,0.03223631,0.007540007,0.03804974,0.079284824
/home/multiclass_classification/deer/train/5265b6f5ae.jpg,0,0.006515238,0.003134144,-0.000156064,0.008777585,0.004715945,0.019704383,0.016856484,0.007809277,0.006429849,0.019983485,0.01797616,0.020750234,0.006727731,0.030726694,0.030187977,0.030939903,0.04016811,0.093435764
/home/multiclass_classification/deer/train/3d3e29fcdd.jpg,0,0.003585211,0.003321984,0.008169102,0.005478129,0.008465122,0.020032322,0.010099934,0.008891551,0.005560344,0.029453184,0.006487418,0.025182081,0.0136288,0.028041331,0.05477532,0.03690675,0.038032692,0.09411963
/home/multiclass_classification/deer/train/1f28583fa5.jpg,0,-0.003522751,0.001958521,0.005991052,-0.003388894,0.002660909,0.01254024,0.010399837,0.007505217,0.006171824,0.013775554,0.008125856,0.005313102,0.010703489,0.02597886,0.024384916,0.025235964,0.031093031,0.07474701
/home/multiclass_classification/deer/train/020773fcda.jpg,0,-0.000838875,0.001576158,0.006296531,0.002295286,0.003209782,0.00812738,0.010512444,0.005699589,0.007058959,0.019899633,0.010451331,0.021753367,0.007783619,0.034457497,0.04447569,-0.012286489,0.028764982,0.046585888
/home/multiclass_classification/deer/train/fec92271ef.jpg,0,0.000267571,-0.000933458,-0.003035058,-0.009730799,-0.003352413,-0.013962112,-0.012916764,-0.006233806,-0.010286764,-0.02634456,-0.02654007,-0.004485383,-0.005913538,-0.007638807,-0.000475993,0.019363869,0.022887912,0.052405853
/home/multiclass_classification/deer/train/a6b92d0bfa.jpg,0,-0.000683669,0.003271635,0.005669064,0.007876547,0.01481367,0.021872004,0.024363972,0.007880714,0.007021864,0.00984787,0.02249688,0.017258417,0.010203184,0.014780213,0.029052263,0.028388377,0.03146378,0.055868767
/home/multiclass_classification/deer/train/bafb430d97.jpg,0,-0.003901845,-0.000673415,0.001366307,0.002703524,0.00155965,0.009404948,0.003693136,0.002682878,0.002300912,-0.006717143,0.007443633,0.01068644,0.004806169,0.017490564,0.014385894,0.025447464,0.02763014,0.06467633
/home/multiclass_classification/deer/train/178f861075.jpg,0,-0.001902483,0.004814179,0.015970584,0.004662906,0.009987317,0.02371744,0.013962628,0.005226843,0.002558298,0.007408267,0.011603551,0.015799645,0.007942035,0.027291056,0.040638927,0.020391446,0.0453454,0.09871347
/home/multiclass_classification/deer/train/818c7331ca.jpg,0,-0.003320729,0.000932525,-5.85E-05,0.002811707,0.005903175,0.017044786,0.014882563,0.008492985,0.012732919,0.02702075,0.01791422,0.017100947,0.008939536,0.014134489,0.04194315,0.029942561,0.021470858,0.039550126
/home/multiclass_classification/deer/train/acd18cc8bc.jpg,0,0.000265418,0.000165232,0.005062704,0.006329686,0.007892813,0.017800212,0.007341635,0.002138174,0.003176135,0.006645839,-0.003043818,0.005337796,0.001154646,-0.003580724,0.008166624,0.021597091,0.033140566,0.050295185
/home/multiclass_classification/deer/train/8775fbf2a1.jpg,0,-0.004428193,-0.001178942,-0.000949663,0.0016077,0.001144905,-0.003075529,0.011391604,0.003181425,-0.000266708,0.004232528,0.020159338,0.024324097,0.013156375,0.024202704,0.016182596,0.011179116,0.029820533,0.045695588
/home/multiclass_classification/deer/train/9e2a0b6fe8.jpg,0,0.000991472,0.000391063,0.002085826,0.000177626,0.001103861,0.006157766,-0.000999332,0.007599867,0.000677286,0.009487066,0.008809302,0.005958485,-0.000794493,0.012344913,0.044572964,0.019876149,0.044494897,0.08621186
/home/multiclass_classification/deer/train/ceef5fc0ea.jpg,0,0.0013498,0.000225229,0.001949441,0.000819113,0.00523485,0.007994135,0.003671283,0.004025361,0.002081507,0.004289796,0.008295102,0.016667074,0.005376579,0.011782408,0.047561623,0.035343505,0.027161844,0.06663419
/home/multiclass_classification/deer/train/image_23.jpg,0,0.007167106,0.002724527,0.00784,0.013137614,0.007866103,0.023092384,0.011945582,0.009560083,0.007289135,0.021563794,0.004176529,0.024639953,0.006195963,0.034961466,0.034647677,0.026589395,0.039929762,0.092922516
/home/multiclass_classification/deer/train/04eec54def.jpg,0,0.001572949,-0.001344851,-0.002757098,0.000101675,0.000732654,-0.004742676,-0.011185484,-0.01499818,-0.00938045,-0.021044925,-0.019534891,-0.013209753,-0.001882965,0.002339814,0.00345455,0.022713132,0.023979705,0.048656095
/home/multiclass_classification/deer/train/7576b528f9.jpg,0,-0.000908276,-0.002388478,0.001850756,-0.000898118,0.002306044,0.001520949,0.001443779,-0.001653966,-0.002721804,0.006889088,0.012648519,0.022290414,0.007639162,0.030792736,0.033452846,0.026318561,0.044496197,0.08516967
/home/multiclass_classification/deer/train/image_1.jpg,0,0.000412917,0.005272693,0.010778401,0.003144647,0.004538504,0.014662896,0.015059033,0.009331175,0.005862167,0.019300384,0.013408443,0.014233,0.008038701,0.03626804,0.04374952,0.02238207,0.038344517,0.08328825
/home/multiclass_classification/deer/train/b7d1c61c3a.jpg,0,0.003210118,0.001539972,-0.00050942,-0.002874943,0.004442715,0.005370218,-0.003448267,-0.00457015,-0.007114696,-0.009594148,-0.008934498,0.00766803,-8.41E-05,0.020880543,0.024875037,0.029452175,0.03925658,0.08713223
/home/multiclass_classification/deer/train/1d8ad79fd9.jpg,0,0.003848752,0.003211899,0.011791062,0.004420965,0.006052292,0.02025386,0.014352873,0.012324465,0.008755135,0.02400678,0.015821055,0.012193635,0.002497695,0.01912646,0.053740233,0.040687773,0.037807845,0.083654985
/home/multiclass_classification/deer/train/i-2022-04-05T145411-495_jpg.rf.e1a9459b901f8a9c5a97848e735ee881.jpg,0,0.002429831,0.002994485,0.009715416,0.004548264,0.005964071,0.012427017,0.006594172,0.005932904,0.004976455,0.012235909,-0.003277884,-5.56E-05,-0.000894625,-0.004879828,0.010118852,0.01356584,0.030235043,0.07166611
/home/multiclass_classification/deer/train/8888dd4864.jpg,0,-0.00182679,0.001005444,0.011387507,0.000684521,0.007493576,0.008521906,0.008547297,0.000620825,0.001399242,0.004757642,0.013103955,0.013155676,0.008782331,0.033501096,0.042973034,0.024662226,0.039277703,0.08776577
/home/multiclass_classification/deer/train/i-2022-04-05T173424-783_jpg.rf.c59d9ef24edd59a683d9e7033513be05.jpg,0,0.001086306,0.002689758,0.000857364,-0.000915982,0.007306724,0.017038532,0.014081026,0.01001704,0.006162507,0.012685889,0.00865377,0.011468491,-0.001133686,0.010534496,0.018089544,0.014246445,0.028478265,0.06582346
/home/multiclass_classification/deer/train/d9b343687d.jpg,0,0.000232996,0.000994384,0.003596008,0.005521931,0.004860143,0.014072951,0.008298211,0.007005585,0.009609396,0.030942751,0.009998376,0.020147018,0.00867299,0.016781673,0.052994348,0.04692285,0.051177923,0.092765436
/home/multiclass_classification/deer/train/9da836299d.jpg,0,0.003809809,0.001383167,0.000737933,0.003122353,0.000997195,-0.002029605,-0.001584746,0.004466211,0.005384724,0.004984366,0.001365804,0.016252257,0.004800608,0.018859036,0.034883168,0.03951565,0.035531733,0.089056365
/home/multiclass_classification/deer/train/i-2022-04-05T172805-110_jpg.rf.88f2196b4699b1934b25ccc7a6e877b8.jpg,0,-0.003467281,-0.001531925,-0.000580812,-0.005207584,0.000692003,0.001895068,0.000291172,0.004541026,0.001041987,0.006635718,0.008436427,0.012730012,-0.001382737,0.002510625,0.020634988,0.018152438,0.005935795,0.02720842
/home/multiclass_classification/deer/train/image_7.jpg,0,0.0067879,0.004587212,0.008609806,0.00218811,0.008364488,0.014863867,0.013218598,0.002308572,0.003450083,0.017272819,0.009709805,0.009288003,0.007870426,0.035697855,0.047208738,0.038360745,0.04136431,0.084606886
/home/multiclass_classification/deer/train/8ef12b0814.jpg,0,0.001473123,-0.000361846,0.004801231,0.002402797,0.0012349,-0.004102493,-0.003738724,-0.000697928,0.00071489,0.014471149,0.015179567,0.018120863,0.005281479,0.025356172,0.020736681,0.031479985,0.035107598,0.08039828
/home/multiclass_classification/deer/train/image_63.jpg,0,-0.000792219,0.000948402,0.006191857,-0.001813015,0.006527501,0.012422465,0.007003556,0.006122511,0.001827398,-0.002803914,-0.000688087,0.012574281,0.012481772,0.025849395,0.021928584,0.01837096,0.035444416,0.073367484
/home/multiclass_classification/deer/train/9b1e8519de4.jpg,0,-0.000125421,0.003001599,0.005545862,0.00473306,0.010888941,0.022607777,0.009766225,0.009703278,0.009925423,0.023206297,0.010252637,0.023423916,0.016662559,0.0439383,0.0582447,0.046734802,0.05746501,0.112239465
/home/multiclass_classification/deer/train/091b0677ff.jpg,0,0.00295933,-0.000478049,-0.003900005,0.003928337,0.003752728,0.002233137,-0.006434992,0.003763361,0.003153057,0.007456983,0.001751708,0.008577568,0.000220393,0.021703104,0.000167531,0.021919955,0.027651377,0.06276947
/home/multiclass_classification/deer/train/658aec63a0.jpg,0,0.000928315,0.001140655,0.009858483,0.000530889,0.00638819,0.013958438,0.005716965,0.011015866,0.012919714,0.02871951,0.025165409,0.020488732,0.014493438,0.03959845,0.042296764,0.028716609,0.04942608,0.104751125
/home/multiclass_classification/deer/train/i-2022-04-05T155135-175_jpg.rf.ba04d85eb0ba93cc2d75c835dead8ec1.jpg,0,0.00210289,0.001255822,0.00689453,-0.000851968,0.004213539,0.015528447,0.012534423,0.00896159,0.007389627,0.005201382,0.010247074,0.00810628,0.004330397,0.023227196,0.027178284,0.00675196,0.028238244,0.05410205
