Full filepath,Full Class Index,features.0.0_0.5,features.1.block.0.0_0.5,features.1.block.1.0_0.5,features.2.block.0.0_0.5,features.2.block.1.0_0.5,features.2.block.2.0_0.5,features.3.block.0.0_0.5,features.3.block.1.0_0.5,features.3.block.2.0_0.5,features.4.block.0.0_0.5,features.4.block.1.0_0.5,features.4.block.2.fc1_0.5,features.4.block.2.fc2_0.5,features.4.block.3.0_0.5,features.5.block.0.0_0.5,features.5.block.1.0_0.5,features.5.block.2.fc1_0.5,features.5.block.2.fc2_0.5,features.5.block.3.0_0.5,features.6.block.0.0_0.5,features.6.block.1.0_0.5,features.6.block.2.fc1_0.5,features.6.block.2.fc2_0.5,features.6.block.3.0_0.5,features.7.block.0.0_0.5,features.7.block.1.0_0.5,features.7.block.2.0_0.5,features.8.block.0.0_0.5,features.8.block.1.0_0.5,features.8.block.2.0_0.5,features.9.block.0.0_0.5,features.9.block.1.0_0.5,features.9.block.2.0_0.5,features.10.block.0.0_0.5,features.10.block.1.0_0.5,features.10.block.2.0_0.5,features.11.block.0.0_0.5,features.11.block.1.0_0.5,features.11.block.2.fc1_0.5,features.11.block.2.fc2_0.5,features.11.block.3.0_0.5,features.12.block.0.0_0.5,features.12.block.1.0_0.5,features.12.block.2.fc1_0.5,features.12.block.2.fc2_0.5,features.12.block.3.0_0.5,features.13.block.0.0_0.5,features.13.block.1.0_0.5,features.13.block.2.fc1_0.5,features.13.block.2.fc2_0.5,features.13.block.3.0_0.5,features.14.block.0.0_0.5,features.14.block.1.0_0.5,features.14.block.2.fc1_0.5,features.14.block.2.fc2_0.5,features.14.block.3.0_0.5,features.15.block.0.0_0.5,features.15.block.1.0_0.5,features.15.block.2.fc1_0.5,features.15.block.2.fc2_0.5,features.15.block.3.0_0.5,features.16.0_0.5
/home/multiclass_classification/deer/train/6435dd1e94.jpg,0,0.005770332,0.003176337,-0.008437417,-0.00661422,-0.002307163,-0.010724268,-0.001918189,0.001621631,-0.0132901,-0.012072341,-0.009938611,0.6981145,-0.004442617,-0.029456493,0.003439348,-0.002030678,0.16933307,0.19502196,-0.005710728,0.003364041,-0.005600679,-0.47756135,-0.24445128,-0.003768742,-0.017848996,-0.02841619,-0.030176617,-0.00790607,-0.005288233,-0.00443574,-0.001710637,-0.004552716,0.017183773,0.004616652,0.011748342,0.008832965,-0.011186099,0.000898473,0.013792858,0.06730504,-0.008558843,0.008330981,0.010276783,-0.056732014,-0.03544926,0.02096668,0.011954431,0.006569607,-0.03706515,0.00811578,-0.010424851,-0.013151359,-0.010167113,0.08451749,-0.012811501,0.10907656,0.011777284,0.002835372,-0.05168408,-0.022277618,0.026247766,0.05883013
/home/multiclass_classification/deer/train/image_75.jpg,0,0.004315773,-0.00097315,-0.016294464,-0.00536429,-0.005059726,-0.005770861,-0.000873888,-0.000187092,-0.020472553,-0.006430239,-0.024435293,0.89572877,-0.29289997,-0.018457333,0.002896581,-0.000679857,0.06636868,0.06419874,-0.021148968,0.005042928,0.002671892,-0.19017944,-0.07329664,-0.01129791,-0.008048455,-0.020809662,-0.0401414,-0.013693898,-0.009042905,-0.001936993,0.005692816,0.007574058,-0.026119398,0.009717293,-0.004278478,-0.014271192,-0.010893823,-0.006076625,0.03864212,0.052202843,-0.006693042,-0.0034758,-0.003839217,-0.07451977,-0.026465334,0.010647067,0.007672933,0.008507831,0.003966436,0.028297747,0.01973697,0.013119067,0.00225457,0.07811096,0.06571391,0.0789219,0.02088935,0.027724326,0.1271652,0.04384008,0.04816858,0.07950094
/home/multiclass_classification/deer/train/2e9aad69b1.jpg,0,-0.003223522,-0.001175805,-0.022015845,-0.005600604,-0.002378188,-0.015697645,0.00072936,-0.001793915,0.006420803,-0.000901237,-0.013662319,0.9320909,-0.2724442,-0.00709676,-0.014481111,-0.001468264,0.20941748,0.039547656,0.003306368,0.005852906,-0.003579934,-0.26835513,0.010545891,-0.001902239,-0.004788809,-0.003887995,0.00121562,0.003238984,-0.012543472,0.003785028,-0.003042971,-0.000129578,0.018133752,0.01298508,0.005171543,-0.058249313,0.002054703,0.005028945,0.07402301,0.09269933,0.021447359,0.02466321,0.017360263,0.22188233,0.06290615,0.018430904,0.000874163,0.008949174,-0.15697026,0.002402267,0.04228939,0.01018172,-0.019931998,0.14931074,0.001156794,-0.016691336,0.00607124,-0.011037182,-0.13562243,-0.0438901,0.022722036,0.05141923
/home/multiclass_classification/deer/train/1433eed2a1.jpg,0,0.003207075,-0.002393726,-0.001632369,-0.001529004,0.002104563,0.002031571,0.001999042,-0.001046183,-0.009572536,-0.005274318,-0.00644024,0.9321566,-0.3122393,0.000642234,0.003129771,0.016090287,0.20127766,0.19514592,0.00378489,-0.007382445,-0.008620652,0.22250518,-0.06443511,-0.043408774,-0.0036178,-0.004971481,-0.017897326,-0.009694634,-0.008499636,-0.003192705,-0.002740988,0.004716302,-0.008876889,-0.006544406,-0.006599879,-0.020852055,0.00396724,0.004157174,-0.0674543,0.054187957,-0.006911819,-0.00388985,-0.003678436,-0.08688562,-0.09926048,-0.000412132,0.00909576,0.011993467,-0.001040498,0.09367129,0.06352814,0.013430428,0.014113084,0.15860164,0.013841569,0.053777568,0.021177292,0.036314093,0.109379694,0.022580337,0.03158135,0.06827617
/home/multiclass_classification/deer/train/42cbbc24ce.jpg,0,-0.002165124,0.000282864,-0.004201451,-0.003685482,-0.001648196,-0.015875924,0.001576743,-0.00807651,-0.009983912,-0.007915101,-0.038256593,0.975175,-0.2971431,-0.020114787,-0.000939562,-0.00924956,0.17900793,0.02091932,-0.010595473,-0.005590705,-0.009083308,-0.18365769,0.043771446,-0.005336688,-0.007386901,-0.010228304,-0.020963993,-0.000941769,-0.002204451,0.015509631,0.010131944,-0.009986687,0.007234328,-0.000941622,-0.015128171,-0.040248696,0.000192395,0.00116835,-0.10327326,-0.065803304,0.013826861,0.008314835,0.011244834,0.059780788,-0.028236445,0.028861303,0.011993007,0.010920772,-0.050677817,0.021980256,0.048797034,-0.003118486,-0.000749751,0.084762275,0.021000437,0.008360267,0.001962998,0.034225084,0.07719121,0.039233815,0.057652358,0.07146855
/home/multiclass_classification/deer/train/9089820c55.jpg,0,-0.005330869,-0.004448721,-0.010195223,0.003139498,0.003647166,-0.006973417,-0.00701886,-0.004063718,-0.035607412,0.002563355,-0.007760899,0.9106684,-0.3687982,-0.009876721,0.007127987,0.001962953,0.1639123,0.20561355,-0.0202136,0.003447631,-0.00429295,-0.08260834,-0.102348655,-0.023220439,-0.013042479,-0.023823025,-0.07315484,-0.012782439,-0.013175285,0.008280148,0.010049177,0.009278861,-0.01594662,0.004785049,-0.00127617,-0.03147866,-0.007894008,-0.013561592,0.068993375,0.099896446,-0.056445822,-0.009932729,-0.009866774,0.021853337,0.035066143,-0.000598354,-0.000586767,-0.004652601,0.000884173,0.05004512,-0.023893984,-0.016499197,-0.008545475,0.06397072,0.005060075,0.030009419,-0.014943844,0.013096491,0.09706805,0.04595459,0.05025569,0.07366828
/home/multiclass_classification/deer/train/cba0276b22.jpg,0,-0.000348178,0.000881723,-0.000156353,0.0028818,0.004391426,0.005533114,-0.006976728,-0.003243974,-0.02768909,0.00568407,-0.017722622,0.84546554,-0.3340122,-0.005798351,0.008239088,-0.000886332,0.2773377,-0.014962941,-0.014897224,0.001944592,0.005725678,-0.61270684,-0.07330321,0.005399649,-0.006557713,-0.01793642,-0.054037392,-0.02494728,-0.016062574,0.007512559,0.004126899,0.000451226,0.00570408,-0.007096151,-0.000899019,0.000497256,0.008267904,-0.006154549,0.14079346,0.10994449,-0.058828607,-0.019487163,-0.018111605,0.026506852,-0.018956918,-0.041069727,0.005408162,-0.010296785,-0.05897763,0.077848464,0.042355374,0.001556666,-0.002632099,0.1388286,0.06652851,0.038192254,0.010104317,0.008599201,-0.006731587,-0.023074733,0.041551802,0.06286499
/home/multiclass_classification/deer/train/95e3856962.jpg,0,0.000379797,0.004518289,-0.004735436,-0.00479753,-0.001084316,-0.002848914,0.00014019,-0.003595784,-0.009514679,-0.004355589,0.011962416,0.5476488,0.08631016,-0.011718616,-0.000101993,0.003804081,0.39225096,0.14041874,0.001744896,0.003565306,-0.005411373,0.12299649,0.003837429,-0.014940616,-0.003693999,0.001655442,0.002305957,-0.013668586,-0.00831404,0.040755063,-0.001570769,0.002090258,0.035397347,-0.003332938,-0.007943826,-0.0395413,0.005217931,0.00970409,0.00714951,-0.006390556,0.02936,0.003098288,0.004299757,0.045332342,0.049731806,0.015116717,0.010205314,0.006988686,-0.053912625,0.042152744,0.039250035,0.004431468,-1.37E-05,0.048975445,0.0585173,0.07552195,0.01973281,0.016130645,0.054379366,0.0297378,0.047481798,0.0660532
/home/multiclass_classification/deer/train/5265b6f5ae.jpg,0,0.00208333,-0.000722276,-0.000675449,0.009835982,0.002455354,-0.002621149,0.000387616,-0.00299836,0.008266264,0.003711293,-0.013036344,0.026986245,-0.07487635,0.005762059,-0.004569602,-0.000441628,0.07495615,-0.07778555,0.009350869,-0.000940031,0.012643638,-0.46675992,0.04159575,0.009671519,0.008406137,-0.005496202,0.007788078,0.00025075,0.004655125,-0.010905531,0.006623949,0.016318865,-0.012531186,0.016462406,0.009120816,-0.03338304,0.004299626,-0.00098754,0.10394095,0.16575222,-0.017634278,-0.016676802,-0.017816696,-0.023674428,-0.008417996,-0.003628111,0.015227453,0.01932244,-0.067405626,0.044798765,0.059209153,0.009804699,-0.007595924,-0.10336368,-0.016584555,0.025652738,0.004052484,-0.002145797,0.000621755,0.0384083,0.045890614,0.06867672
/home/multiclass_classification/deer/train/3d3e29fcdd.jpg,0,-0.002614942,-0.001557758,-0.004224941,0.002899122,0.008509003,0.01061826,-0.001272333,-0.003229674,0.00283469,0.011477012,0.042855576,-0.89315677,0.38499567,0.02445358,-0.002108889,0.005262531,0.05036591,-0.25491497,-0.000438338,0.015339959,0.007445583,-0.4367532,-0.024415568,-0.016452594,-0.002550868,-0.008538641,-0.007556045,-0.007640502,0.006207533,-0.05170726,-0.004496714,-0.00323533,0.005677106,-0.004076148,-0.00610334,-0.007115196,0.000174711,0.00387774,-0.032072436,-0.010186363,-0.002491467,0.007643119,0.002259454,0.08145164,0.00117501,-0.000905061,0.007732398,0.006532908,-0.06898716,0.050396994,0.038797423,0.005103443,-0.017437303,0.018739544,0.048539825,-0.013836559,-0.004841041,0.010812769,0.005632903,0.02434787,0.005774206,0.055769987
/home/multiclass_classification/deer/train/1f28583fa5.jpg,0,-0.001471359,-0.003853363,-0.019158617,-0.004276254,0.004016669,-0.030471774,-0.004635152,-0.008353017,-0.0443394,-0.013578521,-0.025993887,0.9012698,-0.39041147,-0.019673891,-0.004286517,-0.003942007,-0.044944897,0.031960286,-0.035149157,-0.011084996,-0.021603981,0.12457436,0.20386663,-0.029304272,-0.009918692,-0.005123862,-0.020176083,-0.012592876,-0.01241975,-0.000629446,-0.007005624,-0.014582418,0.011952496,-0.002549536,-0.012216562,-0.030279588,0.004733726,0.000368374,0.08799592,0.10415662,-0.008373192,-0.007765368,-0.000403372,-0.1377636,-0.087071896,0.012904313,0.005629181,0.013009116,0.023750938,0.104588486,-0.004892303,0.003137015,0.007503575,0.1395137,0.046012353,0.07192735,-0.002566734,0.006532532,0.003292583,0.029370513,0.04003854,0.061299764
/home/multiclass_classification/deer/train/020773fcda.jpg,0,-0.000760994,-0.004073549,0.00521211,-0.000819115,0.001054938,0.00356197,0.000646584,-0.004082938,-0.01888996,0.000973874,0.004715119,0.8693535,-0.41635892,0.018268274,0.003995854,0.00654468,0.22549866,-0.039976627,-0.029572506,0.00087702,0.005780069,-0.23022534,-0.07468141,0.009293342,-0.002833412,0.00792322,-0.027714843,-0.015870392,0.003848961,0.006650568,-0.005052301,-0.008907713,-0.015300023,-0.027384069,-0.016951393,-0.0442034,0.002579478,0.008494057,0.21943937,0.10382052,0.00036737,-0.006465565,-0.003138377,0.11055315,-0.008909741,0.018539006,0.024518553,0.014222387,-0.01917684,0.071532466,0.034789983,0.013634143,0.027214542,0.11625373,0.0151968,0.027693875,-0.016703717,0.018844025,0.003611418,0.040871296,0.03546968,0.07556291
/home/multiclass_classification/deer/train/fec92271ef.jpg,0,-0.000342044,0.002291828,-0.01515189,0.001156017,-0.003639419,-0.018637318,-0.00619289,0.001548179,-0.021428378,-0.014971235,-0.02508303,0.8297221,-0.43049508,-0.020997353,0.004158876,0.003335452,0.18781796,0.1908501,-0.017021228,-0.000252104,-0.01212281,-0.31238186,-0.06309456,-0.005991927,-0.020705508,-0.01822611,-0.038342476,-0.005812052,0.001380268,0.035139784,-0.006922629,-0.01797035,-0.003760029,0.030310832,0.011857531,-0.00020129,-0.009145249,-0.002521051,-0.03136135,0.035483524,-0.012041237,0.001988393,0.002130226,0.0982441,0.070087336,0.03089531,0.010493207,0.009318585,-0.061346546,-0.015577263,0.009563157,0.00318455,-0.005510457,0.043611966,-0.003752172,0.04675592,0.000765819,0.017850794,0.114033446,0.053778663,0.050705712,0.0627082
/home/multiclass_classification/deer/train/a6b92d0bfa.jpg,0,-0.00276308,-0.002245847,-0.011160755,-0.000761561,-0.000651027,0.002644286,-0.001914522,0.001088928,-0.02637729,-0.002143077,-0.042406607,0.8891585,-0.38850972,-0.030303326,-0.000920923,-0.000867365,0.086002186,0.08545789,-0.010715895,-0.003611052,0.00652434,-0.17057589,0.038858563,-0.000487716,-0.00636666,-0.020473365,-0.03553464,-0.022432525,-0.008149974,-0.027274216,-0.003952366,-0.010955168,0.009526029,-0.006759684,-0.004557979,-0.018708957,0.012563225,0.006950203,0.060288068,0.11631006,0.002933271,-0.011820016,-0.007405965,0.06046697,0.04467493,0.01014894,0.009236015,0.03648979,0.013177922,0.047356073,0.07392595,0.014060169,0.003909863,0.09259439,0.069982566,0.06593168,0.030321497,0.03415966,0.06026577,0.038894508,0.046574336,0.056539003
/home/multiclass_classification/deer/train/bafb430d97.jpg,0,-0.004673215,-0.006727759,-0.013574633,-0.002909925,0.000151418,-0.016489904,-0.004773371,-0.004236665,-0.010555566,-0.011593248,0.008070242,0.90263456,-0.3837287,0.01743222,0.00190389,-0.00550349,-0.19275689,-0.08550576,-0.031411998,-0.014700115,-0.01611343,-0.22067949,-0.054124575,-0.005424212,-0.006347843,0.015970558,-0.012679216,-0.004473745,-0.013627405,0.03794813,0.004574448,-0.002212371,0.023537038,-0.00210651,-0.004666708,-0.050199345,0.018699257,0.022992253,0.173853,0.12951815,0.036831245,0.023785828,0.018052608,0.04896193,-0.028499136,0.04970248,0.02502877,0.042814724,0.033848274,0.07459974,0.059513118,0.005517981,0.012984838,0.0414342,0.023898724,0.029764578,-0.002858864,0.007410227,0.08244143,0.045113314,0.039531108,0.07950431
