2026-02-13 01:29:32,785 - INFO - ================================================================================
2026-02-13 01:29:32,786 - INFO - Perturbation method and options c1_bg
2026-02-13 01:29:32,786 - INFO - ================================================================================
2026-02-13 01:29:32,786 - INFO - Starting perturbation process at 20260213_012932
2026-02-13 01:29:32,786 - INFO - Model Name: resnet50
2026-02-13 01:29:32,786 - INFO - Model Path: /mnt/sdd/basics/balanced_training/resnet50/resnet50.pth
2026-02-13 01:29:32,786 - INFO - Base Image Directory: /home/balanced_dataset/train
2026-02-13 01:29:32,786 - INFO - Batch Size: 32
2026-02-13 01:29:32,789 - INFO - Collected 2112 images for analysis.
2026-02-13 01:30:01,965 - INFO - Batch processed 2112                           images into 66 batches with batch size 32.
2026-02-13 01:30:01,965 - INFO - Input image shapes: Number of batches: 66,                           Batch size: 32,                           Image tensor shape: torch.Size([32, 3, 224, 224])
2026-02-13 01:30:02,028 - INFO - Model loaded from /mnt/sdd/basics/balanced_training/resnet50/resnet50.pth and set to evaluation mode.
2026-02-13 01:30:02,028 - INFO - Custom layers to perturb set: ['maxpool', 'layer1.0.conv1', 'layer2.0.conv2', 'layer3.5.conv2', 'layer4.2.conv3']
2026-02-13 01:30:02,556 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,568 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,568 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,580 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,580 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,592 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,592 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,604 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,604 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,616 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,616 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,628 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,628 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,640 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,640 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,652 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,652 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,664 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,664 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,676 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,676 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,688 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,688 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,701 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,701 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,720 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,721 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,747 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,747 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,774 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,774 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,800 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,801 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,827 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,827 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,854 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,854 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,880 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,881 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,896 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,896 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,908 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,908 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,920 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,920 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,932 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,932 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,944 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,944 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,956 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,956 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,968 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,968 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,980 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,980 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,992 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:02,992 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,004 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,004 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,016 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,016 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,028 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,028 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,040 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,040 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,052 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,053 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,064 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,065 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,076 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,077 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,088 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,089 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,100 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,101 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,112 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,113 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,124 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,125 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,136 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,137 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,148 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,149 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,160 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,161 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,172 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,173 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,185 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,185 - INFO - Captured activation for layer: maxpool,                 activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,197 - INFO - Captured activation for layer: maxpool, activation shape: torch.Size([32, 64, 56, 56])
2026-02-13 01:30:03,197 - INFO - Stacked activations shape for layer maxpool: torch.Size([2112, 64, 56, 56])
2026-02-13 01:30:03,267 - INFO - Added Gaussian noise with std: 0.001
2026-02-13 01:30:03,347 - INFO - Perturbed activation  values: tensor([0.5890, 0.5771, 0.3701,  ..., 0.3260, 0.3196, 0.4075], device='cuda:0')
2026-02-13 01:30:03,350 - INFO - Standard deviation of activations for layer maxpool: 0.2352
2026-02-13 01:30:03,350 - INFO - Checking normality of activations for layer maxpool using Shapiro-Wilk test.
2026-02-13 01:30:17,526 - INFO - Shapiro-Wilk test: statistic=0.8570, p-value=2.0183e-55
2026-02-13 01:30:17,526 - INFO - Normally distributed: False
2026-02-13 01:30:17,526 - INFO - Perturbed activation shape: torch.Size([2112, 64, 56, 56]), Std activation shape: torch.Size([1, 64, 56, 56])
2026-02-13 01:30:17,530 - INFO - Std activation sample values: tensor([0.2484, 0.2601, 0.2658, 0.2658, 0.2637], device='cuda:0')
2026-02-13 01:30:17,547 - INFO - Applying perturbation for layer: maxpool, original output shape: torch.Size([32, 64, 56, 56]), perturbed activation shape: torch.Size([2112, 64, 56, 56])
2026-02-13 01:30:17,552 - INFO - Applying perturbation for layer: maxpool, original output shape: torch.Size([32, 64, 56, 56]), perturbed activation shape: torch.Size([2112, 64, 56, 56])
2026-02-13 01:30:17,556 - INFO - Applying perturbation for layer: maxpool, original output shape: torch.Size([32, 64, 56, 56]), perturbed activation shape: torch.Size([2112, 64, 56, 56])
2026-02-13 01:30:17,567 - INFO - Applying perturbation for layer: maxpool, original output shape: torch.Size([32, 64, 56, 56]), perturbed activation shape: torch.Size([2112, 64, 56, 56])
2026-02-13 01:30:17,591 - INFO - Applying perturbation for layer: maxpool, original output shape: torch.Size([32, 64, 56, 56]), perturbed activation shape: torch.Size([2112, 64, 56, 56])
2026-02-13 01:30:17,615 - INFO - Applying perturbation for layer: maxpool, original output shape: torch.Size([32, 64, 56, 56]), perturbed activation shape: torch.Size([2112, 64, 56, 56])
2026-02-13 01:30:17,639 - INFO - Applying perturbation for layer: maxpool, original output shape: torch.Size([32, 64, 56, 56]), perturbed activation shape: torch.Size([2112, 64, 56, 56])
2026-02-13 01:30:17,663 - INFO - Applying perturbation for layer: maxpool, original output shape: torch.Size([32, 64, 56, 56]), perturbed activation shape: torch.Size([2112, 64, 56, 56])
