2026-02-13 02:55:12,275 - INFO - ================================================================================
2026-02-13 02:55:12,275 - INFO - Perturbation method and options c2_coat
2026-02-13 02:55:12,275 - INFO - ================================================================================
2026-02-13 02:55:12,275 - INFO - Starting perturbation process at 20260213_025512
2026-02-13 02:55:12,275 - INFO - Model Name: resnet50
2026-02-13 02:55:12,275 - INFO - Model Path: /mnt/sdd/basics/balanced_training/resnet50/resnet50.pth
2026-02-13 02:55:12,275 - INFO - Base Image Directory: /home/balanced_dataset/train
2026-02-13 02:55:12,275 - INFO - Batch Size: 32
2026-02-13 02:55:12,279 - INFO - Collected 2112 images for analysis.
2026-02-13 02:55:38,901 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:38,902 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:38,914 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:38,914 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:38,926 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:38,926 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:38,938 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:38,939 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:38,950 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:38,951 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:38,963 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:38,963 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:38,975 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:38,975 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:38,987 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:38,988 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:38,999 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,000 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,011 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,012 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,024 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,024 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,036 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,036 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,048 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,049 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,060 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,061 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,072 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,073 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,085 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,085 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,097 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,097 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,109 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,110 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,121 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,122 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,134 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,134 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,146 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,146 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,158 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,159 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,170 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,171 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,182 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,183 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,195 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,195 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,207 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,207 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,219 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,220 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,231 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,232 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,243 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,244 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,256 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,256 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,268 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,268 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,280 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,281 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,292 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,293 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,305 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,305 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,317 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,317 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,329 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,330 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,341 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,342 - INFO - Captured activation for layer: layer1.0.downsample.0,                 activation shape: torch.Size([32, 256, 56, 56])
2026-02-13 02:55:39,353 - INFO - Captured activation for layer: layer1.0.downsample.0, activation shape: torch.Size([32, 256, 56, 56])
