Full filepath,Full Class Index,sensitivityscore_before_features.5.block.0.0,sensitivityscore_After_features.5.block.0.0_0.5,sensitivityscore_After_features.5.block.0.0_0.6,sensitivityscore_After_features.5.block.0.0_0.7,sensitivityscore_before_features.5.block.1.0,sensitivityscore_After_features.5.block.1.0_0.5,sensitivityscore_After_features.5.block.1.0_0.6,sensitivityscore_After_features.5.block.1.0_0.7,sensitivityscore_before_features.5.block.2.fc2,sensitivityscore_After_features.5.block.2.fc2_0.5,sensitivityscore_After_features.5.block.2.fc2_0.6,sensitivityscore_After_features.5.block.2.fc2_0.7,sensitivityscore_before_features.5.block.3.0,sensitivityscore_After_features.5.block.3.0_0.5,sensitivityscore_After_features.5.block.3.0_0.6,sensitivityscore_After_features.5.block.3.0_0.7,sensitivityscore_before_features.6.block.0.0,sensitivityscore_After_features.6.block.0.0_0.5,sensitivityscore_After_features.6.block.0.0_0.6,sensitivityscore_After_features.6.block.0.0_0.7,sensitivityscore_before_features.6.block.1.0,sensitivityscore_After_features.6.block.1.0_0.5,sensitivityscore_After_features.6.block.1.0_0.6,sensitivityscore_After_features.6.block.1.0_0.7,sensitivityscore_before_features.6.block.2.fc2,sensitivityscore_After_features.6.block.2.fc2_0.5,sensitivityscore_After_features.6.block.2.fc2_0.6,sensitivityscore_After_features.6.block.2.fc2_0.7,sensitivityscore_before_features.6.block.3.0,sensitivityscore_After_features.6.block.3.0_0.5,sensitivityscore_After_features.6.block.3.0_0.6,sensitivityscore_After_features.6.block.3.0_0.7,sensitivityscore_before_features.7.block.0.0,sensitivityscore_After_features.7.block.0.0_0.5,sensitivityscore_After_features.7.block.0.0_0.6,sensitivityscore_After_features.7.block.0.0_0.7,sensitivityscore_before_features.7.block.1.0,sensitivityscore_After_features.7.block.1.0_0.5,sensitivityscore_After_features.7.block.1.0_0.6,sensitivityscore_After_features.7.block.1.0_0.7,sensitivityscore_before_features.7.block.2.fc2,sensitivityscore_After_features.7.block.2.fc2_0.5,sensitivityscore_After_features.7.block.2.fc2_0.6,sensitivityscore_After_features.7.block.2.fc2_0.7,sensitivityscore_before_features.7.block.3.0,sensitivityscore_After_features.7.block.3.0_0.5,sensitivityscore_After_features.7.block.3.0_0.6,sensitivityscore_After_features.7.block.3.0_0.7
/mnt/sdd/caltech_training/multiclass/train/007.Parakeet_Auklet/Parakeet_Auklet_0043_795948.jpg,6,-0.0016479942,0.0038288163,0.014762137,0.016909042,0.00143188,-0.009031163,-0.004804854,-0.0024765206,0.022122122,0.03930305,0.06911875,0.10333816,-0.038615752,-0.031151783,-0.048585,0.02972826,-0.0089320745,-0.0032797856,-0.0014936368,0.014860151,-0.0070761666,-0.004672953,0.00046308083,-0.000283133,0.109798275,0.0811668,0.063096374,-0.08570401,-0.044365406,-0.024753459,-0.0018533967,0.07434751,-0.015261485,-0.015172951,-0.0056437543,-0.007866144,-0.006690111,-0.0008929793,0.0035894164,-0.00019363617,0.063747175,-0.042984374,0.003693778,-0.009812765,-0.03394723,0.006796414,-0.048040587,0.07386233
/mnt/sdd/caltech_training/multiclass/train/007.Parakeet_Auklet/Parakeet_Auklet_0031_795960.jpg,6,-0.0022439125,-0.0024342323,-0.00036836555,3.9273407e-05,-0.0020919568,-0.000452558,-0.0029229845,2.5365967e-05,0.008468151,0.22028023,0.14726716,0.09589909,0.006512598,-0.010452958,0.0053153764,-0.032407954,0.0042543155,0.023305455,0.0046080975,0.013836539,-0.0012188908,0.00035209628,-0.0004431847,-0.00079545134,0.03457153,-0.09328734,-0.018099798,0.06755397,0.013353418,0.019890096,0.025101079,0.035531774,-0.0031185262,-0.0024421443,0.0027393717,0.012202646,0.00063016487,0.001326526,0.00217632,0.0015764891,0.1940795,-0.012205634,-0.042744823,0.0014683679,0.0038617812,0.018877994,-0.11198657,-0.02346381
/mnt/sdd/caltech_training/multiclass/train/007.Parakeet_Auklet/Parakeet_Auklet_0027_795925.jpg,6,-0.00431785,0.015746798,0.008298611,0.016272018,0.00028142869,-0.005837002,-0.0041624233,-0.007831795,-0.035336383,-0.13180114,-0.09817795,-0.0931783,-0.037868433,0.03019023,0.0063668517,-0.026119001,0.0015960645,0.0056322343,0.018354513,0.015045392,0.0006342934,-0.0015948353,0.0016831728,-0.00050615286,-0.090301655,-0.046330452,-0.077658795,-0.17405002,-0.04595668,0.007849319,0.012652239,0.021521125,-0.024247324,-0.012469293,-0.011227367,-0.009583309,-0.003038211,-0.007280261,-0.010162434,-0.007970738,0.13846341,-0.091723375,-0.03577094,0.03596532,-0.014264871,0.04549434,-0.058046155,0.1239519
/mnt/sdd/caltech_training/multiclass/train/007.Parakeet_Auklet/Parakeet_Auklet_0025_795975.jpg,6,0.010737123,-0.014768968,-0.007935475,-0.0012391077,0.009462237,-0.006920409,-0.003783092,-0.010397231,0.034312595,-0.13168421,-0.0028418899,0.019768681,0.012157939,-0.008077583,0.022811648,0.018070802,0.016603824,-0.014252985,-0.003241716,0.0024567945,0.007848224,-0.003263608,-0.0008522931,-0.00080108934,0.024638586,-0.07899918,-0.05191392,-0.066758096,0.01692472,0.06083923,0.036232065,0.041828588,0.028096884,0.015115323,0.014524851,0.0054940684,0.0022572498,-0.002824801,-0.0043415977,-0.0011723897,0.07029776,0.035822246,-0.046758194,-0.14103398,0.008487072,0.018213008,0.0113184545,0.014968822
/mnt/sdd/caltech_training/multiclass/train/007.Parakeet_Auklet/Parakeet_Auklet_0051_795971.jpg,6,0.010941935,0.004452234,0.0019321986,-0.0010811794,0.005135458,-0.0073852018,-0.016055243,-0.009183884,-0.025257854,0.027807403,0.06454164,0.076138355,0.024092607,-0.03955788,-0.06467773,-0.009554352,0.0090074465,0.0035457353,-0.008142891,-0.011733405,0.007893879,0.001446732,-0.00058153085,0.0034831606,0.026271883,0.17742631,0.10486729,0.0077355206,-0.006932308,0.07734846,0.043301087,0.034045108,0.017080782,0.008511099,-0.019129395,0.017467218,0.00222264,-0.0015502588,-0.0030116667,-0.0021108002,0.00013705343,-0.10609177,-0.081426576,-0.056979828,0.010783239,-0.061823916,0.02615283,0.15643932
/mnt/sdd/caltech_training/multiclass/train/007.Parakeet_Auklet/Parakeet_Auklet_0036_795943.jpg,6,0.015924742,-0.007557227,-0.011471467,-0.00838607,0.006842443,0.001897645,0.0038601207,0.0037212924,-0.02479988,0.0053325053,0.03982809,0.11516088,0.024118021,-0.003322347,0.008312095,-0.0018180925,0.0018645675,-0.009754013,0.00027891225,-0.0101169115,0.0039503747,0.009093742,-0.0017560925,-0.002239412,-0.00681293,0.03673392,-0.024331264,0.06970291,9.726267e-05,0.01487457,-0.006499161,0.02447719,0.0038748947,-0.0060014953,-0.014516929,0.0020387475,-0.004549695,-0.00010608343,0.0011904567,0.004758402,-0.008988985,-0.021780215,-0.06486856,-0.033095982,-0.004568305,0.010193704,0.01634734,0.060455408
/mnt/sdd/caltech_training/multiclass/train/007.Parakeet_Auklet/Parakeet_Auklet_0016_795977.jpg,6,0.009564475,-0.004666734,0.007051336,0.009009062,0.005603278,-0.0040701656,-0.0029631262,0.0017680625,-0.023758128,0.015163727,0.05014993,0.068620145,0.026009671,0.020791162,-0.0052516367,0.02863716,0.001510862,-0.017091095,-0.020018602,-0.0177726,-0.00048087398,-7.535191e-05,0.0032426245,0.0035600355,0.07205125,-0.09921792,-0.14462356,-0.19509506,0.023640143,0.03169083,0.022173278,9.692903e-05,0.002852576,-0.018326748,-0.0048461007,-0.011836957,-0.0014387004,-0.0058797956,-0.008087773,-0.006212864,0.018589307,-0.09168899,-0.037797116,-0.04280545,-0.010604786,0.016060568,0.0403908,0.07028522
/mnt/sdd/caltech_training/multiclass/train/007.Parakeet_Auklet/Parakeet_Auklet_0047_795956.jpg,6,0.0024417338,-0.0011349383,0.0030542957,0.00077738776,-0.0042401208,0.0068758465,0.0027580005,-0.0035038372,-0.07363876,0.121951856,0.088295124,0.13160376,-0.01594408,0.0037992697,0.010478526,-0.047059566,0.00041498872,-0.011667738,0.00035630714,-0.0033359411,-0.00037348992,0.0026838572,0.0015998774,-0.0027827197,0.11045934,-0.06744606,-0.06850996,-0.060221285,-0.040204022,0.0073977457,0.017003916,0.005673792,-0.00550467,0.0023606978,0.001967379,0.005879865,-0.0021509784,-0.0062354114,-0.010168662,-0.010008687,-0.08815378,-0.063386105,-0.02502335,0.025241382,0.0034075659,-0.07721487,0.05305071,0.03892225
/mnt/sdd/caltech_training/multiclass/train/007.Parakeet_Auklet/Parakeet_Auklet_0073_795939.jpg,6,0.0013376689,-0.009521787,-0.001582373,0.008615511,-0.0082889255,0.002306893,2.2708322e-05,-0.0067573586,-0.09236383,0.0023055226,0.010149188,0.05697935,-0.022057397,0.036105484,0.029726688,0.036662377,0.0076269675,0.0062286644,0.0091805365,0.0034221068,0.0032154128,-0.0005578543,0.0062306738,0.0031599356,0.068201184,-0.036440592,0.0011652745,0.0203709,-0.022245545,-0.015974384,0.005731579,-0.018017443,-0.008888978,-0.0023993542,-0.024551377,-0.029742176,-0.004338422,-0.005945292,-0.0007524941,-0.0052080476,-0.11020779,-0.02716266,-0.011844002,-0.019179672,-0.025133153,0.015359356,0.0054332525,-0.04338244
/mnt/sdd/caltech_training/multiclass/train/007.Parakeet_Auklet/Parakeet_Auklet_0004_795921.jpg,6,0.003290188,-0.010828786,-0.004287995,-0.0014962722,0.002840041,-0.0057430654,-0.0030402213,-0.005018104,0.020485792,0.14381629,0.14623669,0.18528023,-0.009597493,-0.023649383,-0.01246776,-0.044866387,-0.0020514096,-0.009580628,0.00399452,-0.015982004,-0.0041608177,-0.0029287192,-0.0012885918,0.002286404,0.057641912,0.08869097,0.05457242,0.042411935,-0.039842095,0.03737085,0.022270706,0.020876646,-0.0048128236,-0.0006630237,-0.01935982,-0.026730198,0.0013316394,-0.005571898,-0.0002335814,-0.004203759,0.085403204,0.009754192,0.039634965,-0.037113696,0.009055363,0.04966262,0.06980424,-0.0011047982
