Full filepath,Full Class Index,sensitivityscore_before_features.5.block.0.0,sensitivityscore_After_features.5.block.0.0_0.5,sensitivityscore_After_features.5.block.0.0_0.6,sensitivityscore_After_features.5.block.0.0_0.7,sensitivityscore_After_features.5.block.0.0_0.8,sensitivityscore_before_features.5.block.1.0,sensitivityscore_After_features.5.block.1.0_0.5,sensitivityscore_After_features.5.block.1.0_0.6,sensitivityscore_After_features.5.block.1.0_0.7,sensitivityscore_After_features.5.block.1.0_0.8,sensitivityscore_before_features.5.block.2.fc2,sensitivityscore_After_features.5.block.2.fc2_0.5,sensitivityscore_After_features.5.block.2.fc2_0.6,sensitivityscore_After_features.5.block.2.fc2_0.7,sensitivityscore_After_features.5.block.2.fc2_0.8,sensitivityscore_before_features.5.block.3.0,sensitivityscore_After_features.5.block.3.0_0.5,sensitivityscore_After_features.5.block.3.0_0.6,sensitivityscore_After_features.5.block.3.0_0.7,sensitivityscore_After_features.5.block.3.0_0.8,sensitivityscore_before_features.6.block.0.0,sensitivityscore_After_features.6.block.0.0_0.5,sensitivityscore_After_features.6.block.0.0_0.6,sensitivityscore_After_features.6.block.0.0_0.7,sensitivityscore_After_features.6.block.0.0_0.8,sensitivityscore_before_features.6.block.1.0,sensitivityscore_After_features.6.block.1.0_0.5,sensitivityscore_After_features.6.block.1.0_0.6,sensitivityscore_After_features.6.block.1.0_0.7,sensitivityscore_After_features.6.block.1.0_0.8,sensitivityscore_before_features.6.block.2.fc2,sensitivityscore_After_features.6.block.2.fc2_0.5,sensitivityscore_After_features.6.block.2.fc2_0.6,sensitivityscore_After_features.6.block.2.fc2_0.7,sensitivityscore_After_features.6.block.2.fc2_0.8,sensitivityscore_before_features.6.block.3.0,sensitivityscore_After_features.6.block.3.0_0.5,sensitivityscore_After_features.6.block.3.0_0.6,sensitivityscore_After_features.6.block.3.0_0.7,sensitivityscore_After_features.6.block.3.0_0.8,sensitivityscore_before_features.7.block.0.0,sensitivityscore_After_features.7.block.0.0_0.5,sensitivityscore_After_features.7.block.0.0_0.6,sensitivityscore_After_features.7.block.0.0_0.7,sensitivityscore_After_features.7.block.0.0_0.8,sensitivityscore_before_features.7.block.1.0,sensitivityscore_After_features.7.block.1.0_0.5,sensitivityscore_After_features.7.block.1.0_0.6,sensitivityscore_After_features.7.block.1.0_0.7,sensitivityscore_After_features.7.block.1.0_0.8,sensitivityscore_before_features.7.block.2.fc2,sensitivityscore_After_features.7.block.2.fc2_0.5,sensitivityscore_After_features.7.block.2.fc2_0.6,sensitivityscore_After_features.7.block.2.fc2_0.7,sensitivityscore_After_features.7.block.2.fc2_0.8,sensitivityscore_before_features.7.block.3.0,sensitivityscore_After_features.7.block.3.0_0.5,sensitivityscore_After_features.7.block.3.0_0.6,sensitivityscore_After_features.7.block.3.0_0.7,sensitivityscore_After_features.7.block.3.0_0.8
/mnt/sdd/caltech_training_multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0071_792.jpg,1,0.010065109,-0.0025657893,0.0026833718,0.0066663045,0.0021203584,0.0020679552,0.0038691873,0.001224049,-0.0034733543,-0.003933837,-0.0020026714,0.03516849,0.025323354,0.063989505,0.026100129,-0.044694677,0.033252947,-0.009919288,-0.0043213717,-0.0044746213,0.0030724453,0.0040315315,0.015910694,0.010182236,-0.005723452,-0.0017069743,0.0040629506,0.003826092,-0.0009630446,-0.0089701675,-0.043015428,0.0845628,0.059256315,-0.07935314,-0.087832466,0.045020904,-0.047242425,-0.007468473,0.0068521295,-0.007552663,-0.012739575,0.00250269,-0.0027599232,-0.013773724,-0.008863953,0.0022292766,-0.0021091437,0.0011152698,-0.0081457645,-0.004022851,-0.054602087,-0.089022666,-0.08088922,-0.004065294,-0.016260717,-0.010604791,0.03995409,-0.018822981,-0.059639916,0.034369633
/mnt/sdd/caltech_training_multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0064_674.jpg,1,0.012745106,-0.018371636,-0.013571002,-0.0043856995,-0.019722113,-0.00050393434,0.00023834512,0.0017701046,0.002499797,0.01575376,0.014228035,0.07879062,0.08822377,0.024792762,-0.0065345094,-0.009764654,0.048667118,0.021458333,0.03984523,0.029961474,-6.669469e-05,6.573554e-05,0.0002526606,-0.0161712,0.003781916,0.00019276247,0.003471282,0.0043296064,0.0048697046,-0.0015457695,-0.02387565,-0.07124801,-0.014137478,0.014810083,-0.02122148,0.011291402,0.04229831,-0.02185136,-0.010289828,0.043432165,-0.023227915,0.013159422,0.0029705302,0.007535276,-0.00799659,-0.0072818412,-0.0018079167,-0.0028821423,-0.0065699886,-0.009443304,-0.031016558,-0.016974952,-0.0064718723,-0.031661812,-0.022226043,-0.018147651,0.026332052,-0.0035520317,-0.038383637,0.07289283
/mnt/sdd/caltech_training_multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0081_800.jpg,1,-0.015023436,0.0027442684,0.013380582,0.0019933225,-0.0024322434,-0.0041503008,0.0014258171,-0.015022753,-0.0048653805,-0.004938916,-0.031274628,-0.0038832128,0.013364306,0.034278974,0.018474957,-0.022200998,0.049411703,0.019975314,0.0127694,-0.024518957,-0.012082583,-0.013592076,-0.013985414,-0.010704236,0.0021846136,-0.0036109826,0.0041650254,8.325081e-05,0.001018001,0.005896628,0.07601009,-0.060552884,-0.078924134,0.008565529,-0.002643343,-0.0092038615,-0.016031606,-0.022718491,-0.019887596,-0.002470316,0.011810552,0.018774096,-0.008167038,-0.0073875906,0.0025161884,0.0036020402,-0.0036816797,-0.00030385196,-0.0025270935,0.001332697,-0.102506,-0.07363158,-0.06323434,-0.020254266,-0.004789401,0.050943226,-0.046837747,-0.08904755,0.056053676,0.018942414
/mnt/sdd/caltech_training_multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0061_563.jpg,1,0.00025993434,0.0054590884,0.011579082,0.01308237,0.007840757,-0.009006709,0.004318868,0.008240919,0.010239025,0.0148720285,0.017194064,0.07817744,0.015462548,0.031879116,0.037534297,-0.053209584,-0.0042848773,0.028311664,-0.030534742,-0.017168831,-0.01554796,0.011779523,0.0050873887,0.010222195,0.008919943,-0.008795415,0.007842584,0.0043574013,0.0072577647,-9.781029e-05,-0.13720927,-0.020476062,-0.015271686,-0.056813203,-0.10702855,-0.01994114,-0.012986607,0.053111684,-0.02479465,-0.046820253,0.0054608425,-0.0033796495,0.00040770322,-0.010270246,0.017208187,-0.0053403927,-0.004879861,-0.00080851774,-0.00092612545,-0.0039051403,-0.118226536,-0.03632055,-0.04079598,-0.0043981057,-0.0035833046,0.020147605,-0.011185991,0.06885482,0.0710468,-0.0014589569
/mnt/sdd/caltech_training_multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0037_699.jpg,1,-0.004413084,-0.0013565505,0.01668228,0.009963866,0.0026944284,-0.0007181186,0.0021156496,0.00030524627,-0.00617915,0.009516323,-0.17726329,-0.044396956,0.007070807,0.031146333,0.007831868,-0.031930886,0.030389404,0.009125431,-0.009713404,-0.017406084,0.0054749427,-0.008955725,-0.006798029,0.0020802193,0.0015784313,-0.0007197261,0.0047670933,0.0015485068,-0.0063370545,0.003846833,0.03392747,0.03934174,-0.010615092,0.00409567,-0.028207557,-0.01743555,0.036515307,0.032693304,-0.009177683,0.022847766,0.04041297,0.010420969,0.012515435,0.0027635552,-0.0035029575,0.009887542,-0.00839016,-0.0047098836,-0.004549777,0.0040847035,-0.15888059,-0.053228933,-0.042239048,-0.09370674,-0.06938269,0.078295775,-0.100032024,-0.072883956,0.029041586,0.045785103
/mnt/sdd/caltech_training_multiclass/train/003.Sooty_Albatross/Sooty_Albatross_0020_796359.jpg,2,-0.0119606,0.0040506297,-0.0048635155,0.0017835703,-0.0030949526,-0.002552154,0.0010103283,0.010522524,0.00065409846,0.00858353,-0.10410045,0.015500527,-0.019191727,-0.050820436,-0.043945175,-0.028610475,-0.00918451,-0.01784217,0.0019045449,0.023151157,0.0015410513,0.010960229,0.008360429,0.010925597,0.019194044,-0.005484593,-0.0076138615,0.0036650952,0.0028306877,0.0069057997,0.19770762,0.09861012,0.05090744,0.061447855,0.035948448,0.01356519,-0.010898525,-0.021935055,0.026998697,0.028102005,0.006119233,0.012113023,0.020866172,0.015395601,0.007960195,-0.0032226795,0.00166044,0.0009818346,-0.0018514191,0.000104027335,-0.09571044,0.01978362,-0.02058322,0.0015398907,0.03186416,-0.0010543456,0.040029734,0.04512386,-0.054147758,-0.076726586
/mnt/sdd/caltech_training_multiclass/train/003.Sooty_Albatross/Sooty_Albatross_0069_796358.jpg,2,-0.002569451,-0.02026027,-0.021639062,-0.006383966,0.00017388258,-0.00034966064,-0.0026355684,-0.010591721,-0.006373941,-0.0074055586,-0.13983408,-0.14737076,-0.14269999,-0.12091489,-0.08627422,-0.033029623,-0.017093407,-0.015293521,-0.0027838955,-0.015895562,0.010633731,0.019090759,0.0026060268,-0.003575366,-0.008410177,0.0024856161,-0.009559584,0.0012846636,-0.0028895584,0.0011884284,0.04470331,0.15292495,0.18772063,0.17347127,0.15191859,0.010184677,0.06442998,0.04970561,0.04827904,0.04668221,-0.011677194,0.0047462042,-0.0040681893,-0.00013335096,-0.014495103,-0.0012113383,-0.00036600546,0.0013134134,-0.0043344283,0.000992662,0.09369032,-0.06953108,-0.07209305,-0.037424184,-0.011653751,0.0035504904,-0.04662164,0.05900711,0.08405569,-0.062333457
/mnt/sdd/caltech_training_multiclass/train/003.Sooty_Albatross/Sooty_Albatross_0007_796372.jpg,2,-0.0066617876,-0.0035026257,-0.00309314,-0.002687615,0.0015078846,-0.0036386112,0.006785799,-0.019372027,-8.848496e-06,-0.007302899,0.027112802,0.045245353,-0.000118622556,0.043047704,0.0076965485,0.0053218976,0.031957246,-0.028629825,-0.08379498,-0.050764542,-4.3738983e-05,0.004690485,0.00025293743,0.00892243,0.0068546296,-0.0021062535,-0.0024573645,0.0007919457,-1.0536052e-05,-0.00562649,0.013497736,-0.09440855,-0.08884078,-0.06906715,-0.0621892,0.002523395,0.021501012,-0.0014089169,0.011412081,-0.0075801625,-0.007338957,0.0030315018,0.0036370791,0.0028410726,-0.0056644753,-0.0056045093,0.0011420781,0.00034882256,0.010833504,0.0016198982,-0.05023919,-0.015520753,-0.026701432,-0.05740469,-0.07241041,-0.0034438819,0.015490754,0.07585966,-0.02287379,-0.037673187
/mnt/sdd/caltech_training_multiclass/train/003.Sooty_Albatross/Sooty_Albatross_0005_796342.jpg,2,-0.003952707,0.02292775,0.021352421,0.009157359,-0.003417834,0.0014196848,0.0004282744,0.0013343194,-0.002991221,-0.0059647784,-0.10915986,0.15812305,0.07837634,0.050140385,0.036398888,-0.0003506625,-0.014561664,-0.0025238479,-0.0018989006,-0.01553184,-0.009762459,0.00023272121,-0.0044313287,0.0033779943,-0.0024298083,0.008883294,0.0028568653,0.0008244829,-0.0023660865,-0.0006816089,0.16791913,-0.108086176,-0.080863185,-0.0847423,-0.06815098,0.020150524,0.02767322,-0.007538349,0.018952735,0.022949617,0.008496895,-0.0016945375,-0.008698862,-0.01328473,-0.0036169589,0.0022869816,0.009434042,0.0034024813,0.00607391,0.00770643,0.08985329,-0.0010761507,-0.0010743737,0.008900277,5.8859587e-07,0.011839412,-0.052086823,0.12830931,0.10824507,0.009930043
/mnt/sdd/caltech_training_multiclass/train/003.Sooty_Albatross/Sooty_Albatross_0010_796355.jpg,2,0.015338989,0.008146118,-0.005549879,0.00082704425,0.00093606906,0.0024587023,0.0010274361,0.0024158906,-0.009512984,-0.006202722,0.23693675,0.018098246,-0.087700665,-0.085302144,-0.072089,0.006816156,0.02344533,-0.011483569,-0.032073427,-0.011854946,-0.0032430803,0.0004116292,0.008393111,-0.005527452,-0.0051693576,-0.0065537,-0.012419265,-0.008935019,-0.009035634,-0.0109463185,-0.114905745,-0.038247067,-0.0011059884,0.008451801,0.006600069,-0.007363461,-0.031805445,0.090708934,0.1305558,0.051194932,0.019595288,0.006107488,0.003052757,-0.000675136,0.0069269636,-0.0025728932,-0.0020255817,-0.003496043,-0.0006379638,0.003500796,0.09033595,0.108496256,0.14950836,0.19053093,0.15795645,0.01676086,0.016027452,0.08082712,0.107737094,-0.035406932
