Full filepath,Full Class Index,sensitivityscore_before_features.11.block.2.fc1,sensitivityscore_After_features.11.block.2.fc1_0.5,sensitivityscore_After_features.11.block.2.fc1_0.6,sensitivityscore_After_features.11.block.2.fc1_0.7,sensitivityscore_before_features.11.block.2.fc2,sensitivityscore_After_features.11.block.2.fc2_0.5,sensitivityscore_After_features.11.block.2.fc2_0.6,sensitivityscore_After_features.11.block.2.fc2_0.7,sensitivityscore_before_features.12.block.2.fc1,sensitivityscore_After_features.12.block.2.fc1_0.5,sensitivityscore_After_features.12.block.2.fc1_0.6,sensitivityscore_After_features.12.block.2.fc1_0.7,sensitivityscore_before_features.12.block.2.fc2,sensitivityscore_After_features.12.block.2.fc2_0.5,sensitivityscore_After_features.12.block.2.fc2_0.6,sensitivityscore_After_features.12.block.2.fc2_0.7,sensitivityscore_before_features.13.block.2.fc1,sensitivityscore_After_features.13.block.2.fc1_0.5,sensitivityscore_After_features.13.block.2.fc1_0.6,sensitivityscore_After_features.13.block.2.fc1_0.7,sensitivityscore_before_features.13.block.2.fc2,sensitivityscore_After_features.13.block.2.fc2_0.5,sensitivityscore_After_features.13.block.2.fc2_0.6,sensitivityscore_After_features.13.block.2.fc2_0.7,sensitivityscore_before_features.14.block.2.fc1,sensitivityscore_After_features.14.block.2.fc1_0.5,sensitivityscore_After_features.14.block.2.fc1_0.6,sensitivityscore_After_features.14.block.2.fc1_0.7,sensitivityscore_before_features.14.block.2.fc2,sensitivityscore_After_features.14.block.2.fc2_0.5,sensitivityscore_After_features.14.block.2.fc2_0.6,sensitivityscore_After_features.14.block.2.fc2_0.7,sensitivityscore_before_features.15.block.2.fc1,sensitivityscore_After_features.15.block.2.fc1_0.5,sensitivityscore_After_features.15.block.2.fc1_0.6,sensitivityscore_After_features.15.block.2.fc1_0.7,sensitivityscore_before_features.15.block.2.fc2,sensitivityscore_After_features.15.block.2.fc2_0.5,sensitivityscore_After_features.15.block.2.fc2_0.6,sensitivityscore_After_features.15.block.2.fc2_0.7,sensitivityscore_before_features.16.0,sensitivityscore_After_features.16.0_0.5,sensitivityscore_After_features.16.0_0.6,sensitivityscore_After_features.16.0_0.7
/mnt/sdd/caltech_training/multiclass/train/006.Least_Auklet/Least_Auklet_0055_795106.jpg,5,-0.0840646,-0.0031876108,-0.11149741,-0.053080384,-0.02370455,0.074231654,-0.122292556,-0.11740601,-0.033736493,-0.044644758,0.04523264,-0.08545442,0.08084649,0.046870187,0.20564175,0.102426715,-0.018811718,-0.06070996,-0.0781699,-0.069276325,-0.03389009,0.047964472,0.0076616677,-0.029381985,-0.08744823,0.08219704,0.16311342,-0.05444491,0.0017673224,-0.050851554,0.026562903,0.09420341,0.023484156,0.18629201,0.15762109,0.07820171,0.002442495,0.14976305,0.08771018,0.07316439,0.0017676423,0.028314076,-0.006266727,0.0092423195
/mnt/sdd/caltech_training/multiclass/train/007.Parakeet_Auklet/Parakeet_Auklet_0078_2004.jpg,6,-0.14024703,-0.15459001,-0.12630717,-0.07972865,-0.008541349,0.10074287,0.014064472,0.0044754595,-0.08527875,0.08125517,0.15421738,0.020299327,-0.05456665,0.10732177,-0.09918016,-0.07380925,0.052366562,0.011960257,0.1251753,0.20244074,-0.009332161,-0.037604157,-0.030103607,-0.03335897,-0.045938447,0.0541791,0.06859565,0.050600663,-0.0044869985,-0.050104506,0.011250058,-0.0010825172,0.07093254,0.0066261813,-0.022618795,-0.08602298,0.019608662,-0.012026591,-0.02491897,-0.048431527,0.0061300835,-0.021920566,-0.03458193,-0.028374033
/mnt/sdd/caltech_training/multiclass/train/007.Parakeet_Auklet/Parakeet_Auklet_0067_795964.jpg,6,-0.024184188,-0.09941221,-0.13241354,-0.04899446,0.0188782,0.078066275,0.10553665,0.076524526,-0.14603926,-0.081801295,0.07834136,0.042632796,0.01718171,0.008797906,0.017794188,0.016519342,-0.03303957,-0.053390995,-0.06604411,-0.08829139,-0.0014652424,-0.03329371,0.010577746,0.0041224714,-0.0030797366,0.04150956,0.012258929,0.061299596,-0.03714104,-0.009844765,-0.07237476,-0.05012881,0.04233002,0.09347792,0.0043802103,0.014482405,0.03000156,0.014298957,-0.027645111,-0.02923426,-0.026909381,-0.019369025,-0.029946769,-0.024056649
/mnt/sdd/caltech_training/multiclass/train/007.Parakeet_Auklet/Parakeet_Auklet_0064_795954.jpg,6,-0.03869371,0.09136399,0.00058173016,0.010316379,-0.02478093,-0.03424497,-0.04706039,-0.018419571,-0.047810156,0.07645212,0.062798254,0.07543824,0.005861124,0.086199485,0.10809124,0.019797597,-0.019288043,-0.11716786,-0.05564037,0.0026046373,-0.097675465,0.008167187,-0.0064191176,-0.010298362,-0.025309253,0.044674173,-0.1014658,-0.0054766554,-0.008819617,0.004896097,0.022348136,-0.026791548,-0.069896325,-0.008014776,0.024419658,-0.0386305,0.00724132,-0.004737141,-0.056118555,-0.018827574,0.01667956,-0.025537938,-0.025144272,-0.020540709
/mnt/sdd/caltech_training/multiclass/train/007.Parakeet_Auklet/Parakeet_Auklet_0050_795957.jpg,6,-0.01785716,0.060419623,0.073385224,-0.17098127,0.04269735,-0.07474652,-0.1321587,-0.045884762,-0.114522636,-0.04765684,-0.11447758,-0.041032135,-0.07410784,-0.025573345,0.0229115,-0.02473763,-0.089006215,-0.06525815,-0.13914418,-0.023359645,0.03910771,-0.078579195,-0.061433997,0.026516728,0.05757177,0.037051283,-0.06769489,-0.019880436,0.015612587,-0.065546334,0.00054450333,0.037912153,0.08051579,-0.028885912,-0.05075352,-0.005612582,0.04916954,-0.032092277,-0.056769136,-0.049372237,0.0039331126,-0.029606082,-0.041869286,-0.044610124
/mnt/sdd/caltech_training/multiclass/train/007.Parakeet_Auklet/Parakeet_Auklet_0001_795972.jpg,6,0.10774012,0.10776805,0.13513882,0.33541846,-0.030963007,-0.034503113,-0.03650593,-0.07400299,0.17115818,0.08665007,0.121568106,0.019573536,0.08567467,-0.023749378,-0.07977704,-0.041117802,-0.031338785,0.15014206,0.021002455,0.05545762,0.019268349,-0.010238135,-0.018125122,-0.041343547,0.106961235,0.059427716,-0.07459205,0.07218821,0.06862063,-0.06021014,-0.06465605,-0.015015308,0.006419819,0.10117303,0.052455083,0.014436606,0.024843048,-0.050444216,-0.05304588,-0.046862744,-0.01452043,-0.028639235,-0.03312722,-0.030670594
/mnt/sdd/caltech_training/multiclass/train/007.Parakeet_Auklet/Parakeet_Auklet_0007_795932.jpg,6,0.15613478,0.2547592,0.011509806,-0.031787004,0.09101536,0.073667854,0.046590768,0.08070697,0.0004437156,-0.14218754,-0.17763998,0.02836369,0.012576284,-0.0478718,-0.06185224,-0.01116366,0.14202943,-0.027344478,-0.065795064,-0.10380722,0.006914463,-0.016386438,-0.029088931,0.013283815,-0.021282414,-0.007924456,0.039313547,0.026696347,-0.0010529496,0.041246705,0.05740309,-0.012611537,0.044321507,-0.07432754,-0.13178186,-0.09596044,0.02885738,0.03006468,0.0037758183,-0.019778157,-0.0074837455,-0.020130439,-0.03631167,-0.028586134
/mnt/sdd/caltech_training/multiclass/train/007.Parakeet_Auklet/Parakeet_Auklet_0012_795927.jpg,6,0.24322595,-0.007854119,-0.06321727,0.043626085,-0.02791906,-0.041776948,-0.14724332,-0.110187456,0.08436604,0.054028563,0.123111896,0.040167455,0.04383991,-0.007047705,0.010060153,-0.06731118,-0.12347096,0.0950405,-0.04573901,-0.14286114,-0.07769526,0.01775878,0.01911991,0.109586366,0.07083732,-0.03887839,-0.019162443,-0.08495869,0.047038954,-0.032935258,0.009451117,0.0046132626,0.13825881,0.1165963,0.077580445,0.09447353,0.020899374,-0.0017508958,-0.051306322,-0.028534014,-0.004077111,-0.025711235,-0.043039516,-0.049262732
/mnt/sdd/caltech_training/multiclass/train/007.Parakeet_Auklet/Parakeet_Auklet_0003_795982.jpg,6,-0.075789385,0.12051094,-0.016590632,-0.017688584,-0.041728295,0.059219927,0.010180786,-0.055028882,0.16164088,-0.030198961,-0.0011546351,-0.13245048,-0.005623228,-0.08478457,-0.01119673,-0.03200718,-0.0037479773,0.065050274,0.0025101677,0.15195915,-0.028568327,-0.032654256,-0.06207733,-0.081740886,-0.002113834,0.06396197,0.12980391,-0.054869514,0.0015652813,0.009384207,0.026995724,0.03138142,0.06446433,-0.08371129,-0.06256372,-0.07139045,0.030558577,-0.0014684293,-0.015868437,-0.0067842286,-0.0034704437,-0.013847211,-0.02368243,-0.026638102
/mnt/sdd/caltech_training/multiclass/train/007.Parakeet_Auklet/Parakeet_Auklet_0020_795947.jpg,6,-0.027932692,-0.1433206,-0.096269734,-0.24059734,0.012635391,0.17999543,0.12793913,0.13174114,-0.06424938,-0.01390087,-0.10098648,-0.062413998,-0.026496258,0.033458203,-0.03511698,0.02807985,-0.1499606,-0.08828487,-0.1342456,0.03031284,-0.044748664,-0.093415596,0.019324671,0.0063636694,-0.008973867,0.10734624,0.15548922,0.13514243,-0.009664368,-0.015050643,-0.079576075,0.03302976,-0.07098889,0.09560296,-0.08056666,0.011220343,-0.009722193,0.0029758532,-0.008657778,0.004399984,0.02228698,-0.012084486,-0.023879249,-0.030756837
