Full filepath,Full Class Index,sensitivityscore_before_features.7,sensitivityscore_before_features.19,sensitivityscore_before_features.20,sensitivityscore_before_features.21,sensitivityscore_before_features.22,sensitivityscore_before_features.23,sensitivityscore_before_features.24,sensitivityscore_before_features.25,sensitivityscore_before_features.26,sensitivityscore_before_features.27,sensitivityscore_before_features.28
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg,0,0.0015805786,0.011680225,0.018246278,0.008711698,0.0133850705,0.009372676,0.02321516,0.037710577,0.05606816,0.08209217,0.025724892
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,0,-0.003066756,0.006852513,0.008120121,0.01370313,0.012063131,0.02733342,0.01297255,0.014237437,0.07321821,0.05282352,0.02613617
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg,0,0.0065854965,0.020079216,0.016864562,0.016710665,0.013504677,0.03895977,0.018991098,0.012915367,0.04656913,0.046700932,0.024858803
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg,0,-0.00070405705,0.007628307,0.01536073,0.018871542,0.013685409,0.031008134,0.0041525466,0.009868721,0.03815225,0.025877483,0.007837545
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0049_796063.jpg,0,0.0026874342,-0.010597327,0.0004621806,0.0074793804,-0.0032899117,0.004799314,0.0023567546,0.014158753,0.028396761,0.025562035,-0.0011163952
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0065_796068.jpg,0,-0.0025953217,-0.0002093818,0.006851769,0.008298869,0.007341263,0.019349992,0.017624304,0.015944775,0.046920434,0.060474355,0.025569513
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg,0,-0.00050640956,0.011437759,0.014501,0.015041105,0.008698994,0.030878996,-0.0016234713,-0.0064871726,0.04884263,0.045513783,0.01908198
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg,0,0.00053342956,0.020513542,0.02230864,0.010980914,0.018367523,0.046939448,0.04836142,0.04361573,0.06875132,0.078553975,0.031352006
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg,0,0.0006502946,0.0027888324,0.014768129,0.014201895,0.019278172,0.0364649,0.009036263,0.025284074,0.0766091,0.06998725,0.027497636
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0081_426.jpg,0,0.0005338101,0.001957559,-8.7326625e-06,0.0020202713,0.0028776382,-0.0036248504,0.015707206,0.0046446985,0.043008342,0.04546638,0.027256472
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg,0,0.0037546684,-0.0043016835,0.009587553,-0.0011818288,0.005585289,-0.0022956922,0.035098594,0.032222956,0.04890519,0.039473247,0.032069575
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg,0,0.003540611,0.017007418,0.02741567,0.0049798884,0.0115707815,0.018609412,0.04848373,0.039677694,0.048747048,0.042158425,0.033178575
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0037_796120.jpg,0,0.00033391494,0.015023946,0.019907141,0.015461058,0.010723061,0.020254983,0.013762256,0.01183414,0.070335835,0.07345091,0.029516226
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0002_55.jpg,0,-0.0018783435,0.02217944,0.026902124,0.012460227,0.017398218,0.034655593,0.044103265,0.022239916,0.055348545,0.06612626,0.035963718
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0025_796057.jpg,0,-0.0022686587,0.003863983,-0.0053509,0.0012655295,0.003417077,-0.0020433515,-0.0010305145,-0.008890007,0.02228537,0.010053922,0.011931024
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0008_796083.jpg,0,0.0015013887,0.0017838887,-0.0025643636,0.009653255,0.009062148,0.019613322,-0.013520637,-0.005150337,0.05919696,0.03621664,0.020740502
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0078_796126.jpg,0,0.00074255385,0.0020235586,-0.00040476245,-0.003711555,-0.0032673217,-0.0018393481,-0.007849037,0.0017495886,0.058836963,0.04691046,0.0325592
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0039_796132.jpg,0,0.009434784,0.030325824,0.02974263,0.017160736,0.021144666,0.03167199,0.04369294,0.061632276,0.06678769,0.060995486,0.04267462
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg,0,0.00311446,0.018026982,0.027721122,0.009539876,0.011764899,0.019923188,0.02728396,0.030636184,0.06959781,0.056821052,0.0290666
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg,0,-0.00037168444,0.01841498,0.017460955,0.016202396,0.013778732,0.03214991,0.025133874,0.03253917,0.07107332,0.085080765,0.043078154
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0071_796113.jpg,0,-0.0013787148,0.018054103,0.011329346,0.0076895757,0.012754458,0.021548957,0.016486483,0.010842527,0.07302803,0.06501772,0.0221921
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,0,0.0058810716,0.017324187,0.010430288,0.009182276,0.010051545,0.009132245,0.027612988,0.020113688,0.05018536,0.06536493,0.028692745
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0016_796067.jpg,0,-0.0015262649,0.016169718,0.013940858,0.005987827,0.010909426,0.02815191,0.031636946,0.03144634,0.055701934,0.061768763,0.029822089
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0088_796133.jpg,0,0.00090344774,0.009023289,0.014765219,0.0071364488,0.016412778,0.03346598,0.0058326917,0.018622067,0.08675877,0.07829702,0.025462668
