Full filepath,Full Class Index,sensitivityscore_before_features.11.block.2.fc1,sensitivityscore_before_features.11.block.2.fc2,sensitivityscore_before_features.12.block.2.fc1,sensitivityscore_before_features.12.block.2.fc2,sensitivityscore_before_features.13.block.2.fc1,sensitivityscore_before_features.13.block.2.fc2,sensitivityscore_before_features.14.block.2.fc1,sensitivityscore_before_features.14.block.2.fc2,sensitivityscore_before_features.15.block.2.fc1,sensitivityscore_before_features.15.block.2.fc2,sensitivityscore_before_features.16.0
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg,0,-0.04310549,-0.11213674,0.020483207,0.00971688,-0.042721532,0.03426966,0.08226221,0.09732224,0.010497402,0.07705143,0.007881744
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg,0,-0.075695336,-0.048832268,-0.35528058,-0.07720868,-0.08005219,0.011188244,0.08933926,0.044135667,-0.059982177,0.012971668,0.009520225
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,0,0.07278167,0.020196361,0.050463118,0.028268268,0.0771953,0.0036449675,-0.08507008,-0.03725529,-0.07937955,0.00823321,0.007195114
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg,0,0.031847473,-0.04760501,-0.046531707,0.0618893,0.14576921,0.04591134,0.11974037,0.09516315,0.06468251,0.024505759,0.019921057
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg,0,0.14709042,0.14047173,0.008749977,-0.07993738,0.07386626,0.028140783,0.0075590014,-0.027565248,0.077343024,0.04922369,0.018802503
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0049_796063.jpg,0,-0.11874476,-0.046556123,-0.18164298,-0.011888536,0.045991473,-0.0093552,-0.019196333,0.036628038,0.08708261,0.03838542,-0.0003008959
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0065_796068.jpg,0,-0.06959486,-0.038175106,0.07208751,-0.05925957,0.085646376,0.0014051031,-0.004467318,-0.014711937,0.003127873,0.051499624,0.009262671
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg,0,0.12376963,0.057930768,0.06578113,-0.003067213,-0.022531152,0.03698703,-0.033172384,-0.00860328,0.084923,0.03632082,0.00930072
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg,0,0.23353526,-0.015586922,0.15162335,0.054192685,0.15949646,0.025463242,0.022790557,0.04408945,0.07120463,0.044498224,0.020929355
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg,0,0.13131943,-0.022936586,0.020520844,0.040323894,0.014025655,0.03310399,0.13176613,0.04646084,0.014151549,0.02067704,0.01914345
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0081_426.jpg,0,0.09536211,0.058415852,-0.019822009,-0.07766785,0.08343796,0.018303758,0.019577175,-0.014903538,-0.036645737,0.018132236,0.015194837
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg,0,-0.10794291,-0.028270757,-0.124521114,-0.054763988,0.1727968,0.042274952,0.07680421,0.014913885,-0.015452532,0.0033704508,0.013365891
/mnt/sdd/caltech_training/multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg,0,-0.04703623,-0.079576254,0.09677032,0.014577039,0.066334605,0.05750195,0.08022551,0.0076651555,0.027806867,0.021612836,0.015149371
