Full filepath,Full Class Index,sensitivityscore_before_features.11.block.2.fc1,sensitivityscore_before_features.11.block.2.fc2,sensitivityscore_before_features.12.block.2.fc1,sensitivityscore_before_features.12.block.2.fc2,sensitivityscore_before_features.13.block.2.fc1,sensitivityscore_After_features.13.block.2.fc1_0.5,sensitivityscore_After_features.13.block.2.fc1_0.6,sensitivityscore_After_features.13.block.2.fc1_0.7,sensitivityscore_After_features.13.block.2.fc1_0.8,sensitivityscore_before_features.13.block.2.fc2,sensitivityscore_After_features.13.block.2.fc2_0.5,sensitivityscore_After_features.13.block.2.fc2_0.6,sensitivityscore_After_features.13.block.2.fc2_0.7,sensitivityscore_After_features.13.block.2.fc2_0.8,sensitivityscore_before_features.14.block.2.fc1,sensitivityscore_before_features.14.block.2.fc2,sensitivityscore_before_features.15.block.2.fc1,sensitivityscore_before_features.15.block.2.fc2,sensitivityscore_before_features.16.0
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg,0,0.17954013,0.050641365,0.12124033,0.03051806,-0.094228536,0.08030505,0.009135438,-0.02970574,0.116664484,-0.0070833303,0.019617856,0.043955743,0.07433194,0.0052232933,0.10434048,0.04230674,-0.0148445815,-0.016867489,0.027300749
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0068_796135.jpg,0,0.2047843,0.07887277,-0.19080739,-0.05913429,0.049958177,0.09259205,0.12903446,0.09075929,0.040524267,0.031632416,0.10918256,0.025640931,0.068227366,0.04992226,-0.041181315,0.0021380307,0.09676601,0.058158565,0.03492288
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0016_796067.jpg,0,-0.16548151,-0.028853714,0.14870805,0.088222615,0.11881632,0.18753166,0.2045457,0.022830505,0.16232479,0.03629996,-0.018270029,0.06729973,0.012868658,0.042490713,0.072183475,0.040145013,0.052594345,0.012622977,0.026725097
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0090_796077.jpg,0,0.199562,0.04960647,-0.0150741115,-0.034254182,-0.009923045,0.065427,0.12857035,0.06600003,-0.052069273,0.04873235,0.15145445,0.12670904,0.081931956,0.039322898,0.041202918,0.031897623,-0.09477881,-0.023497611,0.030157706
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg,0,0.14219177,-0.025042016,-0.10858618,0.039950468,-0.17988011,0.24757732,0.17240153,0.053072616,0.074360915,-0.06983599,0.12260607,0.10549198,0.084994465,0.061673574,-0.056151193,0.030028783,-0.098155566,0.005980874,0.027295263
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg,0,-0.011460302,-0.0095497,0.021134414,-0.041630205,0.032012206,0.118450366,0.24257396,0.1907529,0.11371701,0.002550142,0.053790085,0.050803617,0.09215169,0.08132011,-0.05044253,0.006929367,0.017407425,0.023305835,0.04973008
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg,0,-0.1598469,0.06333754,-0.22977787,-0.09826678,0.04910983,0.097094074,0.15784861,0.06046714,0.15776554,0.062166415,0.10342331,0.10052651,0.057744183,0.012963263,-0.061332755,-0.11817467,-0.15954337,-0.045068033,0.024309983
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg,0,-0.18102844,-0.034992903,0.16304426,0.05011242,0.0015447997,0.13274464,0.14321485,0.09232871,0.058757067,0.10037695,0.16536164,0.11619953,0.07410762,0.079224885,0.08268517,0.08237076,0.025918609,0.03288439,0.05946918
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg,0,0.14992145,0.08426144,-0.012252137,-0.018941844,0.14332914,0.1349013,0.23035264,0.077785924,0.024461795,0.05743835,0.022032028,-0.0023532864,0.066534206,0.059708666,-0.033482686,0.021759443,0.0318622,-0.0051385853,0.008702519
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg,0,-0.028812572,-0.028467258,0.027034864,-0.06799412,-0.06315478,0.1516743,0.2570234,0.2648986,0.064246155,-0.028780032,0.12098316,0.13086306,0.08491144,0.06464131,-0.064022884,-0.058221005,-0.1045384,-0.012272563,0.030179998
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,0,0.08087748,0.12716642,-0.05950764,-0.06215634,-0.030856209,0.09104293,0.22041433,0.106371455,0.10807292,0.0045694415,0.07070933,0.066256545,0.074421324,0.09456985,-0.034469847,0.04110952,-0.03725754,-0.023703117,0.066614516
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0050_796125.jpg,0,-0.052777532,0.019694373,0.06259941,-0.0009069294,0.08558757,0.07501943,0.02163232,-0.048125047,-0.09671149,0.03466533,0.057277806,0.10414825,0.043740146,-0.008143906,0.06544384,0.022462439,0.027478397,0.027148375,0.02060843
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0058_796074.jpg,0,0.012487009,-0.023509702,0.019948963,0.020450247,-0.0015592072,0.07620333,-0.009544566,-0.055005673,0.10633819,-0.019737108,0.10767233,0.0026785508,0.08806037,0.033974744,0.057199657,0.0024142778,-0.06753025,-0.030403716,0.0178954
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg,0,-0.10103515,-0.10205582,0.09670629,0.0016223714,-0.065566726,-0.08666633,-0.06821552,-0.082322195,0.24810418,-0.009176075,0.083122335,0.14244774,0.13962871,0.10290711,0.15789942,0.012273079,-0.0009931885,-0.032151632,0.015216035
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg,0,0.21048357,0.09143959,-0.041878935,0.030954853,0.11048659,0.12149276,0.10284733,0.014803253,0.08314595,0.077631146,0.11866157,-0.0023764996,0.0746746,0.1133849,0.069419965,-0.018216979,0.054482482,0.0014130697,0.05020322
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0079_796122.jpg,0,0.108695306,-0.016252287,-0.10914965,0.0077445973,0.11107376,0.24262854,0.2929525,0.17366315,0.0085835885,0.061288476,0.14185253,0.13066143,0.07984237,0.028467411,-0.010950413,-0.046177495,-0.116500184,-0.022960855,0.04488319
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0088_796133.jpg,0,-0.1581729,-0.02240472,-0.0071627423,0.047671985,-0.09154565,0.02140668,0.08934241,0.12651934,0.1599943,-0.024860254,0.027909487,0.11886005,0.04244352,0.04995507,0.06556341,0.052274846,0.01196754,-0.0056398707,0.013330463
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0024_796089.jpg,0,-0.1528824,-0.057018563,-0.04279498,0.016489882,-0.00046850555,-0.011075363,0.02383025,-0.10139637,-0.012923989,0.048237555,0.036831263,0.09736463,0.11694821,0.08433448,0.079499885,-0.018440403,0.15526995,0.015928667,0.0600385
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0037_796120.jpg,0,-0.08872914,-0.033553496,-0.2584682,-0.13158908,0.10898277,0.02324424,0.107673384,0.08114223,0.117990434,0.04619623,0.115350805,0.086929016,0.14745708,0.068022385,-0.068518706,-0.07027866,-0.12758896,-0.007851877,0.01536285
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg,0,0.08060108,-0.00814366,0.08501158,0.006286817,-0.10182614,0.10962987,0.07211619,0.07458445,0.002955079,-0.036156893,0.045800854,0.12160131,0.025402654,0.029482963,-0.10676393,-0.037386984,-0.017302658,0.002145675,0.04655137
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0049_796063.jpg,0,-0.11155708,-0.081890404,0.015040221,-0.073955424,0.055227913,0.07487371,0.055960547,0.0282438,0.038839925,0.031185694,0.06701492,0.0466476,0.034299523,0.027653677,0.040866204,0.04218702,-0.059297916,0.0075999834,0.061108325
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg,0,0.040525924,0.034571435,-0.0694714,0.07887146,0.0798271,-0.07132085,-0.13688216,-0.07279119,-0.03435206,0.024956338,0.15800533,0.15762895,0.079808526,0.031364344,-0.13251771,-0.025553353,-0.100470856,0.026982859,0.032888792
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg,0,-0.028203592,-0.09822086,0.04489814,0.004300682,0.013612809,0.27805567,0.16726553,0.042727664,0.047009528,0.045493364,0.06341119,0.18211173,0.062623024,0.06377289,0.0014574751,0.034086414,0.12820083,0.008631947,0.033219054
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0053_796109.jpg,0,-0.1009584,0.03210356,-0.0048188046,-0.05774362,-0.16710204,-0.019188065,0.09665473,0.027654804,0.1615367,-0.04902271,0.07647107,0.12670435,0.12716484,0.08845674,0.06080296,0.007752518,-0.016489,-0.009045072,0.026224673
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0035_796140.jpg,0,0.03864012,0.022215288,0.12356862,0.04722636,0.13885629,0.018585732,-0.01213488,0.001021022,-0.00082669035,-0.0043638228,0.05236286,0.100824334,0.1437366,0.009966575,0.015214983,0.034419578,-0.017994538,-0.004297386,0.030017443
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0061_796082.jpg,0,-0.017344289,0.0127729885,-0.016609907,0.028898071,-0.03816957,0.17320484,0.2098825,0.08994737,0.018743018,0.037165977,0.12495163,0.07863673,0.059384175,0.05747895,0.012895808,-0.036531392,-0.017372282,0.023054807,0.044949755
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg,0,0.11915625,0.044826433,0.30837902,0.08212792,-0.014054492,-0.043588404,0.105037704,0.05933034,0.19435087,0.02486761,0.13829353,-0.00918185,0.029283158,0.077357754,-0.0022254474,-0.014431782,-0.047709566,0.021414414,0.050217435
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0033_796086.jpg,0,-0.2366646,-0.11819603,-0.27084523,-0.07813493,0.050017416,0.16037613,0.21676986,0.07590554,-0.16320768,0.017766468,0.035302106,-0.005255513,0.04318375,-0.0014977031,0.042970385,0.042275134,-0.08582117,-0.024381343,0.016697342
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0042_796071.jpg,0,0.10023521,-0.070399284,0.14937842,0.020213522,0.00508181,0.25006673,0.2947995,0.15110683,0.09609283,0.044171967,0.023675509,0.087674834,0.08026649,0.054146037,-0.029792069,0.042496804,-0.049305614,0.029218841,0.02689511
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg,0,-0.09150971,-0.021455647,0.13224572,0.018464375,-0.0063150898,0.11449807,0.14311597,0.013751894,-0.049837023,-0.009669593,0.13215812,0.1476855,0.14874622,0.07311233,-0.054791685,0.010905212,-0.1118666,-0.011616323,0.029001476
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0078_796126.jpg,0,-0.28849626,-0.085994765,-0.09042914,-0.010810201,-0.05480258,0.20405562,0.097078145,-0.028303338,-0.054961145,0.01256367,0.016625822,0.06594113,0.013293744,-0.07091825,0.06790957,0.00634201,0.025767121,0.023683349,0.058143463
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0003_796136.jpg,0,-0.057892036,0.05917899,0.0862813,0.002450794,0.004858859,0.14145121,0.2065748,0.14086692,0.18383974,0.014919147,0.07110457,0.10545637,0.08386107,0.108127385,0.0085703395,0.00054205675,-0.043255497,-0.00021146145,0.026980601
/mnt/sdd/caltech_training_multiclass/train/001.Black_footed_Albatross/Black_Footed_Albatross_0063_796141.jpg,0,0.07562923,0.0028636642,0.09474626,0.049731374,0.05263593,-0.07648897,0.047960915,-0.06449668,0.05292758,0.113223515,0.15512767,0.23511645,0.17705067,0.16030514,0.039957687,0.005896032,0.046586435,-0.0070582405,0.042711154
/mnt/sdd/caltech_training_multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0091_602.jpg,1,0.018309329,-0.04756038,-0.0065930653,0.034206472,0.1527566,0.03197843,0.09099658,0.003978245,0.124712944,0.103630364,0.06128495,0.018340072,0.065511055,0.07218848,0.043818988,0.0040969234,-0.0045416374,0.003774142,-0.009785202
/mnt/sdd/caltech_training_multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0017_614.jpg,1,0.07949775,0.0856914,-0.2588545,-0.08129846,0.062748164,0.1071277,0.24571426,0.2491344,0.11047086,-0.005571768,0.09379184,0.086726725,0.09580736,0.076222874,-0.008273207,-0.0002324339,0.0853215,-0.025363065,-0.010735787
/mnt/sdd/caltech_training_multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0059_488.jpg,1,0.0178179,-0.097582065,0.029730016,0.04043836,-0.0013080798,0.1573956,0.21951757,0.17329472,0.098716706,0.005155217,-0.026799476,0.026492726,0.03527046,0.021176368,0.028658655,0.028713122,-0.02019218,0.025320891,-0.0025658146
/mnt/sdd/caltech_training_multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0085_564.jpg,1,-0.074019074,-0.06645204,0.13208507,0.09263355,0.007826048,0.18318301,0.11570671,0.002438588,0.0012535825,0.0025183186,0.091711394,0.052840814,0.08240366,0.01709408,-0.046452757,-0.06937997,0.03035411,0.07525612,-0.0072232075
/mnt/sdd/caltech_training_multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0076_671.jpg,1,-0.11327023,-0.018704396,-0.18044364,-0.109341286,0.05667662,0.026310768,0.015493726,0.12059108,0.046280906,-0.005254466,0.04790064,0.1255883,0.06407601,0.055329204,-0.026894797,0.0067242067,-0.04320636,-0.01055525,-0.002108391
/mnt/sdd/caltech_training_multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0040_472.jpg,1,-0.22249544,-0.0069468394,-0.06845963,-0.065950446,0.09990284,0.019535355,0.037627593,-0.051096193,0.010729076,0.0058000963,0.08433231,0.014995693,0.016819336,0.01863486,-0.045957766,-0.024439353,-0.04085876,0.0059417337,-0.024190022
/mnt/sdd/caltech_training_multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0083_756.jpg,1,-0.117672764,-0.19395241,-0.011270329,-0.028750122,0.11564237,0.19813025,0.19035676,0.16049251,0.12918988,0.004641218,-0.009140762,-0.003814958,-0.014564682,-0.004215817,-0.050493725,-0.0047350917,0.061563384,0.031238541,-0.0052968552
/mnt/sdd/caltech_training_multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0080_821.jpg,1,-0.030927204,-0.07405548,0.1104269,-0.05869119,0.010326095,-0.063482024,0.018519463,0.050692767,0.0032376274,0.037648324,0.07869258,0.05628531,0.06996408,0.04552017,-0.15378104,-0.057102397,-0.043839887,0.012047585,-0.017641623
/mnt/sdd/caltech_training_multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0065_809.jpg,1,-0.11936969,-0.04153928,-0.21610527,-0.13683505,-0.049176954,0.08694571,0.036208853,0.05147507,0.011777863,-0.10443048,0.0805924,0.02626522,0.06549219,0.050090127,0.03249363,0.004856406,-0.057301283,0.00047756778,-0.0041819597
/mnt/sdd/caltech_training_multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0042_801.jpg,1,-0.03294006,0.00026626885,0.10738628,0.120370746,-0.083132066,0.22287671,0.26198375,0.10511363,0.09344188,-0.058785073,-0.011167877,0.049617022,0.084309064,0.07701188,0.007638379,0.022923544,0.09391968,0.019763336,-0.0074856877
/mnt/sdd/caltech_training_multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0033_658.jpg,1,-0.16973412,-0.11860442,-0.10110929,-0.019350288,-0.057565115,0.11433208,0.036183074,0.058306113,0.0676564,-0.06412612,0.12955612,0.05800276,0.01075523,-0.028682116,-0.012294158,-0.00921455,-0.021275844,0.026501784,-0.0023937179
/mnt/sdd/caltech_training_multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0012_696.jpg,1,0.06137144,0.028647073,0.2758042,0.0720714,0.025582884,0.08310978,0.17624246,0.062436804,-0.059283968,0.055670675,0.030972032,0.101707295,0.029207112,-0.005860569,0.027136281,0.0063646203,0.045232393,-0.0003256062,-0.009962557
/mnt/sdd/caltech_training_multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0028_643.jpg,1,0.07929203,-0.056127425,-0.01910447,0.02888142,-0.042201005,-0.015676774,-0.120380715,-0.17250913,-0.044843506,0.00014835875,0.031083874,-0.07399421,0.021024423,0.031922523,-0.005742197,-0.025467627,-0.019896653,-0.0121327285,-0.008417172
/mnt/sdd/caltech_training_multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0099_869.jpg,1,-0.08977179,-0.05805766,-0.03175904,-0.035498105,-0.09333094,0.14717834,0.19865938,0.0855054,0.04249672,-0.09796513,-0.0064381063,0.0737601,0.021513712,0.08454264,-0.06778903,-0.058140595,-0.021170475,0.051087394,-0.006346246
/mnt/sdd/caltech_training_multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0056_500.jpg,1,-0.0005700737,0.047096416,-0.06012115,0.03676708,-0.14044861,0.08701928,0.12209937,0.029888932,0.086041585,-0.10426377,0.09093881,0.06777086,0.032647476,-0.002844328,-0.038481627,0.005304015,-0.0729406,0.050587863,0.0011980074
/mnt/sdd/caltech_training_multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0025_571.jpg,1,0.074077204,-0.014079721,0.26403493,0.09383031,0.011388881,0.1299683,0.15765916,0.36284906,0.16847251,-0.019369937,0.032688737,0.09455535,0.02920353,0.027434397,-0.027541045,0.019101262,0.011644449,0.00982969,-0.018706243
/mnt/sdd/caltech_training_multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0070_788.jpg,1,-0.031650826,-0.042879663,0.04973752,-0.013058579,-0.001672715,0.055629734,0.19252062,0.1154767,0.079303324,0.031407133,0.1273865,0.03841691,0.14116466,0.0997379,0.15296714,0.08520659,0.124620624,-0.0071316785,-0.017717244
