Layer Name,Lambda Classification,Lambda Alignment,Accuracy Before,Accuracy After,Precision Before,Precision After,Recall Before,Recall After,F1 Before,F1 After,Legacy Accuracy Before,Legacy Accuracy After,Class count  Before,Class count After,TCAV Before (deer),TCAV After (deer),Avg Conf deer Before,Avg Conf deer After,TCAV Before (horse),TCAV After (horse),Avg Conf horse Before,Avg Conf horse After,TCAV Before (zebra),TCAV After (zebra),Avg Conf zebra Before,Avg Conf zebra After
features.5.block.3.0,0.2,0.8,0.88,0.91,0.855,0.901,0.855,0.876,0.855,0.885,0.88,0.91,409,409,0.79,0.848,0.637,0.572,0.391,0.889,0.633,0.688,0.445,0.633,0.768,0.827
features.6.block.3.0,0.5,0.5,0.88,0.962,0.855,0.952,0.855,0.952,0.855,0.952,0.88,0.962,409,409,0.553,0.736,0.637,0.79,0.461,0.827,0.633,0.872,0.301,0.48,0.768,0.948
features.6.block.3.0,0.4,0.6,0.88,0.953,0.855,0.943,0.855,0.942,0.855,0.943,0.88,0.953,409,409,0.553,0.777,0.637,0.76,0.461,0.699,0.633,0.843,0.301,0.553,0.768,0.934
features.6.block.3.0,0.3,0.7,0.88,0.954,0.855,0.944,0.855,0.948,0.855,0.946,0.88,0.954,409,409,0.553,0.636,0.637,0.724,0.461,0.628,0.633,0.786,0.301,0.446,0.768,0.923
features.6.block.3.0,0.2,0.8,0.88,0.939,0.855,0.929,0.855,0.923,0.855,0.926,0.88,0.939,409,409,0.553,0.673,0.637,0.629,0.461,0.587,0.633,0.728,0.301,0.398,0.768,0.9
features.7.block.3.0,0.5,0.5,0.88,0.956,0.855,0.946,0.855,0.949,0.855,0.947,0.88,0.956,409,409,0.756,0.939,0.637,0.796,0.325,0.662,0.633,0.905,0.476,0.815,0.768,0.937
features.7.block.3.0,0.4,0.6,0.88,0.951,0.855,0.94,0.855,0.943,0.855,0.942,0.88,0.951,409,409,0.756,0.864,0.637,0.767,0.325,0.39,0.633,0.884,0.476,0.462,0.768,0.927
features.7.block.3.0,0.3,0.7,0.88,0.935,0.855,0.92,0.855,0.929,0.855,0.924,0.88,0.935,409,409,0.756,0.753,0.637,0.75,0.325,0.439,0.633,0.85,0.476,0.919,0.768,0.919
features.7.block.3.0,0.2,0.8,0.88,0.921,0.855,0.923,0.855,0.885,0.855,0.898,0.88,0.921,409,409,0.756,0.788,0.637,0.611,0.325,0.529,0.633,0.847,0.476,0.726,0.768,0.887
features.8.block.0.0,0.5,0.5,0.88,0.96,0.855,0.95,0.855,0.954,0.855,0.952,0.88,0.96,409,409,0.533,0.418,0.637,0.803,0.543,0.775,0.633,0.89,0.339,0.566,0.768,0.931
features.8.block.0.0,0.4,0.6,0.88,0.962,0.855,0.952,0.855,0.952,0.855,0.952,0.88,0.962,409,409,0.533,0.368,0.637,0.774,0.543,0.761,0.633,0.858,0.339,0.436,0.768,0.914
features.8.block.0.0,0.3,0.7,0.88,0.948,0.855,0.936,0.855,0.934,0.855,0.935,0.88,0.948,409,409,0.533,0.399,0.637,0.72,0.543,0.722,0.633,0.836,0.339,0.367,0.768,0.892
features.8.block.0.0,0.2,0.8,0.88,0.935,0.855,0.922,0.855,0.919,0.855,0.92,0.88,0.935,409,409,0.533,0.443,0.637,0.691,0.543,0.669,0.633,0.763,0.339,0.424,0.768,0.856
features.8.block.2.fc2,0.5,0.5,0.88,0.892,0.855,0.891,0.855,0.857,0.855,0.871,0.88,0.892,409,409,0.467,0.643,0.637,0.62,0.608,0.609,0.633,0.666,0.36,0.506,0.768,0.828
features.8.block.2.fc2,0.4,0.6,0.88,0.862,0.855,0.871,0.855,0.816,0.855,0.836,0.88,0.862,409,409,0.467,0.594,0.637,0.587,0.608,0.548,0.633,0.634,0.36,0.525,0.768,0.798
features.8.block.2.fc2,0.3,0.7,0.88,0.829,0.855,0.851,0.855,0.771,0.855,0.797,0.88,0.829,409,409,0.467,0.533,0.637,0.57,0.608,0.557,0.633,0.618,0.36,0.53,0.768,0.771
features.8.block.2.fc2,0.2,0.8,0.88,0.804,0.855,0.836,0.855,0.739,0.855,0.766,0.88,0.804,409,409,0.467,0.514,0.637,0.552,0.608,0.556,0.633,0.603,0.36,0.513,0.768,0.758
features.8.block.3.0,0.5,0.5,0.88,0.946,0.855,0.932,0.855,0.937,0.855,0.934,0.88,0.946,409,409,0.581,0.76,0.637,0.742,0.511,0.627,0.633,0.822,0.325,0.86,0.768,0.925
features.8.block.3.0,0.4,0.6,0.88,0.939,0.855,0.925,0.855,0.923,0.855,0.924,0.88,0.939,409,409,0.581,0.659,0.637,0.709,0.511,0.544,0.633,0.798,0.325,0.84,0.768,0.917
features.8.block.3.0,0.3,0.7,0.88,0.931,0.855,0.914,0.855,0.918,0.855,0.916,0.88,0.931,409,409,0.581,0.651,0.637,0.664,0.511,0.637,0.633,0.739,0.325,0.881,0.768,0.895
features.8.block.3.0,0.2,0.8,0.88,0.901,0.855,0.885,0.855,0.871,0.855,0.876,0.88,0.901,409,409,0.581,0.659,0.637,0.592,0.511,0.475,0.633,0.695,0.325,0.884,0.768,0.853
features.9.block.1.0,0.5,0.5,0.88,0.945,0.855,0.929,0.855,0.942,0.855,0.935,0.88,0.945,409,409,0.756,0.636,0.637,0.823,0.407,0.495,0.633,0.871,0.699,0.516,0.768,0.935
features.9.block.1.0,0.4,0.6,0.88,0.933,0.855,0.916,0.855,0.931,0.855,0.923,0.88,0.933,409,409,0.756,0.604,0.637,0.804,0.407,0.709,0.633,0.867,0.699,0.454,0.768,0.91
features.9.block.1.0,0.3,0.7,0.88,0.931,0.855,0.916,0.855,0.923,0.855,0.918,0.88,0.931,409,409,0.756,0.626,0.637,0.793,0.407,0.717,0.633,0.835,0.699,0.395,0.768,0.912
features.9.block.1.0,0.2,0.8,0.88,0.907,0.855,0.892,0.855,0.899,0.855,0.892,0.88,0.907,409,409,0.756,0.878,0.637,0.761,0.407,0.777,0.633,0.787,0.699,0.099,0.768,0.879
features.9.block.2.fc1,0.5,0.5,0.88,0.918,0.855,0.904,0.855,0.905,0.855,0.903,0.88,0.918,409,409,0.433,0.746,0.637,0.653,0.287,0.638,0.633,0.658,0.568,0.595,0.768,0.822
features.9.block.2.fc1,0.4,0.6,0.88,0.907,0.855,0.892,0.855,0.891,0.855,0.889,0.88,0.907,409,409,0.433,0.726,0.637,0.635,0.287,0.605,0.633,0.64,0.568,0.564,0.768,0.804
features.9.block.2.fc1,0.3,0.7,0.88,0.895,0.855,0.879,0.855,0.878,0.855,0.874,0.88,0.895,409,409,0.433,0.695,0.637,0.625,0.287,0.561,0.633,0.621,0.568,0.574,0.768,0.79
features.9.block.2.fc1,0.2,0.8,0.88,0.885,0.855,0.867,0.855,0.864,0.855,0.861,0.88,0.885,409,409,0.433,0.7,0.637,0.619,0.287,0.554,0.633,0.605,0.568,0.546,0.768,0.777
features.9.block.3.0,0.5,0.5,0.88,0.966,0.855,0.962,0.855,0.959,0.855,0.96,0.88,0.966,409,409,0.696,0.928,0.637,0.947,0.362,0.833,0.633,0.979,0.581,0.254,0.768,0.976
features.9.block.3.0,0.4,0.6,0.88,0.966,0.855,0.962,0.855,0.958,0.855,0.96,0.88,0.966,409,409,0.696,0.811,0.637,0.933,0.362,0.911,0.633,0.979,0.581,0.194,0.768,0.979
features.9.block.3.0,0.3,0.7,0.88,0.964,0.855,0.952,0.855,0.963,0.855,0.957,0.88,0.964,409,409,0.696,0.842,0.637,0.908,0.362,0.875,0.633,0.955,0.581,0.245,0.768,0.967
features.9.block.3.0,0.2,0.8,0.88,0.978,0.855,0.973,0.855,0.972,0.855,0.973,0.88,0.978,409,409,0.696,0.45,0.637,0.898,0.362,0.712,0.633,0.94,0.581,0.161,0.768,0.973
features.10.block.3.0,0.5,0.5,0.88,0.963,0.855,0.952,0.855,0.961,0.855,0.956,0.88,0.963,409,409,0.497,0.716,0.637,0.934,0.591,0.966,0.633,0.952,0.975,0.143,0.768,0.984
features.10.block.3.0,0.4,0.6,0.88,0.956,0.855,0.943,0.855,0.955,0.855,0.948,0.88,0.956,409,409,0.497,0.699,0.637,0.902,0.591,0.807,0.633,0.945,0.975,0.187,0.768,0.986
features.10.block.3.0,0.3,0.7,0.88,0.959,0.855,0.948,0.855,0.957,0.855,0.951,0.88,0.959,409,409,0.497,0.688,0.637,0.897,0.591,0.821,0.633,0.932,0.975,0.19,0.768,0.979
features.10.block.3.0,0.2,0.8,0.88,0.959,0.855,0.949,0.855,0.956,0.855,0.951,0.88,0.959,409,409,0.497,0.604,0.637,0.864,0.591,0.811,0.633,0.897,0.975,0.178,0.768,0.972
features.11.block.3.0,0.5,0.5,0.88,0.976,0.855,0.971,0.855,0.972,0.855,0.971,0.88,0.976,409,409,0.759,0.979,0.637,0.926,0.999,1.0,0.633,0.954,0.999,0.969,0.768,0.963
features.11.block.3.0,0.4,0.6,0.88,0.975,0.855,0.969,0.855,0.971,0.855,0.97,0.88,0.975,409,409,0.759,0.976,0.637,0.908,0.999,1.0,0.633,0.942,0.999,0.957,0.768,0.955
features.11.block.3.0,0.3,0.7,0.88,0.974,0.855,0.967,0.855,0.97,0.855,0.969,0.88,0.974,409,409,0.759,0.979,0.637,0.885,0.999,1.0,0.633,0.923,0.999,0.914,0.768,0.945
features.11.block.3.0,0.2,0.8,0.88,0.969,0.855,0.961,0.855,0.967,0.855,0.964,0.88,0.969,409,409,0.759,0.967,0.637,0.853,0.999,1.0,0.633,0.886,0.999,0.835,0.768,0.918
