Full filepath,Full Class Index,sensitivityscore_before_features.19,sensitivityscore_After_features.19_0.5,sensitivityscore_After_features.19_0.6,sensitivityscore_After_features.19_0.7,sensitivityscore_After_features.19_0.8,sensitivityscore_before_features.20,sensitivityscore_before_features.22,sensitivityscore_before_features.23,sensitivityscore_before_features.24,sensitivityscore_After_features.24_0.5,sensitivityscore_After_features.24_0.6,sensitivityscore_After_features.24_0.7,sensitivityscore_After_features.24_0.8
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0090_796077.jpg,0,-0.004075199,0.004367144,0.005797242,0.001312283,-0.018458718,0.006736368,0.004864323,0.001513416,0.032026142,0.039361514,0.028677233,-0.00054977,0.002258929
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg,0,0.014542265,-0.023432309,-0.005404307,0.001796493,-0.027653558,0.004218485,-0.002834399,0.008441462,0.032718368,0.086125,0.08358315,0.07818487,0.0209434
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg,0,0.008849449,0.015652146,-0.005213073,0.009610241,0.018675674,0.014882743,0.005959551,0.013120114,0.006705446,0.05547399,0.060877115,0.07315113,0.024966603
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg,0,0.008989817,0.010997549,-0.020384576,0.003838148,-0.0021807,0.012905242,-0.00164216,0.01325444,0.003840588,0.05243522,0.065625474,0.05908287,0.042448014
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg,0,0.011883371,0.000541962,0.004005595,-0.009107069,-0.017915538,0.012553584,0.003175089,0.010641006,0.030942623,0.04087852,0.065252006,0.09214726,0.036202133
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg,0,0.001853657,0.014322216,0.004333831,0.012099401,0.013176515,0.005998287,0.002693378,-0.008048235,-0.009967862,0.040007703,0.05408896,0.062256504,0.017868664
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg,0,0.00055238,0.015496648,0.027910229,0.005588925,0.004063977,0.010880405,-0.004832142,-0.009767,0.002422398,0.08008328,0.10537185,0.09080486,0.06493178
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,0,-0.003897032,0.012493753,-0.004913366,0.002417044,0.0003198,0.001777156,-0.00819649,-0.013949867,-0.001431416,0.016069379,0.040291026,0.06619599,0.009762173
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0050_796125.jpg,0,0.015201654,-0.011483749,-0.001113196,-0.011251639,-0.00442094,0.002991224,-0.003992852,-0.002296329,0.023025375,0.0339224,0.04101011,0.034209345,-0.007618071
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0058_796074.jpg,0,0.001108114,-0.000564997,-0.005149867,0.001078348,-0.00026911,0.006279946,0.004368558,0.002554919,0.00733911,0.050826408,0.077525355,0.096877255,0.04041954
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg,0,-0.001243833,0.02192448,0.023040725,0.018954376,0.010252281,0.013810223,0.003453837,-0.000591301,0.014188184,0.05386439,0.071983084,0.09030227,0.056338664
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg,0,-0.00451453,-0.002542786,0.013110148,-0.005980942,-0.011225455,-0.001963514,-0.007221837,-0.008406385,-0.000480453,0.050106134,0.032109372,0.082808316,0.03218797
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0079_796122.jpg,0,0.004666118,-0.014747566,0.000699992,-0.02403332,0.000233276,-0.002162276,-0.002293276,-0.015208244,0.014691545,0.046344455,0.028985802,0.054916624,-0.01385022
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0088_796133.jpg,0,-0.007199904,0.02068757,0.03362151,0.012571156,0.012495534,-0.016293887,-0.010066256,-0.02184957,-0.014473778,0.033877846,0.053920165,0.04473819,0.05752007
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0024_796089.jpg,0,-0.002244311,-0.002140367,-0.015832976,-0.009716756,-0.008518787,-0.006273103,-0.007974491,0.004144528,-0.004449193,0.008985268,0.04984747,0.03912327,0.019899517
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0037_796120.jpg,0,0.001929154,0.023071429,0.007415462,0.027907085,0.012410042,0.000507079,-0.002166626,-0.014720162,-0.019867253,0.06723793,0.079392955,0.06416841,0.03177085
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg,0,0.008668331,-0.003039205,-0.000796227,-0.011583587,-0.018038515,0.020108351,0.008714808,0.012602896,0.043498658,0.030633714,0.05402372,0.0755558,0.012223736
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0049_796063.jpg,0,0.006528563,-0.001676149,0.01392659,0.007390957,0.00588137,0.004962432,-0.001774558,-0.008012778,0.002491587,0.035269465,0.04972972,0.030740518,0.01079051
