Full filepath,Full Class Index,sensitivityscore_before_layer1.0.conv1,sensitivityscore_before_layer1.0.conv2,sensitivityscore_before_layer1.0.conv3,sensitivityscore_before_layer4.0.conv1,sensitivityscore_before_layer4.0.conv2,sensitivityscore_before_layer4.0.conv3,sensitivityscore_before_layer4.1.conv1,sensitivityscore_before_layer4.1.conv2,sensitivityscore_before_layer4.1.conv3,sensitivityscore_before_layer4.2.conv1,sensitivityscore_before_layer4.2.conv2,sensitivityscore_before_layer4.2.conv3,sensitivityscore_After_layer4.2.conv3_0.5,sensitivityscore_After_layer4.2.conv3_0.6,sensitivityscore_After_layer4.2.conv3_0.7,sensitivityscore_After_layer4.2.conv3_0.8
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg,0,0.0057473746,0.0070677116,0.0010563623,0.007944936,0.017992752,0.008763453,0.014889669,0.024509307,-0.0037106336,0.024870062,0.041118238,0.02551392,0.14569363,0.1429972,0.12907286,0.12760104
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0068_796135.jpg,0,0.010893258,0.0057874816,0.0056941374,0.010443273,0.021352226,0.02324209,0.014777476,0.009037904,-0.0005798619,0.028749561,0.040518276,0.018958814,0.14439079,0.13591707,0.13055263,0.12591511
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0016_796067.jpg,0,-0.0012733989,0.0006762851,-0.00038133722,0.0067471014,0.027335946,0.014781099,0.004289207,0.009878585,0.0035793632,0.03136906,0.03818912,0.022760222,0.14657126,0.14040779,0.12675342,0.12528253
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0090_796077.jpg,0,-0.0027244524,-0.0025990158,-0.001664445,0.006405043,0.018209737,0.015064301,0.00061217486,0.016964465,-0.008121368,0.066672504,0.0459179,0.024622004,0.14930059,0.1429427,0.13250497,0.13176969
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg,0,0.013366025,0.0063888505,0.003421145,0.013002218,0.010933407,0.003156687,0.01448485,0.021598175,-0.0010107546,0.04907015,0.054068495,0.021445146,0.15297349,0.14174846,0.13164267,0.13221624
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg,0,0.016352821,0.008032793,0.0020358374,0.01246925,0.022139376,0.0096705295,0.0063270372,0.012071738,0.0121788625,0.040728986,0.04168853,0.028713483,0.14174104,0.14031634,0.13040069,0.12769689
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg,0,0.016609982,0.011753362,0.00513266,0.004442457,0.005965744,0.004020997,0.0027775466,0.002407828,0.006793466,0.036304362,0.05237687,0.026673239,0.14854415,0.14356528,0.12823051,0.12614922
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg,0,0.0044568367,0.0062903683,0.003511548,0.006615468,0.024196107,0.020354379,0.00992802,0.0041639893,-0.0052573886,0.01721302,0.03860474,0.024848241,0.14666334,0.1424645,0.13293283,0.12759443
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg,0,0.008400332,0.0070227804,0.0009468847,0.022011138,0.024773847,0.01674882,0.019398162,0.024375511,0.0040911175,0.047453307,0.066430554,0.026762294,0.14436123,0.1414468,0.13373895,0.12713747
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg,0,-0.0021728645,0.005205404,-0.0014347766,0.003696861,-0.0004441645,0.009876229,0.00231098,0.0017418098,-0.00020236406,0.014729697,0.033483796,0.02143187,0.14433873,0.14022411,0.12312397,0.122262806
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,0,0.007410675,0.0041486807,0.0058259787,0.006257834,0.001200547,0.003642302,0.0019651745,0.009337551,-0.0023255092,0.03223876,0.047039706,0.021963587,0.14894462,0.1420756,0.13164331,0.12957582
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0050_796125.jpg,0,-0.008460863,0.0042647556,0.007544899,0.0062124375,0.02146742,0.008115125,0.009940987,0.021904813,-0.0032352365,0.04656124,0.0657929,0.022873811,0.1490991,0.14550367,0.13844573,0.13361281
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0058_796074.jpg,0,-0.0006513306,-0.0014609973,0.0005985461,0.009668721,0.008522336,0.0061517255,-0.001750757,0.014007349,-0.0056549776,0.034778204,0.039108984,0.019623395,0.15219536,0.14501064,0.13293949,0.13099037
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg,0,0.004756219,0.006710808,0.0011469446,0.0065773223,0.01097304,7.2363764e-06,0.0003635455,0.011432173,-0.002103988,0.039148606,0.055165425,0.023613717,0.15427518,0.14841892,0.13251787,0.1299376
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg,0,0.009123933,0.008926152,0.0032721995,0.010332068,0.019470025,0.010830394,0.013701526,0.02408784,-0.0035553654,0.04586893,0.0510069,0.02709974,0.14572677,0.14414468,0.13017213,0.1251558
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0079_796122.jpg,0,-0.004385452,-0.004912803,-0.0027287058,0.011991903,0.014766256,0.004806459,0.0116271265,0.007500275,-0.009518515,0.047265798,0.041102193,0.02681088,0.15289357,0.14273617,0.13317284,0.13085002
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0088_796133.jpg,0,0.0061037983,0.0049923193,-0.0044277124,0.0031158263,0.009675359,0.003651579,-0.00088558625,0.0019068953,-0.0005583095,0.024621863,0.03137091,0.023447368,0.13179797,0.1315692,0.11462811,0.11914156
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0024_796089.jpg,0,-0.002371293,0.002912391,-0.00093485817,0.0007120366,0.0065735998,0.019135173,0.013304961,0.006597126,-0.0037926543,0.034597002,0.025841206,0.017175116,0.15320283,0.14757857,0.13447794,0.1338332
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0037_796120.jpg,0,-0.00033586775,-0.00018595811,0.0021418817,0.0042211227,0.0026077928,0.00433818,0.006138241,0.027903806,-0.009745039,0.030385856,0.039028086,0.023977049,0.14734153,0.14421389,0.13567239,0.13350753
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg,0,0.008115766,0.00019653223,0.006619532,0.005562078,0.008354341,-0.003394335,0.0077365222,-0.010355767,-0.0067046676,0.0034308943,0.038979724,0.023098078,0.14739685,0.14003143,0.13131726,0.12360985
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0049_796063.jpg,0,0.013108064,0.01131656,0.0068669408,0.011101601,0.01695267,0.015701182,0.018692695,0.015514902,-0.0025640083,0.048293855,0.04362837,0.020119391,0.14673081,0.14134629,0.13224602,0.12831937
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg,0,0.01542915,0.012284678,0.0046042986,0.010203377,0.0066223657,0.009717403,0.015345996,0.0038278166,0.0046781404,0.03658157,0.04278415,0.018506115,0.14561075,0.14447689,0.13070875,0.12796101
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg,0,0.0045698253,0.0041418904,0.0027210868,0.021185089,0.034279615,0.016508602,0.020598099,0.018858738,-0.002000911,0.030339338,0.04049174,0.023392364,0.1442385,0.14410478,0.12898299,0.12957564
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0053_796109.jpg,0,-0.0062775677,0.0038617018,0.00245829,0.0008638973,0.0024840154,0.013143165,0.013690266,0.012813004,-0.0034683929,0.05677015,0.05018893,0.023710692,0.14916342,0.14292398,0.13171306,0.12543562
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0035_796140.jpg,0,-0.012525275,0.0012019918,-0.0012667143,0.01095947,0.010564208,0.0041219946,0.009254129,0.0011740709,1.1538854e-05,0.011348971,0.019777875,0.022881733,0.14855868,0.147355,0.13502726,0.13335885
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0061_796082.jpg,0,0.00969683,0.0071776966,0.0059437924,0.003045693,0.0057909563,0.005995669,0.017535662,0.018808356,-0.008675076,0.044478197,0.06864804,0.019169765,0.14909717,0.14230101,0.13244891,0.12854987
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg,0,0.010843165,0.0012506896,0.0005137787,0.0047460403,0.0035786843,0.008682659,0.017695121,0.035273712,0.0013805365,0.051548447,0.057086453,0.018351443,0.14537406,0.14238283,0.13226071,0.13318352
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0033_796086.jpg,0,0.01314263,0.003007308,0.0053222263,0.0065379078,0.030902684,0.019484324,0.020601835,0.021559138,0.009409914,0.051547118,0.050424185,0.021938205,0.14134419,0.13472325,0.12509505,0.12695162
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0042_796071.jpg,0,0.008370034,0.0041451924,0.0037397519,0.012446551,0.021923706,0.006194572,0.01745324,0.03313348,-0.00061440445,0.04849509,0.052086744,0.02443884,0.15014097,0.14294767,0.13218567,0.13128594
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg,0,0.0034816065,0.008630311,0.0051131872,0.0036125327,0.016850408,0.018187754,0.027130235,0.0333869,0.0043112426,0.051113635,0.051897414,0.026936568,0.14359629,0.13809693,0.13243599,0.12768379
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0078_796126.jpg,0,0.0100792805,0.007866855,0.00073987094,-0.001002682,0.0055832136,0.004522493,0.012324305,-0.021350447,0.00021029732,0.031888895,0.043149315,0.02464015,0.14021756,0.1432984,0.12946518,0.12652458
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0003_796136.jpg,0,-0.009280579,0.004500273,-1.6982493e-05,0.016512537,0.025764693,0.025796432,0.036830258,0.02713773,0.005706012,0.04547899,0.05021437,0.027758326,0.14139843,0.13910982,0.1283629,0.12678376
/mnt/sdd/caltech_training/three_classes/train/001.Black_footed_Albatross/Black_Footed_Albatross_0063_796141.jpg,0,0.0052975956,0.0055111623,0.0031042856,0.009313339,0.01622444,0.008063554,0.024108179,-0.0024434775,0.00776555,0.021724591,0.052416258,0.02430942,0.1505689,0.14021741,0.13136402,0.12961712
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0091_602.jpg,1,-0.00753103,-0.0035542806,-0.0024844655,0.004463549,0.0024623964,0.0092461435,0.004193072,-0.00059208786,0.0080340225,0.01834952,0.015366501,0.021652225,-0.069061205,-0.04601772,-0.028048612,-0.01229153
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0017_614.jpg,1,0.0073501393,0.0007095103,-0.0018445086,-0.006685407,0.003538734,0.0017945487,-0.009778425,-0.011646139,0.015417069,-0.00048922,0.0072045047,0.021680802,-0.07168341,-0.053151038,-0.030190919,-0.015249401
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0059_488.jpg,1,-0.005001851,-0.002980449,-0.001838036,0.001633946,0.0072987005,0.0012607139,-0.0034155336,-0.007385914,0.016331827,0.011396188,-0.0046287426,0.013047366,-0.07588346,-0.049063206,-0.034336776,-0.017979622
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0085_564.jpg,1,-0.012165359,-0.0042163553,-0.0027782747,0.0028653292,-0.005997455,-0.0021134184,-0.0011173422,-0.018639214,0.0029886663,0.001240572,-0.008368202,0.019383261,-0.083318055,-0.05300373,-0.040995248,-0.019651107
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0076_671.jpg,1,0.0021821987,-0.00047345203,0.0010040645,-0.001987544,0.026336573,0.015280732,0.02299901,0.00903335,0.016567627,-0.0068097916,-0.005807094,0.020914683,-0.06440278,-0.045556817,-0.024090432,-0.0064443178
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0040_472.jpg,1,-0.0045044078,-0.010922656,-0.00073787937,-0.004822361,0.01682972,0.012140516,0.020769684,-0.0045238207,0.01008242,0.009700842,0.007525054,0.022405047,-0.07209951,-0.044570006,-0.031754483,-0.008411411
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0083_756.jpg,1,-0.01474715,-0.0067470185,-0.003914798,0.005875385,-0.008836978,0.0015406453,0.016132537,0.018462293,0.015120218,0.020190537,0.009667721,0.019816397,-0.08334054,-0.060954206,-0.03996309,-0.018695552
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0080_821.jpg,1,-0.0005604607,0.0026945057,0.002856751,0.010772386,0.002356307,0.0008033995,0.015883422,-0.004683028,0.011258793,0.0140385125,0.009351923,0.018915579,-0.074198715,-0.05093395,-0.031111628,-0.0110358745
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0065_809.jpg,1,-0.001764883,0.0009195773,0.0015812947,0.004278343,0.008220632,-0.004569727,-0.0035428156,-0.0023209825,0.012391683,0.009915879,0.008561553,0.01895638,-0.0707773,-0.054296233,-0.033351146,-0.016564399
