Layer Name,Lambda Classification,Lambda Alignment,Accuracy Before,Accuracy After,Precision Before,Precision After,Recall Before,Recall After,F1 Before,F1 After,Legacy Accuracy Before,Legacy Accuracy After,Class count  Before,Class count After,TCAV Before (001.Black_footed_Albatross),TCAV After (001.Black_footed_Albatross),Avg Conf 001.Black_footed_Albatross Before,Avg Conf 001.Black_footed_Albatross After,TCAV Before (002.Laysan_Albatross),TCAV After (002.Laysan_Albatross),Avg Conf 002.Laysan_Albatross Before,Avg Conf 002.Laysan_Albatross After,TCAV Before (003.Sooty_Albatross),TCAV After (003.Sooty_Albatross),Avg Conf 003.Sooty_Albatross Before,Avg Conf 003.Sooty_Albatross After
features.14.block.2.fc1,0.4,0.6,0.444,0.444,0.389,0.437,0.444,0.444,0.403,0.44,0.444,0.444,12,12,0.396,0.583,0.535,0.569,0.417,0.771,0.543,0.57,0.435,0.413,0.477,0.537
features.14.block.2.fc1,0.3,0.7,0.444,0.5,0.389,0.506,0.444,0.5,0.403,0.5,0.444,0.5,12,12,0.396,0.562,0.535,0.535,0.417,0.667,0.543,0.508,0.435,0.326,0.477,0.506
features.14.block.2.fc1,0.2,0.8,0.444,0.528,0.389,0.537,0.444,0.528,0.403,0.53,0.444,0.528,12,12,0.396,0.75,0.535,0.554,0.417,0.646,0.543,0.482,0.435,0.478,0.477,0.491
features.14.block.2.fc2,0.5,0.5,0.444,0.528,0.389,0.533,0.444,0.528,0.403,0.515,0.444,0.528,12,12,0.25,0.917,0.535,0.639,0.438,0.771,0.543,0.702,0.413,0.783,0.477,0.668
features.14.block.2.fc2,0.4,0.6,0.444,0.472,0.389,0.49,0.444,0.472,0.403,0.466,0.444,0.472,12,12,0.25,0.729,0.535,0.609,0.438,0.708,0.543,0.699,0.413,0.957,0.477,0.642
features.14.block.2.fc2,0.3,0.7,0.444,0.5,0.389,0.517,0.444,0.5,0.403,0.496,0.444,0.5,12,12,0.25,0.792,0.535,0.561,0.438,0.708,0.543,0.692,0.413,0.848,0.477,0.629
features.14.block.2.fc2,0.2,0.8,0.444,0.361,0.389,0.366,0.444,0.361,0.403,0.331,0.444,0.361,12,12,0.25,0.604,0.535,0.694,0.438,0.5,0.543,0.645,0.413,0.652,0.477,0.611
features.15.block.2.fc1,0.5,0.5,0.444,0.639,0.389,0.627,0.444,0.639,0.403,0.63,0.444,0.639,12,12,0.479,0.938,0.535,0.799,0.583,1,0.543,0.687,0.696,0.935,0.477,0.672
features.15.block.2.fc1,0.4,0.6,0.444,0.611,0.389,0.606,0.444,0.611,0.403,0.594,0.444,0.611,12,12,0.479,0.562,0.535,0.629,0.583,0.729,0.543,0.684,0.696,0.5,0.477,0.561
features.15.block.2.fc1,0.3,0.7,0.444,0.611,0.389,0.615,0.444,0.611,0.403,0.611,0.444,0.611,12,12,0.479,0.125,0.535,0.653,0.583,0.208,0.543,0.679,0.696,0.261,0.477,0.583
features.15.block.2.fc1,0.2,0.8,0.444,0.583,0.389,0.592,0.444,0.583,0.403,0.585,0.444,0.583,12,12,0.479,0.396,0.535,0.588,0.583,0.208,0.543,0.611,0.696,0.478,0.477,0.532
features.15.block.2.fc2,0.5,0.5,0.444,0.528,0.389,0.539,0.444,0.528,0.403,0.527,0.444,0.528,12,12,0.812,0.5,0.535,0.811,0.562,0.396,0.543,0.776,0.609,0.087,0.477,0.683
features.15.block.2.fc2,0.4,0.6,0.444,0.528,0.389,0.54,0.444,0.528,0.403,0.526,0.444,0.528,12,12,0.812,0.625,0.535,0.806,0.562,0.396,0.543,0.781,0.609,0.152,0.477,0.737
features.15.block.2.fc2,0.3,0.7,0.444,0.528,0.389,0.558,0.444,0.528,0.403,0.529,0.444,0.528,12,12,0.812,0.708,0.535,0.797,0.562,0.5,0.543,0.77,0.609,0.196,0.477,0.757
features.15.block.2.fc2,0.2,0.8,0.444,0.528,0.389,0.518,0.444,0.528,0.403,0.521,0.444,0.528,12,12,0.812,0.75,0.535,0.689,0.562,0.583,0.543,0.849,0.609,0.196,0.477,0.729
features.16.0,0.5,0.5,0.444,0.611,0.389,0.618,0.444,0.611,0.403,0.61,0.444,0.611,12,12,0.833,1,0.535,0.765,0.438,0.875,0.543,0.811,0.457,0.87,0.477,0.8
features.16.0,0.4,0.6,0.444,0.583,0.389,0.588,0.444,0.583,0.403,0.578,0.444,0.583,12,12,0.833,1,0.535,0.71,0.438,0.771,0.543,0.798,0.457,0.891,0.477,0.788
features.16.0,0.3,0.7,0.444,0.583,0.389,0.588,0.444,0.583,0.403,0.578,0.444,0.583,12,12,0.833,1,0.535,0.696,0.438,0.854,0.543,0.779,0.457,0.957,0.477,0.792
features.16.0,0.2,0.8,0.444,0.556,0.389,0.554,0.444,0.556,0.403,0.551,0.444,0.556,12,12,0.833,1,0.535,0.716,0.438,0.75,0.543,0.801,0.457,0.913,0.477,0.74
